,UKF243,UKF248,UKF260,UKF313,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.020974101852982725,0.09270610848789283,0.04139110209164991,0.00020272794011043247,0.027695605048580235,0.14179539875169905,0.05718162455822193,0.14851786137068645,0.07914120053957766,0.15620015498559067,0.12717238502716335
HALLMARK_ALLOGRAFT_REJECTION,0.005468291550162026,0.10062291304435571,0.07632764599803094,-0.03024981603831164,0.0027772022683377447,0.057384976655436695,-0.019692629743005535,0.0986779290181253,0.11165161915648483,0.27108781991682807,0.04168994664072688
HALLMARK_ANDROGEN_RESPONSE,0.0888781102943834,0.06287273951537653,0.06285034059418362,0.03399302162950676,0.049273865946046526,0.1528497598249872,0.09520413162148962,0.08478638759314466,0.12408508599079869,0.20635391196115072,0.19520610040402533
HALLMARK_ANGIOGENESIS,-0.005193885220453952,0.059020115970826105,0.054450561821120264,0.031006074883651688,-0.00032424699129445856,0.12820917490746556,0.07830563906252636,0.11337054342929641,0.1887217132417638,0.10954029187563842,0.13868622836815228
HALLMARK_APICAL_JUNCTION,0.09156145640143207,0.09607916836296501,0.13909965072372255,-0.022505057873388898,0.07424181137475548,0.16519908307914963,0.0794981708655063,0.1341746729540847,0.0519393158730718,0.23036290869174217,0.20975158682496667
HALLMARK_APICAL_SURFACE,0.04235437548111117,0.09553829091919659,-0.026576980800358967,0.010917705770831608,0.04427164957785013,0.1287735790287648,0.04107853358134446,0.08359071762935112,0.11229542423436988,0.21920829128369543,0.0973995893355582
HALLMARK_APOPTOSIS,-0.021542042773177752,0.07665369676848853,0.01851649592945625,-0.014482384644405898,-0.03586812819049854,0.09416533859235697,0.11106996156228637,0.06163828345178637,0.09950066272378653,0.1950600847413565,0.11006390279817235
HALLMARK_BILE_ACID_METABOLISM,0.03616106871084252,0.006672776844016523,0.025434880085581493,-0.004579933234427092,0.06382099687147692,0.1324023271995627,-0.026086396273541302,0.036659888580045805,0.057190190724793005,0.06031762486025182,0.0843433412010617
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.09985561764697448,-0.03422438799507459,0.0758156039276838,-0.04622872522984128,0.13606135382811596,0.13605604440339739,0.03966689732468298,0.04668106023215086,-0.025991067571619675,0.008964062841679998,0.076671028830325
HALLMARK_COAGULATION,0.05814208401577834,0.15581989089670525,0.11303228907413831,0.053981559365127225,0.06850045940396855,0.19005624964916873,0.09589874955237007,0.13870242116314938,0.16456809730249958,0.2706550564952936,0.15869298651935654
HALLMARK_COMPLEMENT,0.00035852857090072404,0.07552087643921922,0.0804912581612916,-0.002494128402359547,-0.017174549549570886,0.11999730495728733,0.06693541013174861,0.1399849970719873,0.09215207359216503,0.08643840671939455,0.15338355005439763
HALLMARK_DNA_REPAIR,0.04904307412967106,0.0318168574137816,0.09403126080720274,0.007103110843468165,0.07886726449199834,0.12719359326535012,0.05962544664445877,0.1561613944489698,-0.012307863423846047,0.09571754856163348,0.13286016642447576
HALLMARK_E2F_TARGETS,0.015204627415610362,-0.005273328852031876,0.028019691467232988,-0.004525744700965593,0.06871856897709416,0.15886685650651491,-0.016798646723333904,0.1407826541455439,-0.019937591341029726,0.029531376959933183,0.12726298504171837
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.08388354696490408,0.10087761046721845,0.0969258340599297,0.025474286057696943,0.019565069877272377,0.15002665111149524,0.18853305134974488,0.17212498222834757,0.24132851841080277,0.3265607820439979,0.18885590106530875
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.023844760551432122,0.036629035094276674,0.028766093431883404,0.015727822842630027,-0.012217116963362492,0.13651281963020367,0.16022303996801027,0.14084233835856136,0.027338910581580465,0.11629810960275666,0.15951894535790984
HALLMARK_ESTROGEN_RESPONSE_LATE,0.06455037920381364,0.11037770619010023,0.15049693844845557,-0.030847285720168684,0.05781931512862405,0.11741423365460012,-0.025509063607601887,0.1001555160864809,0.11600123654260427,-0.01292283206407488,-0.0008571849466602446
