,UKF313,ZH8812bulk,ZH916T1
HALLMARK_ADIPOGENESIS,-0.023663105003863184,-0.07190253500529438,0.004751573493736385
HALLMARK_ALLOGRAFT_REJECTION,-0.01331229691938974,0.009093311666371902,0.03949386110182989
HALLMARK_ANDROGEN_RESPONSE,0.09063144654971608,0.026632529835406506,0.012335993242934695
HALLMARK_ANGIOGENESIS,0.09656724004163285,-0.03200849375175136,0.05722573527051668
HALLMARK_APICAL_JUNCTION,-0.0022054368496590335,-0.019194948396261905,0.015230988153162654
HALLMARK_APICAL_SURFACE,0.03969919234207874,-0.006103072639241611,0.0012699524745306914
HALLMARK_APOPTOSIS,-0.04972668777871262,-0.03827739358076515,0.024032717034784015
HALLMARK_BILE_ACID_METABOLISM,-0.04269498155879052,-0.013330410860523894,-0.004532448012873899
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.007050299480641481,-0.0015667556223314572,-0.036918990226594214
HALLMARK_COAGULATION,0.03388679086470687,-0.03266303442003384,-0.020330603010124255
HALLMARK_COMPLEMENT,0.020987854769148606,-0.04331586130982605,0.021687664005084574
HALLMARK_DNA_REPAIR,0.008729866621998377,-0.023202759326232926,0.002490291512740288
HALLMARK_E2F_TARGETS,0.07358445603958073,-0.007129980138152397,0.0025249003065630645
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.017259587663100266,-0.0601140762905943,0.041056144834616184
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.0014152351355873106,-0.045180925670654175,-0.03029070783149993
HALLMARK_ESTROGEN_RESPONSE_LATE,0.030491670125053827,-0.020277748439664713,-0.009504952984168527
HALLMARK_FATTY_ACID_METABOLISM,-0.04448977552949486,-0.00045892079695801697,0.008790251079960992
HALLMARK_G2M_CHECKPOINT,0.05800395982589044,-0.038037578228419903,-0.0022982165833714666
HALLMARK_GLYCOLYSIS,0.057694225551867755,-0.012583732619619155,0.007314989444117129
HALLMARK_HEDGEHOG_SIGNALING,-0.08602222169096727,-0.07247954262030361,-0.08614013254621608
HALLMARK_HEME_METABOLISM,0.07004607979302208,0.022181626395101572,0.011089446282231637
HALLMARK_HYPOXIA,-0.023556757413568417,-0.06694974712308097,0.023485137819883508
HALLMARK_IL2_STAT5_SIGNALING,-0.038830245553070665,0.07569772511241146,0.004881779373738941
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.05344842521309037,0.02827292935171496,-0.047002085837724875
HALLMARK_INFLAMMATORY_RESPONSE,-0.09566232330560125,-0.05411400182234167,-0.04517267091880365
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.004141732148722852,0.0686078173009222,0.021293152224418355
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.004011316196905271,-0.06546569934135749,0.03016499851469906
HALLMARK_KRAS_SIGNALING_DN,0.024812778144959146,-0.058832092657978,0.03945396268221701
HALLMARK_KRAS_SIGNALING_UP,0.007306840869926726,0.046719757882326074,-0.005022409451418205
HALLMARK_MITOTIC_SPINDLE,0.062705614415975,0.022779239023505406,0.020058080523508392
HALLMARK_MTORC1_SIGNALING,0.07510906008004112,0.028742729574228548,0.02551425454091897
HALLMARK_MYC_TARGETS_V1,0.08509117904516521,-0.02699052345214879,0.0019672807159437145
HALLMARK_MYC_TARGETS_V2,-0.0358627584593963,-0.04185845668992047,-0.022339275492702326
HALLMARK_MYOGENESIS,0.17845450484054431,0.018170803114914917,0.034335849386193655
HALLMARK_NOTCH_SIGNALING,0.05761384805901376,-0.014267294811160177,-0.0012874074770778622
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.04832623004957196,0.012717677309876947,0.0026765290439221896
HALLMARK_P53_PATHWAY,-0.003099715008743139,-0.026282126265368248,0.030350647603607814
HALLMARK_PANCREAS_BETA_CELLS,0.09223046697158278,-0.0074431542870435205,-0.026461724127630273
HALLMARK_PEROXISOME,0.06505036399828976,-0.05688660392558931,-0.02701330042881378
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.010855468742282987,0.008300864529378393,0.014931340129968648
HALLMARK_PROTEIN_SECRETION,0.11888762558726679,-0.03481091543253536,-0.01992607881427916
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.018386773267104403,0.07996946902364165,-0.0005699730655544381
HALLMARK_SPERMATOGENESIS,0.14004566869522272,0.019658796537501206,-0.029269352517900634
HALLMARK_TGF_BETA_SIGNALING,0.06412055030933972,-0.016014425661046272,0.014505563381874115
HALLMARK_TNFA_SIGNALING_VIA_NFKB,-0.017525333330404094,0.006619233469493464,-0.05125628707888953
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.11357828536961827,-0.005671596504426734,0.020343220839255483
HALLMARK_UV_RESPONSE_DN,0.08784316324070647,0.0028019079674882954,0.08416194594874787
HALLMARK_UV_RESPONSE_UP,-0.04431904958655666,0.05496825862032219,-0.00379651643322236
HALLMARK_WNT_BETA_CATENIN_SIGNALING,-0.007631619804656924,0.004130375929369578,0.019646273877933048
HALLMARK_XENOBIOTIC_METABOLISM,-0.04053552379256535,-0.029905096007300156,-0.02068601833030146
