,MGH258,UKF260,UKF304,ZH1019T1,ZH1019inf,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,-0.029246269414545622,0.07486504652250946,0.053909097904926186,0.12165720181970947,0.12880412131516858,0.06119907084782777,-0.017486327059854,0.05180512301123545,0.11338595026761315,0.08748002900201547
HALLMARK_ALLOGRAFT_REJECTION,0.04118073471976118,0.10998660873934075,-0.06537802977018907,0.18062875668139247,0.14540663976157325,0.03787136429226343,0.0005668226719233845,-0.028316320156329546,0.0028980180633201625,0.029991624090341125
HALLMARK_ANDROGEN_RESPONSE,0.018944347420501103,0.11044942721744402,-0.08704278432133623,0.13125103405993507,0.1131093462182477,0.06522123613823304,-0.03294314620834821,-0.0019499847700030124,0.057243511147098004,0.049694061391840565
HALLMARK_ANGIOGENESIS,-0.040780014320461924,-0.1468945889126753,-0.04838900547315403,-0.043125817356243816,-0.04562241062026954,-0.02603834835364147,0.019923278681800563,-0.07906630934966692,-0.08973085078738942,0.008216682882882062
HALLMARK_APICAL_JUNCTION,0.01695652013741326,-2.3696418941371853e-05,-0.03912916020072131,0.03136275233259654,0.1503657780140803,0.05756078789820776,0.011171003185004693,0.066025939705978,0.07659760681994432,0.014472127109534293
HALLMARK_APICAL_SURFACE,-0.06496522711398733,0.00795636657228317,0.008482160758621422,0.10775699878842185,0.17394668690729534,0.0813324032288405,-0.019606019305555007,0.07186144438772375,0.04781572831067303,-0.0016622789235179482
HALLMARK_APOPTOSIS,-0.016065240622389843,0.026183567139993563,-0.037108899407909124,-0.0012588477436130457,-0.002599617803547267,-0.006474825098446228,-0.0210071099286258,-0.03186592639470766,-0.008105509035370976,0.0062827713927569055
HALLMARK_BILE_ACID_METABOLISM,-0.032664244362263464,0.029102644765752823,-0.07445249175850256,0.12549141254083931,0.10467176543407754,0.024284875311485755,-0.05822237397808451,0.06324728926005803,0.11406103832860219,0.07309308698844535
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.0065557476499810575,-0.011701630495830236,-0.06282629875628953,0.10805763703925962,0.11866087274967153,0.07421421921935917,-0.06053818471599627,0.03949340880838123,0.11706064570716095,0.0888965699909175
HALLMARK_COAGULATION,0.004816359791905268,0.0547871974886489,-0.04644468836681141,0.10338254199375053,0.13411033070786874,0.0495225614446672,0.04878363347175812,-0.035338911597718556,0.0037662830709426632,-0.02151093607215263
