,UKF260,UKF304,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,-0.07181448067601408,-0.014602359624186285,0.07647280006565921,-0.0044116203762783295,0.09549052435838419,0.0963174308259407,0.09320118016103979,-0.024397707218583052
HALLMARK_ALLOGRAFT_REJECTION,-0.024140237064221033,0.06366674579554318,0.02533833034480967,0.04949315960982446,0.07330670947782462,0.0728491436079722,0.05832704310832543,0.014123919691811213
HALLMARK_ANDROGEN_RESPONSE,0.011552663152309694,0.031857487583796494,0.09205371545613829,0.013146152501217822,0.09884433823462353,0.09185778249292353,0.04927216049313662,-0.026965648575130768
HALLMARK_ANGIOGENESIS,0.0393335207456083,0.1158280934460727,-0.05682999355832082,0.031641034419814015,0.04320774264631014,-0.007420908630526126,-0.12093762041279095,-0.01756595878452284
HALLMARK_APICAL_JUNCTION,-0.023985119587267255,0.032777796823665,0.10482999206252538,0.012177145699265325,0.12150892274968368,0.10197604599645634,0.024269807161169967,-0.06059574045773754
HALLMARK_APICAL_SURFACE,-0.10070398254820187,-0.045896503526019004,-0.06733358878815648,0.009741129708002212,0.060942649232099896,0.10585444891571685,0.041686747185335646,0.05712022348887089
HALLMARK_APOPTOSIS,0.06378643356937674,0.0003816760554179006,0.005916367576786951,0.00819248780281282,-0.05058309345720757,-0.02775488796152975,0.06191489598956111,-0.016135459536545545
HALLMARK_BILE_ACID_METABOLISM,-0.07176026545224393,-0.0064662676056671834,0.046947064646486306,-0.01883890600835342,0.11643471676281765,0.07309970044781715,0.12459587734287687,-0.0410332022132474
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.08511727889331626,0.09391827447029201,-0.08900983713773676,-0.044507358478940905,0.09225375282764352,0.09242687183191883,0.09187292479026944,-0.06378986422674641
HALLMARK_COAGULATION,0.005310342457678776,0.13241020137212992,0.03692154477360197,0.05188480373789471,0.10941903014874609,0.07582199681452449,0.023696178091490463,-0.061718825125594366
