,UKF248,UKF251,UKF260,ZH1019T1,ZH1019inf,ZH916bulk
HALLMARK_ADIPOGENESIS,-0.011191567576089374,0.022531263208550055,-0.028659189023729704,-0.06597856176359793,0.11309845502278648,0.04308005059088238
HALLMARK_ALLOGRAFT_REJECTION,-0.020963794515722205,0.09691787169870007,0.007525021626117916,-0.0735944741116988,0.09881916513201007,0.0463944722317047
HALLMARK_ANDROGEN_RESPONSE,-0.011604656910894694,0.004842114898111533,-0.05659376010031486,-0.060212609369054884,0.029429245875536136,-0.008575355582417662
HALLMARK_ANGIOGENESIS,-0.06857949889679399,-0.007872960798449425,0.054458701603793055,-0.012531392896053598,-0.03889133028939027,0.050722206717357145
HALLMARK_APICAL_JUNCTION,-0.007835123000648682,0.016485554268147327,-0.030894857837121443,-0.07621733980685165,0.07413358881657775,0.016980119151612745
HALLMARK_APICAL_SURFACE,0.032722608815932946,-0.02716146479014973,-0.03334974704620254,-0.010624009811483339,0.00794640357765335,0.007145695832979382
HALLMARK_APOPTOSIS,-0.04909068567157371,0.028545675478371585,-0.029692081623247032,0.01660062849092018,0.05183934011869422,0.0011357459714090167
HALLMARK_BILE_ACID_METABOLISM,0.0028031664374158095,0.003546666903537907,-0.05761958957306286,-0.10476693701604498,0.07626746208282982,0.046271044360840966
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.012876524717820526,0.0973037256162766,-0.011254334341946934,0.001612919940552742,0.060334264174409645,-0.024031261224503202
HALLMARK_COAGULATION,-0.045722704921668404,0.039882266645824026,0.0008630061823321585,0.03485375316972117,0.07403173638138365,0.009628577567955827
HALLMARK_COMPLEMENT,-0.05523918826489333,0.07341275257701631,-0.008142923295413558,-0.06352443783184182,0.08426401856083147,0.045749768513252936
HALLMARK_DNA_REPAIR,-0.016891680384592763,0.016927765320423106,-0.053267083448517355,-0.08974070633253198,0.05596497453361091,0.009256589626823259
HALLMARK_E2F_TARGETS,-0.005461738500669787,0.028338139896198093,-0.001085906691294582,-0.08400177474609347,0.008201278457178022,0.029713492581430943
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.06032066482733849,-0.01164374292048284,-0.02601374394176483,0.027021841345169363,0.09548126050221087,0.03428550973692739
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.024524850225008558,0.024136960409695374,-0.03496208651371577,-0.027452796620662783,0.06969773097844234,0.0737750938321283
HALLMARK_ESTROGEN_RESPONSE_LATE,-0.007752455550693619,-0.0009253291409868558,-0.007903099310485549,-0.004676958513027633,0.023029880493166077,-0.024687759294358954
HALLMARK_FATTY_ACID_METABOLISM,-0.025709026239657012,-0.006039078324855339,-0.06178481212651155,-0.03173495284362539,0.01103754922691795,0.029875781795689338
HALLMARK_G2M_CHECKPOINT,0.007119979756248699,0.021162572827539087,-0.0819440381980516,-0.011635521082196095,0.012519513431073987,0.03476471453289498
HALLMARK_GLYCOLYSIS,0.015160140629625828,-0.020046087438705073,0.05200379137350134,-0.022613327098366817,0.007023073268324172,0.017763583066172
HALLMARK_HEDGEHOG_SIGNALING,-0.029092391942331663,-0.0472265313591868,-0.015755618785383993,0.02704252703140466,0.057101431076690815,-0.005992833628242444
HALLMARK_HEME_METABOLISM,-0.03329285592081827,0.03486915579248107,-0.08591986384802888,-0.009940735085725249,0.10776538140559945,0.04805257169034366
HALLMARK_HYPOXIA,-0.004698085205746774,0.004870115878124794,0.022459207176711904,0.08097926409770045,0.05698336781483175,-0.003266375491864243
HALLMARK_IL2_STAT5_SIGNALING,-0.037738755719603605,-0.04123373105520736,0.057404670117066965,-0.022565557983382476,0.06211336570108719,0.0005592286578691936
HALLMARK_IL6_JAK_STAT3_SIGNALING,-0.022333791944789332,0.017325342067168892,-0.0372615911381135,0.006372798623681004,0.04011137849493656,-0.05973459988550777
HALLMARK_INFLAMMATORY_RESPONSE,-0.041097925327624366,-0.015045603870965448,0.001598246847911546,-0.009879606899912864,0.057154367919134565,0.07402262931578377
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.005106309717288349,-0.005016028654578846,0.042317975683402856,-0.08841905588312693,0.0745176365121992,0.01239759749646832
HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.035948080115932306,0.03696832070710344,-0.0172651687371927,0.00020857893007691466,0.0426856808377787,0.012681968360991622
HALLMARK_KRAS_SIGNALING_DN,0.011941105974441804,0.06561813257353317,-0.016111748924447136,-0.06819154403013375,0.08690013909811298,0.02527477779173247
HALLMARK_KRAS_SIGNALING_UP,-0.03974095562702168,-0.029467062593484895,-0.022836177743986726,-0.08058270842958924,0.12553767977354122,0.0771816287937274
HALLMARK_MITOTIC_SPINDLE,-0.01759772697847472,0.018243819640922417,-0.026991238644220254,-0.07660467980344632,0.06611702046102753,0.06131706893616985
HALLMARK_MTORC1_SIGNALING,0.012753200228830629,-0.03582182512339238,0.009325935367060192,0.08227492697963533,0.05138479734696118,-0.00197852980348794
HALLMARK_MYC_TARGETS_V1,0.03710829372626744,0.03416720674101593,-0.01579270300375111,-0.026147865883340952,0.04303792029104041,0.02948899537541254
HALLMARK_MYC_TARGETS_V2,0.0017915585467406802,-0.035007799877958226,-0.019829565840893435,0.047005237052328196,0.024974000056479966,0.017493145253265112
HALLMARK_MYOGENESIS,-0.02874350445639634,0.023469017268175536,-0.03120369866076701,-0.06994743733886884,0.0007689552151669205,0.027104676219992952
HALLMARK_NOTCH_SIGNALING,-0.014880744522617112,-0.044807519261952804,-0.04499185125202837,-0.04064969041620872,0.09614463038807455,0.038383345555094726
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.037048940443941844,0.04160358146282056,-0.022279800953942584,-0.04138319733563507,0.05900537484287224,0.04091978100655301
HALLMARK_P53_PATHWAY,0.026647314293999982,0.022628052436808276,-0.013751429937716955,0.007423280808824944,0.0076649318276010795,0.04438638525969969
HALLMARK_PANCREAS_BETA_CELLS,-0.0017213437438032572,0.06735797842258275,-0.03472654384868465,-0.0088859738232067,0.08018276993457762,0.01285280242865685
HALLMARK_PEROXISOME,-0.05315234876425476,0.017714450375932802,0.0427305393645046,0.030853212421878176,0.027629036720089793,7.868758874562768e-05
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.009575134538483852,-0.002076272667983204,-0.0315979430575178,-0.06895460789376717,0.06892470732812275,0.04036844067086265
