,ZH1019T1,ZH1019inf,ZH881T1,ZH916T1
HALLMARK_ADIPOGENESIS,0.05501107362576987,0.009071573964928213,0.041627830078195614,0.10395613472838176
HALLMARK_ALLOGRAFT_REJECTION,0.027003040556418997,-0.016261514386999205,0.010366081411211326,0.02297363468645864
HALLMARK_ANDROGEN_RESPONSE,0.04330258403508901,0.02956374039642594,0.007532873898358989,-0.012460224151489377
HALLMARK_ANGIOGENESIS,0.01839463113689782,0.039147079037300456,-0.005910655167895684,-0.14017042247437855
HALLMARK_APICAL_JUNCTION,0.040865081381921825,0.020377102821658416,0.04503932265137473,0.0412541370913991
HALLMARK_APICAL_SURFACE,-0.066692197905071,-0.040092627815035635,0.07249346012306927,0.020139842442688558
HALLMARK_APOPTOSIS,-0.009844772444644006,0.04354434105041291,-0.0069451080568611046,-0.02947282898782291
HALLMARK_BILE_ACID_METABOLISM,-0.0006299395908851388,-0.016943161701569946,0.09043294655298306,0.13221760100589885
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.020224374045505165,0.011613383795267428,0.041084865825708874,0.10363093833020698
HALLMARK_COAGULATION,0.01704379570254799,0.014793487093084673,0.004264591094433008,-0.03261759895688497
HALLMARK_COMPLEMENT,0.03815057031403973,0.038443223803055836,0.02190304923497939,0.08566937509671643
HALLMARK_DNA_REPAIR,0.034383526041003976,0.045190783043177925,0.05892955580154109,0.12980512364165553
HALLMARK_E2F_TARGETS,0.027165997790160615,-0.013280668289092678,0.04344320943216842,0.13492396336828139
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.028141867453136887,0.09770512247276274,0.02007338624228803,-0.06477602637039544
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.06282886666327926,0.08354685846138467,0.05477137149787989,0.07755443675428202
HALLMARK_ESTROGEN_RESPONSE_LATE,0.07993150359533854,0.04942900629776695,0.055986775558711885,0.08094486698581418
HALLMARK_FATTY_ACID_METABOLISM,0.028006900110599486,0.06966063062935604,0.014488210920230242,0.07140730083612208
HALLMARK_G2M_CHECKPOINT,0.04554669934446122,0.06139142432309443,0.02898865400736228,0.09868378513076438
HALLMARK_GLYCOLYSIS,0.08992409810681459,0.07969996129169332,0.09959211941017998,0.10573599926981198
HALLMARK_HEDGEHOG_SIGNALING,0.15734939294959602,0.13918614261145745,0.059566257409164575,0.03427297210054605
HALLMARK_HEME_METABOLISM,0.07850747612062649,0.04561489362367748,0.06800417536670338,0.09560992913459712
HALLMARK_HYPOXIA,0.0055112487959131495,0.10826287874206107,0.028162322579279996,-0.0011018896673328832
HALLMARK_IL2_STAT5_SIGNALING,0.06873066667595368,0.015164787038315487,0.08290630373407303,0.05231490905127139
HALLMARK_IL6_JAK_STAT3_SIGNALING,-0.024326686958279237,0.023045773767636377,0.051602392707217594,-0.033634683178464804
HALLMARK_INFLAMMATORY_RESPONSE,0.04606992293603272,-0.005243041314368645,0.023434878271582006,-0.049271216096752314
HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.01436028122409496,-0.05583070283571996,0.02996672052529257,0.07554054460608188
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.005426698117812607,0.06732337351132864,0.06004064997393579,-0.049643512875299396
HALLMARK_KRAS_SIGNALING_DN,0.042819319027172315,0.0036299617721742344,0.10822421591876644,0.14310213722125772
HALLMARK_KRAS_SIGNALING_UP,0.07522902757168383,0.035055468509406905,0.06267669045949532,0.036679004003301326
HALLMARK_MITOTIC_SPINDLE,0.04425304927683219,-0.01420744797921798,0.04681763212257447,0.10825378829910946
HALLMARK_MTORC1_SIGNALING,0.08684335085998952,0.09967104352337379,0.0687437628999737,0.04552402161293645
HALLMARK_MYC_TARGETS_V1,0.0490507083607159,0.0359942479895707,0.01572395649538083,0.1381597833766158
HALLMARK_MYC_TARGETS_V2,0.0552096319095071,-0.01114889583576417,-0.011540333941191944,0.05975634341106405
HALLMARK_MYOGENESIS,0.06362230091705731,0.04388086977983682,0.0007016033613277076,0.008806756683208735
HALLMARK_NOTCH_SIGNALING,0.08513573509473715,0.04800239670179985,0.05176184956537791,0.1518088060699206
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.016046007645265974,0.05269941505945004,0.05184093557854314,0.16519988523496762
HALLMARK_P53_PATHWAY,0.06394904331593582,0.052290085677276034,0.0689646702121936,0.13216766447087336
HALLMARK_PANCREAS_BETA_CELLS,0.02910496954249173,-0.0318657278124859,0.04914913339156741,0.13313861475230795
HALLMARK_PEROXISOME,0.04549911507690283,-0.022454995423026005,0.04789365393527302,0.03839787795482155
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.020165692592228033,0.042337549402369494,0.03767290900942659,0.06599168689724035
HALLMARK_PROTEIN_SECRETION,0.08595826314824644,0.06946279664355585,0.11486050435246752,0.11844879278390437
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.0322040329557976,-0.0228916042797246,-0.005993020696560343,0.028205165133519252
HALLMARK_SPERMATOGENESIS,0.10719092690715226,0.007299802437191626,0.08194365803750847,0.17337431207916826
HALLMARK_TGF_BETA_SIGNALING,0.054991101596498566,0.024330242563478634,-0.013545408421992826,0.024445561051859938
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.04614822781588842,0.04086934872196434,-0.005071784916916846,-0.022829256096461956
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.08644777395440797,0.06383073383972736,0.08254185586164267,0.05379994489410539
HALLMARK_UV_RESPONSE_DN,-0.047188588977020746,-0.035592612632918075,0.013415430291031786,-0.019843162979474558
HALLMARK_UV_RESPONSE_UP,0.057212281753711215,-0.004541490675561873,0.06782380201423432,0.10433001950087054
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.005290452565401838,-0.02301901445258365,-0.01587422219192064,0.03528409471241162
HALLMARK_XENOBIOTIC_METABOLISM,0.012961295042811044,0.04038978336221404,0.0581744523267585,0.08423740503393065
