,UKF248,UKF266,UKF269,UKF296,UKF304,UKF334,ZH8811Abulk,ZH881T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.04723883070033935,0.035071720353689696,-0.07009222955692311,0.05797732549129225,0.0939966851871712,0.0866473766074262,0.09806557249281787,0.016855131709195458,0.01857297519407691
HALLMARK_ALLOGRAFT_REJECTION,0.056553510219632654,-0.15186323126387394,-0.1406740656789288,-0.01829284968923466,-0.14544909480929313,-0.09667113594318286,0.009106594488684783,0.014020189393106628,0.016487848261024743
HALLMARK_ANDROGEN_RESPONSE,0.017536754930001095,-0.04857070825460063,-0.15105253068795227,-0.012314172520211126,-0.06935623973086805,-0.09946431860735423,0.05273352890666095,0.03785871801515406,0.0359802366995582
HALLMARK_ANGIOGENESIS,-0.048794908775049155,-0.11572711510761025,-0.1315155657588692,-0.05605590111625151,-0.11177884445008156,-0.18433765712302133,-0.03656046292523848,-0.013168603562462841,-0.09761587799286495
HALLMARK_APICAL_JUNCTION,0.0015964613197173298,-0.0755183296620888,-0.12507382827180072,0.03964243051974002,-0.015122537921727875,-0.09164519380931,0.08732214309097774,-0.027613822722700406,-0.038175486814143185
HALLMARK_APICAL_SURFACE,0.046496703045909055,0.07244844110372738,0.11167522470892562,0.1011690555957451,0.06142772776183817,-0.05458217622078026,0.13235290474414027,0.012897774964309957,-0.013467008068253081
HALLMARK_APOPTOSIS,-0.03534793545426363,-0.008253096445377188,-0.037716748419369776,0.01498595795826671,-0.005149426806938024,0.0924768198493504,-0.09435671255010152,-0.03909109582381755,0.048083972489723514
HALLMARK_BILE_ACID_METABOLISM,0.03325982201360964,-0.018908853740364225,-0.14583286262097672,-0.009720456366887642,-0.038235156305297634,-0.04823846720847622,0.11614886658326819,0.030335839534969,-0.03813409768377251
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.04109512039279007,-0.07101904188420463,-0.13032566777417248,0.008590297389282185,-0.0972152809193778,-0.1530144858922451,0.09095481009468638,0.019967515601642543,0.034358337723553345
HALLMARK_COAGULATION,-0.007524985838399211,-0.13639472491358193,-0.14956148792861673,-0.08436037527264025,-0.15398886515219967,-0.1303111406649341,0.024615627504014383,0.019479821591566002,0.025529617325343288
HALLMARK_COMPLEMENT,-0.009009547496334938,-0.053517370052491645,-0.11981483816299855,0.031027050307504488,-0.09652412261619008,0.03877369114581535,0.02105664168510165,0.021066717484699814,0.047852684384952195
HALLMARK_DNA_REPAIR,0.017558421080932578,-0.048389149081956954,-0.09551690358187177,0.057524604077173656,0.09961412319631165,-0.04790742119062682,0.12328091690192278,0.016621529567347804,-0.012359609962213072
HALLMARK_E2F_TARGETS,0.05634912174563856,-0.12227469079558917,-0.11196404444245993,0.0316580385698593,0.119206393021797,-0.106052172733814,0.041518720841900336,-0.010673733504667554,0.0006775168417084154
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.06362965055824951,-0.12002367752488718,-0.1194077799653172,-0.04088040406507231,-0.1405559017206505,-0.1704125482361079,-0.025808100035611965,-0.017134070398448397,-0.05979728621399654
