,UKF243,UKF259,UKF296,UKF313,ZH1007nec,ZH8811Bbulk,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.05985835015530244,-0.05388739666862456,-0.0002790938294461811,0.16580468829160067,0.15228581759101176,0.09864593020692503,0.021585675366941764,0.08928810293158668
HALLMARK_ALLOGRAFT_REJECTION,0.019343267317570082,-0.054503421214530556,-0.035826988387255405,0.19859106768614662,0.000672535850513331,0.10963146132865732,0.024764405417541394,-0.01355945522876885
HALLMARK_ANDROGEN_RESPONSE,0.09976276153329033,0.02377166539072523,0.015000172381431805,0.15985082857358643,0.06990136151062189,0.09761851442180891,0.06848133716525752,0.17157485102216133
HALLMARK_ANGIOGENESIS,0.05026496945128483,0.12517134263106505,0.0036212432917611666,-0.09572367949014962,0.05134501108209344,0.017658282113223994,-0.04115639368924861,0.14445811489782814
HALLMARK_APICAL_JUNCTION,0.0972290598639655,-0.06180853156646777,0.020993728586393014,0.2124298588164852,0.13297879236812174,0.06999965116603284,0.043873490680923444,0.1237396051123684
HALLMARK_APICAL_SURFACE,0.03347147217157499,-0.0372639438895775,0.03039767758708114,0.17884395182809557,0.11870187366115384,0.09179470518824501,0.021655622675050137,0.12692523203297254
HALLMARK_APOPTOSIS,0.023791460006339343,0.020608196117082936,0.003990973947908387,-0.011106310960295695,0.013818199757804987,-0.02663671094506408,0.05052198750974236,-0.01984718468412111
HALLMARK_BILE_ACID_METABOLISM,0.036372593155830434,-0.042419920257715925,-0.014698445310787834,0.06194801259941615,0.055440618066857905,0.08778730925219785,0.019606959896155067,0.07963437110153654
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.12180324223840155,-0.06014864280908729,0.014377710212359349,0.17870247061778385,0.07729210517107521,0.07980116434185396,0.07028206929376514,0.11851070287309319
HALLMARK_COAGULATION,0.07043416009349969,-0.09017993797166451,0.019586162123207174,0.13028668991272466,0.08153437550777098,0.056246026429698594,0.020881069887145456,0.058297622063286175
HALLMARK_COMPLEMENT,-0.0002849105379825112,0.0026702085661570135,0.012314064941931954,0.12366923267670672,0.12027287769010196,0.11599639586839974,0.06591198678459201,0.06573770774479457
HALLMARK_DNA_REPAIR,0.048884962869914866,-0.0026898650475197915,0.03669818122193237,0.17791014299405572,0.12886947679671726,0.1075863839499334,0.05284887040041842,0.14858611051768383
HALLMARK_E2F_TARGETS,0.06947233509874488,-0.08548022828474737,0.0561092152874975,0.13814704730085534,0.07524339394795601,0.1027747863756333,0.0344625553455266,0.10211102057033561
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.09832522101063873,0.06873465358918572,0.005631565857648858,-0.046660787989396206,0.02609977810396444,0.05474562713060371,0.022824873222355685,0.15449673061989977
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.07111423313242979,-0.04243944259847221,-0.016269180998207313,-0.11468509738374595,0.06253725696853123,0.03923979734138812,0.020652849117866315,0.14252648995509448
HALLMARK_ESTROGEN_RESPONSE_LATE,0.030163146591895274,-0.07315001859701581,0.04435336959578884,0.16184895427918491,0.03441207223873564,0.11129452665824677,0.07096511134870884,0.00527919835359564
HALLMARK_FATTY_ACID_METABOLISM,0.07673614209634903,0.04392662095643743,-0.0193361751612509,-0.0814175055516764,0.062006104811581066,0.07802524729393197,0.05211819227124681,0.06846823384502931
