,UKF248,ZH1019T1,ZH8812bulk,ZH916T1
HALLMARK_ADIPOGENESIS,0.015197332085079644,0.08595133392660964,0.010216549682374291,0.031383697212399794
HALLMARK_ALLOGRAFT_REJECTION,0.007903982677935135,-0.013525806803241017,-0.012613954002596316,0.021753228435645738
HALLMARK_ANDROGEN_RESPONSE,0.017933301712002775,0.05152416292111317,-0.00028104327052541183,0.03042914957276474
HALLMARK_ANGIOGENESIS,0.05480433543931017,-0.05916628619844794,0.02702047792141521,-0.0115491151723112
HALLMARK_APICAL_JUNCTION,0.04216443259657424,0.03405520540554209,0.04384478877408509,0.04365411577706083
HALLMARK_APICAL_SURFACE,0.04095700528084576,0.0721268926464299,0.05845318416171799,0.011923598121010213
HALLMARK_APOPTOSIS,0.025711065786103215,-0.035355374911999846,-0.006467702564371309,0.0091414438969789
HALLMARK_BILE_ACID_METABOLISM,0.0018603791139270877,0.05870514067782376,0.007224264535139184,0.06292233110734742
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.01212334240673828,0.12157638186965206,0.06288980697930771,0.007036300608534055
HALLMARK_COAGULATION,0.04773032308377926,0.0030446734460499478,0.03475988590239571,0.015280041942408638
HALLMARK_COMPLEMENT,0.0013673258319518468,0.03915003154945487,0.011408542578447351,0.013216523751456703
HALLMARK_DNA_REPAIR,-0.018149704361329854,0.09002114748778493,0.056134112596755194,0.059039173643361025
HALLMARK_E2F_TARGETS,-0.013301504310629687,0.060688733063080605,-0.006707719570964783,0.08152659609827265
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.0635642227091672,-0.010034004805377314,0.01681711991381679,0.02506188577209813
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.05415771305717789,-0.0012026651990171746,-0.020569922980462813,0.020369065984157417
HALLMARK_ESTROGEN_RESPONSE_LATE,-0.017298238835905866,0.04048953900063867,0.08027245041704979,0.01727368922705433
HALLMARK_FATTY_ACID_METABOLISM,-0.024437628544347036,0.10078674763300956,0.0724752507809911,0.03197547240243561
HALLMARK_G2M_CHECKPOINT,-0.020109547306967273,0.09597031309792714,0.015075989760271484,0.03809146452976146
HALLMARK_GLYCOLYSIS,-0.013741490235389753,0.004946424819865284,0.10714228842450495,0.04918672108604645
HALLMARK_HEDGEHOG_SIGNALING,0.012258909581440599,0.057621405227406525,0.02481302128764794,-0.017600265939703198
HALLMARK_HEME_METABOLISM,0.011016158891515426,0.06596787828900177,0.01776180852948026,0.0350009917735184
HALLMARK_HYPOXIA,0.020364416543321193,-0.031155327595119426,0.030194587542416232,-0.012606575365638284
HALLMARK_IL2_STAT5_SIGNALING,0.023766324755958815,0.014239686735030165,0.0035500303997907843,0.040448712864387996
HALLMARK_IL6_JAK_STAT3_SIGNALING,-0.0026799568127455924,0.05519459141894561,0.08334361214594832,-0.01141567188148073
