,UKF248,UKF334,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,-0.07504643572766248,0.07139982865826035,0.09271290422616604,-0.040736299353787045,0.09171489468244666,0.060101211206316334,0.11407530812608875,0.042682356832562975
HALLMARK_ALLOGRAFT_REJECTION,-0.005359370304807201,0.04057680989308959,0.15181843587860375,-0.0010712163742614075,0.06694943240409217,-0.0008110111160595022,0.07495591562352835,0.044275479082511136
HALLMARK_ANDROGEN_RESPONSE,0.012573457227074083,0.09826520074900787,0.12217140192179597,-0.0377110864246761,0.08547694044308948,0.0711360017207705,0.1987441527274483,0.0834208585920864
HALLMARK_ANGIOGENESIS,0.16771520759327005,0.10275821129429111,0.10220929239857839,0.15785611663723823,-0.005026501850989991,0.008633353003382792,0.1936294387618442,0.11408738473849822
HALLMARK_APICAL_JUNCTION,-0.08409678462967805,0.08028311884023795,0.1102591778340609,-0.053402790402421275,0.0666046813311294,0.10876838471219759,0.20401506691224414,0.05005947196942389
HALLMARK_APICAL_SURFACE,-0.1115243144978296,0.029822106420172644,0.09287327300406459,-0.008218356515171677,0.0916383199230135,-0.027823768343536635,0.19592389983506642,0.03416326963178122
HALLMARK_APOPTOSIS,0.0486207911947736,-0.03450621719403143,0.0801414466439774,0.030964280779553294,-0.005893535792633174,0.05099404578840089,-0.03188226141318384,0.007111138975119024
HALLMARK_BILE_ACID_METABOLISM,-0.10860974202892172,0.05111728981404471,0.13492766869715492,0.020250518111494017,0.05998505782151754,0.05062967180898751,0.0003635278327787062,0.04299586597801434
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.07446792161624913,0.0858940953698196,0.08509399558307101,-0.024737456655290906,0.09052875393527232,0.012432969088870614,0.04112257533897825,-0.001630247556347076
HALLMARK_COAGULATION,0.001836216519808143,0.027609361098932306,0.09617848648026879,0.005591875618957326,0.06985911081717998,0.023426341804491085,0.22001623770552264,0.028241773424030087
HALLMARK_COMPLEMENT,0.04510646503084507,0.05037963967919375,0.14029001400635294,0.025735416067064185,0.1394626630164924,0.022082703190068328,0.0810678282214514,0.087044205864778
HALLMARK_DNA_REPAIR,-0.10124536594197375,0.14040596087210844,0.11861624611765086,-0.03596854775995418,0.08501253011967295,0.09115595427731349,0.09859342105701246,0.012259673318640902
HALLMARK_E2F_TARGETS,-0.1378668449711082,0.08397874891579125,0.004563961587701979,0.08702437384235712,0.037939744409455724,0.08424382819437345,0.033321662406262116,0.0036926203006887354
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.12291486071008059,0.12892249780583667,0.04774135814038487,0.09489547169665234,0.04800195445427691,0.04522050795775052,0.20462936787239266,0.056144756293640824
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.05450114710530745,-0.02387888269124013,0.04069185207383352,0.02905280609044274,0.0388211641596581,0.019018956323880846,0.12468522319192286,-0.005565451337639218
HALLMARK_ESTROGEN_RESPONSE_LATE,-0.08360811894352925,0.12238273205493777,0.09270361038650538,0.054153015418667565,0.06261495004976501,0.07096549649003707,0.0172713827022197,-0.007256020139041447
HALLMARK_FATTY_ACID_METABOLISM,0.11637660224549683,0.035626003742472705,0.1459538514741431,0.016737035093278167,0.07292282612079434,-0.025938574020190123,0.06169904975141046,0.016287995316777805
HALLMARK_G2M_CHECKPOINT,-0.09430596266754972,0.08521536675004658,0.020625336985689444,0.07362691916917817,0.05396923050035504,0.04998094882448283,0.043313360724985324,0.07927037918672593
HALLMARK_GLYCOLYSIS,0.01387040415306756,0.10340924575137522,0.08378459366238677,0.017361226226284887,0.040507988066333406,0.07612163067694996,0.06793888597705307,0.03262753716390281
HALLMARK_HEDGEHOG_SIGNALING,-0.03306960435308149,0.0011546348805801523,-0.06068705719838635,0.03926681081456683,0.006570934100707387,0.08393775097384765,0.0635209147812704,-0.012513884279944766
