,UKF248,UKF259,UKF313,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.021450264956973455,-0.011946228904019366,0.0477868837654548,0.07428332848832354,0.016597897154072217,0.14191345872363756,-0.017138106747609506
HALLMARK_ALLOGRAFT_REJECTION,0.04537350119155037,-0.06446309032093582,0.03401703611247607,0.010561171207726023,0.004785113996649303,0.1488063853139357,0.015025216595646061
HALLMARK_ANDROGEN_RESPONSE,0.042447245668981684,0.03172272818735792,0.03990900519753077,0.05257827788797164,-0.0019655233989491682,0.15234485522606356,-0.0723768859513282
HALLMARK_ANGIOGENESIS,0.020762565411802356,0.10870780322511947,0.06105762140250835,0.10091528850986044,0.03184082612568447,0.008779738076963146,-0.06355294487264475
HALLMARK_APICAL_JUNCTION,0.054779841372097744,0.024508004525860196,0.04513715106094037,0.08892645106089489,0.02047655344062523,0.16918501423372004,-0.013916922887600587
HALLMARK_APICAL_SURFACE,0.054845821124212255,-0.03735832725661159,0.06275286355799188,0.0472013750178861,0.004880266296011744,0.12474574311287108,-0.06731111057547397
HALLMARK_APOPTOSIS,0.015711120943824188,0.0013725969254600326,-0.03181786098812712,0.058167471875445624,0.036388516149801514,0.08062051279241982,0.03236818331907079
HALLMARK_BILE_ACID_METABOLISM,-0.002126071583747911,-0.014276254476417524,0.015168819539721181,0.011559898457688608,-0.0015359186838421266,0.06956831503875174,-0.03446131325364219
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.03567852812906897,0.04201299503901522,0.022688249934443454,0.0510690008327923,0.010655167373213576,0.05947181364648782,-0.034256930764793726
HALLMARK_COAGULATION,0.046426265533392574,-0.03343541506633152,0.09770732336523914,0.12790257369203112,-0.0015950445375970414,0.17937315245819976,-0.0552193958138788
HALLMARK_COMPLEMENT,-0.0003041805055390738,0.032592402698460456,0.021784583961337613,0.10734327328015562,0.010115873396501636,0.0640337217745777,-0.0060631140178774206
HALLMARK_DNA_REPAIR,-0.009743719808301524,0.02566132299824284,0.04738253275797107,0.0671012313919396,-0.007584633077807443,0.12246885765051035,-0.06147974292115642
HALLMARK_E2F_TARGETS,0.030364066313349168,-0.048427338869785536,0.03333436931437834,0.06463416844248364,0.03242269693821922,0.09265127637458855,-0.04645375460333164
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.052502685185296355,0.07172727672257613,0.054052113431304616,0.10556743438014288,-0.0007278121053781092,0.14925242618927329,-0.013526766996554212
