,UKF243,UKF248,UKF251,UKF259,UKF269,UKF275,ZH1007nec,ZH1019T1,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.11872656322265401,0.047771545066881485,0.011595275025864436,-0.02837131601334523,0.07380477309375912,0.040480563058531524,-0.03453520074399362,0.0026268214274692307,0.09271548071394828,0.07054368757226248,0.045083487025865863,0.12089460731622523,0.06956257449486093
HALLMARK_ALLOGRAFT_REJECTION,0.0411168524918813,0.08645792860076856,0.04891125770690997,-0.05471892377775691,0.09934123742129297,0.041339033908294444,0.05289626028464265,0.060148515696027305,0.03203997128767133,0.03828536248649876,0.050711091837078795,0.03983304768393968,0.04892535374841499
HALLMARK_ANDROGEN_RESPONSE,0.027296246352369487,0.06433620244816346,0.02621329692837835,0.05365376067122369,0.08715922699065988,0.07557085850483085,0.04072309355052448,0.10215964640973012,0.08404876067226154,0.029720420118710372,0.017277750875547858,0.11128417746434933,0.07728349527547912
HALLMARK_ANGIOGENESIS,-0.003328200222767566,-0.006852390082842765,0.03690462511080691,0.05036791847421652,0.08703673447980964,-0.02899261215574062,-0.015433932323690499,-0.025910083199667644,-0.09089802034752766,0.027351968142611895,-0.0168277457696075,-0.06503592245829241,-0.036401348789977354
HALLMARK_APICAL_JUNCTION,0.1177496353261346,0.08170919006420616,0.02998146757930513,0.030975843518575966,0.08552425715828561,0.042039477969437314,-0.03851003282598539,0.012562331253822204,0.0917264875234404,0.10398957773810848,0.015700020911770484,0.07314052599025216,0.05475528369898695
HALLMARK_APICAL_SURFACE,0.1319434646918763,0.004842999652315246,-0.001100860832541911,-0.0655670205972154,-0.023375059353136947,0.032058525030970654,-0.027803751321312783,-0.056041503301545455,0.0801475364946134,0.020588259045250967,0.004827194543777993,0.0564246938230713,0.033523844305199245
HALLMARK_APOPTOSIS,0.04970329672066994,0.035499021091624616,-0.05461432525049927,0.046224707086804116,0.008644019403005005,0.04997894133675308,-0.06426442602643095,-0.00522707880299829,-0.06127991667474918,0.04987900891242446,-0.044679379550663194,0.05231393980461482,0.06820707862556186
HALLMARK_BILE_ACID_METABOLISM,0.06460353951094436,-0.003109715709153792,0.06325984587360751,-0.03997696445425913,0.10043759112181916,0.021665283308374368,-0.10665296392638576,0.03525867138641709,0.10799677800682823,0.007312740688493714,0.01508078944656042,0.1509880105949158,0.0777910762631367
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.09522345182694565,0.031801271406219196,0.01547443654666368,-0.023004078012755662,0.07465242385349233,0.02185309928480301,-0.08224429880544874,-0.033079628811390524,0.11527761815891857,0.04884904792212855,0.060836118669824815,0.1555235681435561,0.05936779922198153
HALLMARK_COAGULATION,0.13465323899517695,0.06658680786638613,-0.011393055358215753,-0.049245015343303104,0.11802583863993633,0.04586600629016082,-0.047321514103888795,-0.005132476806301942,0.04812476778162883,0.11995802242858594,-0.01010914144905252,0.056451967053100405,0.08652834274338828
HALLMARK_COMPLEMENT,0.1535198622998282,0.060378872398564466,0.03390796786810802,-0.026395567748864136,0.08687608690711379,0.014187715304007812,0.018128710103673857,0.05932149135782602,-0.00012477014934698306,0.08921186064581872,0.05093815203370296,0.17315617457296553,0.0349499361775884
