,UKF255,UKF304,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk,ZH916inf
HALLMARK_ADIPOGENESIS,0.048337932820054136,0.09584975629101782,0.03095498284950775,-0.10675146866261132,-0.2294936666210905,-0.10267158707294445,-0.020741150873561688,-0.06380157521886967,-0.1109857538086829,-0.1107514182638608,-0.004252083719150141
HALLMARK_ALLOGRAFT_REJECTION,0.03593568623113258,-0.07849908355788221,0.07889096908782917,0.07679652785118934,-0.15614369651697727,-0.10358284119971177,0.02618292149080911,-0.034588225741204154,-0.07056969549668711,0.012583127407497783,0.07709344576296635
HALLMARK_ANDROGEN_RESPONSE,-0.016716387011292678,0.09349775392794064,0.054750754628986494,-0.09003161153933607,-0.14372960689316255,-0.11563360911945188,-0.000916007405809578,-0.06433065626907074,-0.05306794571885009,-0.08384120256284004,0.03976421134367607
HALLMARK_ANGIOGENESIS,0.0947022038540199,-0.11983267562377374,-0.05650457011829098,-0.0001231082411857414,0.06558802450995041,0.05772052651039668,0.05233856473017408,-0.03653263669461506,0.06238712332833849,-0.03809005941243238,0.1403330560730205
HALLMARK_APICAL_JUNCTION,0.03733150385610338,0.13424522371593017,0.06481611022690262,-0.08175402073513953,-0.24114075211907268,-0.12496014666802316,0.028484818932350647,-0.07923721486463235,-0.10850551763247376,-0.09385034901914169,-0.06531916468654465
HALLMARK_APICAL_SURFACE,-0.04055617434869753,0.12821804635725495,0.08591442055909598,-0.10740903005441961,-0.23968510510634647,-0.1147758353318868,-0.03388673092536832,-0.009793655144578252,-0.08713229977850744,0.0019108453327511675,-0.01849431585330326
HALLMARK_APOPTOSIS,-0.048160319429036536,-0.02264813566204871,0.0042041422471885,-0.01774154313579739,-0.02591830196985931,-0.03812154430057038,-0.04755987018290117,0.053807638495760646,-0.06538278418936688,-0.028777902680688455,-0.07901706037342192
HALLMARK_BILE_ACID_METABOLISM,0.05279607543578134,0.0020298191829646013,0.10843883929524831,-0.08414125375433378,-0.22037361154372162,-0.07413604244203802,-0.03854737539813074,-0.051292635251804525,-0.08059376748405318,-0.050975808357095045,0.07209650932617183
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.04454884009937776,-0.04511411448896504,-0.04699890224349344,-0.11118527764118236,-0.22574644180117484,-0.09485038032266306,-0.11630097076423923,-0.01274438402388336,-0.06420821119956668,-0.08240403187182185,0.036981397287049314
HALLMARK_COAGULATION,0.04520352394641855,-0.06887375263221548,0.0006194067637669872,0.003955533713182305,-0.21850283710444304,-0.10828214786629378,-0.03119816743006267,-0.00423959236010806,-0.08689167505910533,-0.12004742822978547,0.10452714471520932
