,UKF260,UKF313,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916bulk
HALLMARK_ADIPOGENESIS,-0.045751358513883435,-0.05542026362107954,-0.1493351061178144,-0.07071794019075855,0.06802769227340853,-0.0352962856597262
HALLMARK_ALLOGRAFT_REJECTION,-0.018780312837703025,-0.05245022369268275,-0.10761751491172891,-0.022247691596037504,0.047336441054788264,0.033452726414325146
HALLMARK_ANDROGEN_RESPONSE,0.05619960167336658,0.008131065243740772,-0.1173619701927573,-0.05650441603125596,-0.010911353574932097,-0.013908556260637561
HALLMARK_ANGIOGENESIS,0.0675226440963828,0.109142294986527,-0.07265969233912506,0.018017575510059156,0.06909710379163965,-0.06861056407273736
HALLMARK_APICAL_JUNCTION,0.11304195922780974,-0.031793744587796775,-0.1444276641426209,-0.07995582164405966,0.06764533138751046,0.032879680068363316
HALLMARK_APICAL_SURFACE,-0.015545876585049256,-0.0486608539877512,-0.16694236149124497,-0.09755658187801125,-0.00987927326809567,0.0028383788932536944
HALLMARK_APOPTOSIS,0.09702859884950395,0.007437142234391631,-0.05941174420613262,-0.01851655087939333,0.025086941035197288,0.012946087002383722
HALLMARK_BILE_ACID_METABOLISM,-0.05081900167271985,-0.07295378918654213,-0.14530297551750876,-0.08357889368164848,-0.05615949138977186,-0.03576507981670805
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.037057990206430774,-0.06889599507904941,-0.12761895304396856,-0.09575161888504793,-0.02235542343592434,-0.08037278012784735
HALLMARK_COAGULATION,0.10314861167919985,-0.024248896217396735,-0.17286609675611986,-0.0731356740627566,0.08264096380586303,-0.04003832005427839
HALLMARK_COMPLEMENT,0.0523794358916813,-0.009784044355466388,-0.17152513163594243,-0.04625600146280461,0.007151533531112392,-0.042713839745896924
HALLMARK_DNA_REPAIR,0.04248719826322327,-0.042492448587085535,-0.12409604459529372,-0.09211003701018315,0.0751235180454218,-0.06909611157094195
HALLMARK_E2F_TARGETS,-0.04312023673731371,-0.018478699900594666,-0.08562290274856989,-0.055638227436848035,0.061975227610597663,-0.07882553899148333
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.12361448261318647,0.023413478393877415,-0.07572752936491985,0.05925903794956098,0.10947985014629207,0.005369116783009685
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.059127765830579215,0.06091007186138331,-0.13814200713948743,-0.06252422265192317,0.020715572306787184,-0.06907612164215282
