,UKF266,UKF269,UKF275,UKF296,UKF304,ZH1007inf,ZH8811Abulk,ZH8812bulk,ZH916T1,ZH916bulk,ZH916inf
HALLMARK_ADIPOGENESIS,-0.03800808401917201,-0.026663094251989376,-0.007175160438619975,0.009549174593361935,0.0865031657173879,0.046004553115641875,0.11721372052086855,-0.01666662386259517,0.0239956791675092,0.05179385969622051,0.05990710571820107
HALLMARK_ALLOGRAFT_REJECTION,-0.010679681666895703,-0.10904962015613809,0.014797566669922577,-0.02305954573700488,-0.1439451640741152,0.0830683510433242,0.05426457378224858,0.03463255487871424,0.09683983886592243,0.020716236682909273,0.004476468727260703
HALLMARK_ANDROGEN_RESPONSE,-0.05102668345423979,-0.14285370026697836,0.03044838482591321,0.0019772854569980484,-0.05986857387674381,0.1321352235288246,0.0687640591257109,0.06962529190685057,0.05982242025198311,0.09393403765797119,0.02019398530444196
HALLMARK_ANGIOGENESIS,-0.04001448774441559,-0.11426864356185722,-0.014436895345307838,-0.0629396360579519,-0.12549476672310386,0.14197539282922272,-0.042714316662653705,-0.08616484282026456,0.10141175379158639,-0.01229898854459093,-0.08996516019147799
HALLMARK_APICAL_JUNCTION,-0.0807770358845052,-0.05821782750932968,0.08044410417589266,0.07106791521442664,0.025195456722826085,0.03767682853604032,0.11813558454080494,0.002928487079846069,0.05011464726954819,0.0641866035854342,0.1350575779582854
HALLMARK_APICAL_SURFACE,-0.027048200806952936,0.13306854477915195,0.04610223210244517,0.04614452073835665,0.05274652704279588,0.030809928251250954,0.10243314412041296,-0.04660467133176857,0.06108454639953543,0.022217844491644018,0.0027955878060270645
HALLMARK_APOPTOSIS,0.05338469996408224,0.004289235982244273,0.053702765880442635,-0.02809900081913877,0.00989432682776166,0.03739874680519621,-0.08398535441321654,-0.027586911230466332,0.08482506437012269,0.0011307418358059624,0.10674202206319788
HALLMARK_BILE_ACID_METABOLISM,-0.07239439390743037,-0.11589262249707276,0.0596796315673763,0.001355947544228548,-0.03019847981458384,-0.013819397386162164,0.08537773071554326,-0.04746739714858641,0.018264146093239297,0.0645721556410898,-0.05822516678568711
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.03346666658045934,-0.10095307061013487,0.038144768789825284,-0.0422741277240784,-0.09141701333696277,0.04685738874570837,0.13114157855053893,0.07570913527221078,-0.035021872383198586,0.021993009324472682,-0.0487765280460926
HALLMARK_COAGULATION,-0.0410223041309315,-0.10806088986075787,0.00428378998003348,-0.022730807006335944,-0.1380923888687709,-0.007478015950787469,0.04192410891053203,-0.04594400608547942,0.07059131248041993,0.051369065283148836,-0.14176486347009162
