,UKF248,UKF259,ZH881T1,ZH916T1
HALLMARK_ADIPOGENESIS,0.09339667315515746,0.02222201589007334,0.04879891265028649,-0.030736468566099094
HALLMARK_ALLOGRAFT_REJECTION,0.025762807803937665,0.00423512858835644,0.07232315668267104,0.028240332018490157
HALLMARK_ANDROGEN_RESPONSE,0.07466792995336853,-0.006149737001492126,0.05782480383043944,0.04072269949963559
HALLMARK_ANGIOGENESIS,-0.0383248073095863,-0.03134430155713133,0.09073333914420074,0.032530907407087084
HALLMARK_APICAL_JUNCTION,0.11624267661361744,0.013673568193209744,0.02398616237342209,-0.05085173446257138
HALLMARK_APICAL_SURFACE,0.11452586285446278,0.05740752145383175,0.014950091734054849,0.00043488203094345525
HALLMARK_APOPTOSIS,0.004399423387544132,-0.041901615593320764,0.05668049733031754,0.029994244408292972
HALLMARK_BILE_ACID_METABOLISM,0.02845976024891274,0.021529299394922815,0.024792227863027486,-0.028924558233504833
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.030062005384677515,-0.012890368373367872,-0.06073440765524985,-0.05322586606052737
HALLMARK_COAGULATION,0.0630845744536536,-0.0021229548478510184,0.07090349078839468,0.03758950513351055
HALLMARK_COMPLEMENT,-0.018323804808902833,-0.032213289657235,0.1187421788765762,-0.006859109581154189
HALLMARK_DNA_REPAIR,0.08412896222051995,-0.011389045976891244,-0.01464683126073966,-0.04651287707110694
HALLMARK_E2F_TARGETS,0.09714046555095913,0.062775588184557,-0.037989141235961865,-0.0691521902395679
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.039028688730186556,-0.015210776438782478,0.11233362264118724,0.039872993583356484
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.04315202171142869,-0.013436977942171692,-0.018338889914716706,-0.004963085582545824
HALLMARK_ESTROGEN_RESPONSE_LATE,0.03219617325030532,0.04795106216134657,0.07935733076954221,-0.005150819769900182
HALLMARK_FATTY_ACID_METABOLISM,-0.0372535213521853,0.0358977798645182,-0.03306328104625547,-0.03571535853843946
HALLMARK_G2M_CHECKPOINT,0.061199994627846414,0.027537748763582306,-0.013355731530272735,-0.04727995559997128
HALLMARK_GLYCOLYSIS,0.03058574027692229,-2.8242388172320684e-05,-0.04284722029004342,-0.04794964759800035
HALLMARK_HEDGEHOG_SIGNALING,0.033864663726708336,0.05031357210045944,-0.09456538192563457,-0.009577424932915414
HALLMARK_HEME_METABOLISM,0.08587922766757886,0.009591680856507325,0.01498215286304984,-0.02218598496469326
HALLMARK_HYPOXIA,-0.059839323603578964,-0.029911060518221528,0.011746192968451594,-0.03109894192628859
HALLMARK_IL2_STAT5_SIGNALING,0.01667125288437326,0.03156578840364781,-0.004296438131337478,-0.02852610105405102
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.005684857490597125,-0.02218919056727762,0.037299917259053246,-0.046321830731740385
