,UKF248,UKF259,UKF275,ZH8811Abulk,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.08779923821799271,0.02826788690433099,-0.0026463286198648594,0.056695042372289395,-0.07514857375966323,0.012053696993557466
HALLMARK_ALLOGRAFT_REJECTION,0.046988346610952844,0.05390945815808893,0.08509581455876986,0.018544297288853533,-0.030597688939286962,-0.10857257041757251
HALLMARK_ANDROGEN_RESPONSE,0.06950592354792176,0.04945664612258455,0.06366333354830053,0.04912995675603889,-0.00612310990987361,-0.061196359379138573
HALLMARK_ANGIOGENESIS,0.03858639197129638,0.04845235697525906,0.01066907348976691,0.06517443464150963,0.08168452210617748,0.037206596624224694
HALLMARK_APICAL_JUNCTION,0.0763490357143237,0.03227127499637173,0.02876425727951072,0.09922974541000018,-0.03432124783810576,0.028827973059644848
HALLMARK_APICAL_SURFACE,0.047481291152714995,0.02561314183492814,0.07905057148818576,0.03894517474782796,-0.0669148462331173,-0.004697819782970745
HALLMARK_APOPTOSIS,0.05658820019603634,0.03480538024114273,0.0485102566114017,0.08578981203185349,-0.04866312172125937,0.028072511178692493
HALLMARK_BILE_ACID_METABOLISM,0.028393109449907996,-0.0035312503088930137,0.006634117252971968,0.053502163687558196,-0.06331766996777072,0.049684769956615256
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.05547365324220932,0.028209528449993696,-0.07513805561426805,0.021435492654423606,-0.030232024701814634,0.0535401873725176
HALLMARK_COAGULATION,0.09130472889973887,0.03563053357300335,0.03248289346163393,0.11034211453182133,-0.050168656288085006,0.1166578797408199
HALLMARK_COMPLEMENT,0.08583520523304294,0.06855954794620094,0.04914593958322757,0.061395260125159314,-0.06237609906116472,0.06678065349043916
HALLMARK_DNA_REPAIR,0.06180679800475139,0.04652368347733062,0.030605112024539236,0.06728779209741793,-0.04655672032191415,0.006417926357611464
HALLMARK_E2F_TARGETS,0.017725933902347224,-0.004491480108691202,-0.025856402482020646,0.08430710953457804,-0.059744371879773515,0.023556064227242973
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.054800802897565885,0.07716673579503144,0.004844399420742311,0.13843075698181054,-0.021833596163122776,0.05224697959807812
