,UKF251,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1019inf,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
HALLMARK_ADIPOGENESIS,-0.08182262195149834,0.08646100190683528,-0.07378312793699768,-0.11447212057053238,-0.019263082509425215,-0.02111845132464041,0.08844166995499819,0.004507220083466954,0.04206324254446369,0.016221678737187124,-0.003698492414469888,-0.0960961669516781,0.028556389442311883,-0.008266030643883166,0.07678029391977466,0.09357784664679877
HALLMARK_ALLOGRAFT_REJECTION,-0.0675801659810484,0.09096887566180802,-0.051983327251038776,-0.11392836889621728,0.022029188883390696,-0.03280477915503488,-0.04580974098103503,-0.024003093080751943,-0.11202107996980579,0.06522479207578342,-0.019671585735670242,-0.07268963855921788,0.05409555052824229,0.03054074385599316,0.05794634419298522,-0.03796428166691929
HALLMARK_ANDROGEN_RESPONSE,-0.015476019179589868,0.1529371753296093,-0.085658985297257,-0.13231604388882937,0.006518390170369249,-0.006942160686155663,0.02132188339305202,-0.011825484928228809,-0.07790488814931523,0.01842501118849415,0.060225284284759276,-0.048635702666670264,-0.010463486509301062,0.10350014546645742,0.05854929346368333,-0.04632878256925251
HALLMARK_ANGIOGENESIS,-0.005029016252116192,-0.09887637423061689,-0.020696804033277887,-0.1450186222314533,-0.13531234203252557,-0.023169962180437365,-0.06938572455082875,0.04494580331953579,-0.19431929495591768,0.0386394517092858,0.041649657423528504,0.04271240642021475,-0.032494387312702676,0.06400440077128151,-0.026690143314273756,0.00498723969756049
HALLMARK_APICAL_JUNCTION,-0.09766144922920456,-0.01132440580229693,-0.08471659127655466,-0.1313507233520124,-0.0356809920998691,0.015771384813156708,0.02646491621574145,0.03192946315532543,-0.08916123077683565,-0.039856291564909,-0.002845890922656428,-0.04028822859278213,0.04137088629578061,0.059844602477656425,0.058419132506497516,0.07993928621077231
HALLMARK_APICAL_SURFACE,0.04866548893947329,0.026313802481853478,0.06151287208552246,0.09024316268433265,-0.005152676233913931,-0.006424546069143638,-0.011948737008922695,0.09081364570454482,-0.05135780471280003,-0.097875393021932,0.022285185205329797,-0.04888806388665256,0.0381653789359474,0.07380968622803677,0.0214021889449093,0.009433794471422815
HALLMARK_APOPTOSIS,-0.02669580744119324,-0.028740699160453544,8.657177298268991e-05,0.015167287046852157,-0.043446868418494954,-0.03547032769506942,0.05745361708589087,0.013652211216988008,0.11869435170601995,-0.019823804945610576,0.054309777076971544,0.020881279737298156,0.0015630115668008057,-3.3630354815851676e-05,0.001815616010464098,0.023250241448392713
HALLMARK_BILE_ACID_METABOLISM,-0.030134255504226774,0.007756870529143867,-0.054818306592546606,-0.17983231199413843,0.011763020522271343,-0.017878899749138828,0.026980725045259186,-0.042243888897697764,-0.08964538849428023,-0.12506664358270403,0.006857587304008536,-0.04374978161221607,0.006123184396095918,-0.06453572533460646,0.06621564596560432,0.04678973773181381
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.0726334595345008,0.022227451748989033,-0.07321572491605413,-0.0921263310034062,-0.06747434187002162,-0.07203578585914405,-0.01613333160060779,-0.012177267889000221,-0.15583128190085385,-0.05027674793018018,-0.022472323198117546,-0.008036029316543672,0.035960172840556144,0.003946600515734061,0.03677928079050918,0.05108848149163285
HALLMARK_COAGULATION,-0.05121443694891887,0.0012949334706406869,-0.06063148086394551,-0.150671152665644,0.007548605228386222,-0.07712884620521071,-0.04854256496213752,0.08612099637842195,-0.13044448226455915,-0.02108893848231957,0.012835145618628314,-0.06299535501078662,0.039158610975485335,0.031543560804297016,-0.014479668435300729,0.02039008845503809
