,UKF248,UKF251,ZH8811Bbulk,ZH881T1,ZH916T1
HALLMARK_ADIPOGENESIS,0.0874868014229197,0.03553214627490124,0.07946351657289565,0.06267328415475258,0.07023997558099271
HALLMARK_ALLOGRAFT_REJECTION,0.014371100285700206,-0.043142064716966765,0.05635577814812482,0.03661808541983036,0.019710801643985188
HALLMARK_ANDROGEN_RESPONSE,0.0503598013090045,0.016564403913136325,0.10476065522352505,0.037179070850047236,0.016716408057452982
HALLMARK_ANGIOGENESIS,0.0320769951303566,0.0049639912916040274,-0.009549250299019473,-0.07118094255077044,-0.10199515713259594
HALLMARK_APICAL_JUNCTION,0.058078676991224584,-0.016445463909634167,0.0998525388095511,0.029490683998021627,0.026089599198971324
HALLMARK_APICAL_SURFACE,0.0432841941078289,0.0004033701087015837,0.07850792028914279,-0.026822786915055123,0.017782114397298612
HALLMARK_APOPTOSIS,0.028278127118462778,0.02000652131082969,-0.013907114741530157,0.04426766473558038,0.029702346221183396
HALLMARK_BILE_ACID_METABOLISM,0.004880650481096415,0.04016453825373184,0.09528357145934896,0.010879262066819278,0.049195000258266515
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.029726629225553493,0.01717378245119406,0.09851291675328523,0.06360577735602808,0.06697493241379725
HALLMARK_COAGULATION,0.06954625002860533,0.025518087572619915,0.10056609800188043,0.054629731723027763,0.0378203388637299
HALLMARK_COMPLEMENT,0.046755862629884286,0.01707697279385393,0.0696787941054305,0.009766077818372444,0.06695513410442482
HALLMARK_DNA_REPAIR,0.035695368629159924,0.03588850996283054,0.09416852818023351,0.06750948447361355,0.058178487297409494
HALLMARK_E2F_TARGETS,0.026192455183108337,0.011825621234619447,0.10222057604982515,-0.018813099216930793,0.04527981217139051
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.0015547306143511175,0.028185257534819142,0.012246327320075488,-0.04753716065520181,-0.01750584025909631
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.04276301355804276,-0.061012806737320534,0.06056017005612606,0.013150587928141496,0.03379288267748176
HALLMARK_ESTROGEN_RESPONSE_LATE,0.05266652324967246,-0.004000328060887941,0.07731964383392641,-0.05410149069337114,0.0613991199303813
HALLMARK_FATTY_ACID_METABOLISM,-0.008277511545245196,0.025764624720281872,0.018699354550794973,-0.0250926766069792,0.03240696273646898
HALLMARK_G2M_CHECKPOINT,0.03325495119542031,-0.04690480284307686,0.06940721327334275,0.0317434296693636,0.04662371355485427
HALLMARK_GLYCOLYSIS,0.02992477800310638,-0.033427463592990814,0.040555646596588876,-0.0010308624433968917,0.061128060867281044
HALLMARK_HEDGEHOG_SIGNALING,0.08123870494227897,-0.01983796596829145,-0.009487423200413498,0.019558750209152192,0.06019405473237454
HALLMARK_HEME_METABOLISM,0.08025156171082336,-0.007084898968677769,0.07868025110457587,0.08156048406618575,0.06304268089415037
HALLMARK_HYPOXIA,-0.07484921630046809,0.047454215225993156,-0.04877311116060501,-0.08884193528221516,0.01242283323035255
HALLMARK_IL2_STAT5_SIGNALING,0.027206960768419868,-0.012375492537774644,0.0739911786789651,-0.02244205265877935,0.025261319431821562
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.053865492045456945,-0.04053451109146272,0.06610677760940328,-0.05177777859257982,0.06255237394816897
HALLMARK_INFLAMMATORY_RESPONSE,0.010528903668921213,0.01388533492844087,0.0032718617414424257,0.057099665957786094,0.006626201516817561
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.09739724170112879,-0.033187001510227236,0.1000356328606498,0.019836879555037677,0.04979617540634563
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.06957199826991965,-0.001909240674583195,0.06584242041476049,0.036419677105865716,0.0443187818602051
HALLMARK_KRAS_SIGNALING_DN,0.07671091073083587,0.013842494291195688,0.07246029609947259,-0.013285826797124844,0.09379547607299447
HALLMARK_KRAS_SIGNALING_UP,0.05941763163616425,0.00710524385534429,0.087464457723425,-0.002815014149635875,0.04002154166592475
HALLMARK_MITOTIC_SPINDLE,0.08548939202957327,-0.002767954041985708,0.07943980602660851,0.03886021193442674,0.04711193979739567
