,MGH258,UKF260,UKF266,UKF296,UKF313,ZH1007inf,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH916bulk
HALLMARK_ADIPOGENESIS,0.007404109907729769,-0.04321839541640189,0.03398091757062834,0.0164357646543313,0.0032721406603850984,0.08297395011871365,0.0848640976852009,0.016515135076536826,0.06790605604223215,0.11003699037411419,0.10473404524905892
HALLMARK_ALLOGRAFT_REJECTION,-0.00870958540479327,0.05001539365925433,-0.0387584868250529,-0.022726881948250545,0.012328468132824674,0.013043503096980687,0.003858046650117542,-0.02434474474940773,-0.02234631805106512,0.08970848648820816,0.0635994980527373
HALLMARK_ANDROGEN_RESPONSE,0.03561141345621057,-0.044285388623791916,0.04579773806222555,-0.0590783558972385,-0.012138596266394467,0.04932932519070526,0.048670759900797035,-0.031139200586580016,0.05452375134209757,0.11660002884925226,0.053684169285082156
HALLMARK_ANGIOGENESIS,0.009718752778920956,0.007531866132296777,-0.03713298380858784,0.048348372580061694,0.04587557461832319,0.0649591665357791,-0.058405500770665725,0.009494563276283704,0.036006316527196464,-0.025471243036196495,0.011136036924483757
HALLMARK_APICAL_JUNCTION,-0.0013074476460364784,-0.022376230852726615,0.023819340116420708,-0.042146602873210676,0.007222028849747707,0.06574161275159329,0.009973251569902688,0.04514551562172208,0.09831961868548143,0.10043683303959619,0.09434712586627511
HALLMARK_APICAL_SURFACE,-0.019714269077234295,-0.08588991983420338,0.022872386423439632,0.02530360447456627,0.0008251311782102097,0.1321282580476793,0.14783755787118427,0.08968108616264688,0.08952069292646762,0.13320642796018262,0.043185964600965465
HALLMARK_APOPTOSIS,-0.02246720687713861,-0.029379602728749645,0.02690403462120345,0.0026649067646977312,-0.031044426368247637,-0.022407263271312806,0.013124081076728791,0.0012143724433646716,0.024970888569456944,-0.03683837204375304,-0.012220468630052852
HALLMARK_BILE_ACID_METABOLISM,-0.025629044817717075,0.010789758580107632,0.07845714544110964,0.009576126532846755,0.0270584910073596,0.05672651821757873,0.10820551889566202,0.07483270493445769,0.08797242863039814,0.11489183668209033,0.16667311665903312
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.025486749121136763,-0.03985909244430339,0.026068581049393674,0.012335135112943615,0.012836328289756338,0.0311746713461268,0.14513108090044846,0.06681414753237751,0.09610447448100763,0.11658010208690067,0.11501816616680079
HALLMARK_COAGULATION,-0.04770758258173164,-0.002111333958212649,-0.009476860761634412,0.015687710379384736,0.021364256784776662,-0.020292028013133664,0.06023784976308085,0.07369632794041853,0.0006364897480973128,0.06239124065746587,0.044332018117864413
HALLMARK_COMPLEMENT,0.030480217120251826,-0.006290437517742766,0.028853646690850245,-0.06106473389702523,-0.032249120763901365,0.13046311157304122,0.053450211590402606,-0.02310561081433985,0.04315632503001049,0.09547870669673426,0.04740618932982943
