,UKF251,UKF259,UKF304,UKF313,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.0699354023244633,0.03650522332310737,-0.014603272970604141,0.12341175345443448,0.009255263671464222,-0.0179343873592371,0.13440514073067197,0.12681152034840146,0.12190153702632801
HALLMARK_ALLOGRAFT_REJECTION,0.0733171576587811,0.02696770844520833,0.08748005854057529,0.13560787932757168,-0.04011266121989486,0.08172586179659791,0.05509176191802467,0.07079715035415898,0.0024047333730737213
HALLMARK_ANDROGEN_RESPONSE,0.043670176389417434,-0.025321358070207425,0.07655355106511294,0.09245032560407535,-0.07889318017274488,0.002961834509152967,0.024867342042067347,0.12179370862907175,0.09542677137722641
HALLMARK_ANGIOGENESIS,0.029273630511668366,0.03719168243342614,0.1059255140010918,0.03375228868664839,0.033267302441713435,0.02194064817386309,0.1346478624846898,-0.007788388275879428,-0.01254579795268041
HALLMARK_APICAL_JUNCTION,0.06981259329201654,-0.05021633988445473,0.030427838586756305,0.18298695920461142,0.0028991285832283362,0.03677862390625437,0.1412806657745905,0.17231256294639688,0.09243383371059667
HALLMARK_APICAL_SURFACE,-0.04347652524204014,-0.010402986717433428,-0.11233803761698674,0.1547818058261869,-0.02368109303383044,-0.06717451690769156,0.06557909604061583,0.15850455867059043,-0.030327042270664618
HALLMARK_APOPTOSIS,0.0067283725248692685,-0.00048249770440078827,0.05182667664140593,-0.07818859536976912,-0.05074263664654728,0.04292984401872376,0.06738066179747756,0.06253637946726605,-0.02940507254289614
HALLMARK_BILE_ACID_METABOLISM,0.049368280418587714,-0.012899568105667546,0.08598271620029807,-0.004360126203481324,-0.05503668376301944,-0.006019958090930848,-0.05435510745133908,0.08779207387298699,0.15904961049048708
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.018844133752525645,0.023023694285954847,0.08541285381871706,0.12443765900001742,0.0819642138270614,-0.022636588151257655,0.040719645646312884,0.1079042233522197,0.1105725317076891
HALLMARK_COAGULATION,0.007062156468098777,-0.020061734672918535,0.12583971296727,0.1903653508697463,-0.05423178891171277,0.08247465256288114,0.09289534628764258,0.12277122127939283,0.0634687687029986
