,UKF248,UKF313,ZH1019T1,ZH8811Bbulk,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,-0.008488732560995776,0.062022576810266974,0.00989132937615346,0.08329732490095498,0.13493658930633085,0.06747950557950942
HALLMARK_ALLOGRAFT_REJECTION,0.10918057016832858,0.04403607128973899,0.056050356334796006,0.028978834068112528,0.0889334065133246,0.052841452537027045
HALLMARK_ANDROGEN_RESPONSE,0.03068107841633581,0.04106864902364192,0.03523665514055455,0.08110872587482923,0.06625502920606138,0.10297723423577829
HALLMARK_ANGIOGENESIS,0.03495682241043584,-0.036685621795647466,-0.02256006193801424,-0.09153593814559191,-0.05566319716773893,0.07110031353512834
HALLMARK_APICAL_JUNCTION,0.0887448658354452,0.06129642341019839,0.10763083702606839,0.10615202295960725,0.12591977970048998,0.09455612196113003
HALLMARK_APICAL_SURFACE,0.018685634715943596,0.05120651135240311,-0.059902371708269286,0.10637912033146471,0.09934207211093117,-0.013854876285208073
HALLMARK_APOPTOSIS,0.1088877441438856,0.08566073796814586,-0.03934352686125155,-0.06792327314869415,0.0914031437601139,0.030035260966930176
HALLMARK_BILE_ACID_METABOLISM,-0.013807067452131758,0.01701023506493265,0.06748220897002524,0.10174120775309649,0.0977034471967532,0.06159448400946607
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.02503794464137556,0.06349986837760235,0.07614764940386012,0.13196719781843097,0.1177702404158437,0.06330061227237042
HALLMARK_COAGULATION,0.11895103002094831,-0.047351922247335664,0.0047913039653519306,0.018772032977057325,0.10329036101816673,0.12969303363918827
HALLMARK_COMPLEMENT,0.01046813461839453,0.06371398599578494,0.07344715992061311,0.04054870919666161,0.11425683081824074,0.062193828540356634
HALLMARK_DNA_REPAIR,0.012457823567070274,0.09352596605839722,0.06837658292769659,0.14510392152249968,0.12675125315787097,0.0540148993992935
HALLMARK_E2F_TARGETS,0.0168534954861349,-0.03134559505390375,0.05270990867421959,0.07819773964495198,0.10636998952119012,0.054278469658134924
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.14114481588705527,-0.06118691120717059,-0.018903565509112905,-0.05201692937872987,0.04641851288531226,0.13013590708612388
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.008615801135225577,-0.054695432332261956,0.01685284261324672,0.047411473180670176,0.09178899123046966,0.03503396771607876
HALLMARK_ESTROGEN_RESPONSE_LATE,0.008642919321180997,0.06659528456157647,0.10433681120218946,0.12394572478644371,0.05346827191314808,-0.00837393119799039
HALLMARK_FATTY_ACID_METABOLISM,0.04198885152048302,-0.05141836815248904,0.005661214867221172,0.05485433059173936,0.04259744773974523,-0.00205297711191396
HALLMARK_G2M_CHECKPOINT,-0.02567205321758147,0.09242911863764668,0.04686766719406278,0.02602408733125875,0.06657313065900719,0.02877130343113155
HALLMARK_GLYCOLYSIS,-0.05985291224021083,0.004942997696674344,0.024792437515542737,0.13230164161944985,0.08997779715614593,0.05497761658000095
HALLMARK_HEDGEHOG_SIGNALING,-0.08167937105118807,0.05597905828086818,0.015750497899661486,0.06909231677515655,0.1152887215971163,-0.02084401448693913
HALLMARK_HEME_METABOLISM,-0.010000532650027674,0.04299548829572191,0.03039881339985207,0.11978425791487853,0.11603870947632952,0.02026699703647369
HALLMARK_HYPOXIA,-0.01673466214536672,-0.027306607346677666,-0.026034905685253247,-0.0018646877390330375,-0.021936469718444578,0.045071975415902334
HALLMARK_IL2_STAT5_SIGNALING,0.017470419640499526,0.055451033138499445,0.010612398235185012,0.11520725074312678,0.0848725990429187,0.10657312708909232
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.02816173942649926,0.014689258724846376,0.11584054580233485,0.06533376594835379,0.10420416894427001,0.05464088617764622
HALLMARK_INFLAMMATORY_RESPONSE,0.07404924683512372,0.09730929208432626,0.040099377316210286,-0.022999625383179453,0.042754328254759756,0.08049090599488232
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.04838139484070414,0.046954852015525975,-0.001794336158421672,0.08560423732169033,0.12826385047434358,0.030307418426147613
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.05100277437959212,0.17287351809783041,0.015375853736064584,-0.02307506562546565,0.12961860361682723,0.09319916996968965
HALLMARK_KRAS_SIGNALING_DN,-0.05587296669919568,0.034203618658797674,0.0651031014331453,0.1301119908516086,0.08304768915302745,0.0032090644579744823
HALLMARK_KRAS_SIGNALING_UP,0.0011618114675901947,0.06588288308015197,0.07322629678647556,0.05003388798703113,0.07703012464462693,0.03223277550635359
HALLMARK_MITOTIC_SPINDLE,0.04709760049008011,0.06961587445679752,0.04920243979000089,0.10980630038886394,0.09556248981288015,0.07543317078002633
HALLMARK_MTORC1_SIGNALING,-0.055627333204844844,-0.02699006498426661,0.018854314769280026,0.013551161939969629,0.03572740220619733,0.03562039370441956
