,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916bulk
HALLMARK_ADIPOGENESIS,0.07626301842121658,0.04009454494486922,-0.043723813152993,0.08580813162838825
HALLMARK_ALLOGRAFT_REJECTION,0.11816789865323511,0.05350215558924301,0.054126727744138146,0.008352775711196497
HALLMARK_ANDROGEN_RESPONSE,0.08047783101702101,0.04335458464625995,-0.040791963644965894,0.11785135349749062
HALLMARK_ANGIOGENESIS,-0.09405010140640256,-0.05878234760956914,-0.00425554242446726,0.15400528440285965
HALLMARK_APICAL_JUNCTION,0.04230638543456986,0.03127783688843604,-0.08397769574624228,0.15231268907555592
HALLMARK_APICAL_SURFACE,0.05196161808822928,0.006198246388145757,0.062417281598598315,0.10808383910167677
HALLMARK_APOPTOSIS,-0.10491539608445251,0.02203752889886648,-0.09954122888262015,0.01858721302767052
HALLMARK_BILE_ACID_METABOLISM,0.09296341628065785,-0.00014849613537486,0.07330644956656168,0.019915558331620183
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.07145766647240963,0.022834757659477706,-0.007719470384174606,0.06958849797678225
HALLMARK_COAGULATION,-0.007403630377308453,0.04869812056349535,-0.12059221888856546,0.11984934373469822
HALLMARK_COMPLEMENT,0.08150277815974798,0.023292020807151193,-0.027376024242055517,0.08828806963155846
HALLMARK_DNA_REPAIR,0.08308778854080862,0.012941124368889726,-0.006418572773071844,0.10894194690546663
HALLMARK_E2F_TARGETS,0.025815753951780797,-0.00021305230637515954,-0.05631723792917211,0.10201979614033103
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.09739658018883138,0.004916618542818766,-0.12942178214618624,0.1517091838400722
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.06208774111569126,0.029005937939400407,-0.09083870085638411,0.1165145646507855
HALLMARK_ESTROGEN_RESPONSE_LATE,0.06990851984351328,0.018296625053641085,-0.04133396405073106,0.02644112683809439
HALLMARK_FATTY_ACID_METABOLISM,-0.05309106504205502,0.005828305896007342,-0.04503800551719823,0.0688159928818397
HALLMARK_G2M_CHECKPOINT,-0.022568832467665254,-0.021695800394427152,-0.043815388844495394,0.11115261329734742
HALLMARK_GLYCOLYSIS,0.05299543651214207,-0.001372966230334508,-0.05815691681611819,0.12547885427071995
HALLMARK_HEDGEHOG_SIGNALING,0.05613832502326928,-0.032366679955982414,-0.043198665652793136,0.05449615843092752
HALLMARK_HEME_METABOLISM,0.07975696783430485,0.020799269329213253,-0.04910348303357263,0.08435410279644433
HALLMARK_HYPOXIA,-0.0556556700576662,-0.06368092169866095,-0.08239943333852612,0.0895450027051212
HALLMARK_IL2_STAT5_SIGNALING,0.0700285786631474,0.02578790084513708,-0.012565815033916268,0.11508296384924101
HALLMARK_IL6_JAK_STAT3_SIGNALING,-0.012263728594176848,0.020689168741795994,-0.06935752293028123,0.12216189859421069
HALLMARK_INFLAMMATORY_RESPONSE,-0.04027736994077022,0.02105030622377389,-0.07547347848008888,0.11867221025496431
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.07392519901697558,0.0344808344576683,0.08222933749178413,0.027510991120387438
HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.03910010465072542,0.038535076241014286,-0.08478973552698768,0.10370131165857295
HALLMARK_KRAS_SIGNALING_DN,0.0833200622141515,0.017215427669431793,-0.02895677070278226,0.07949469412917426
HALLMARK_KRAS_SIGNALING_UP,0.048351663475960004,0.02793027649239999,-0.09485844835094538,0.0863463107257866
HALLMARK_MITOTIC_SPINDLE,0.07286667481457294,0.009509161535643636,-0.0184059583202421,0.12643566080556087
HALLMARK_MTORC1_SIGNALING,-0.051565488309385614,-0.043066254583297575,-0.034851731082393554,0.10571288688608377
HALLMARK_MYC_TARGETS_V1,0.11859480174891678,0.01711022998091148,0.039231316151423494,0.11795452160504212
HALLMARK_MYC_TARGETS_V2,0.02073138073547335,0.008289952641554955,-0.026370418432583746,0.07843047274682029
HALLMARK_MYOGENESIS,0.05899658070995803,0.03407296661408147,-0.023957949873124836,0.04893562984980272
HALLMARK_NOTCH_SIGNALING,0.122031250006257,-0.0005707326894343606,-0.06273266919897867,0.06787124617297477
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.10396469248633539,0.012251619726372837,0.08080215715260022,0.02458891151597982
HALLMARK_P53_PATHWAY,0.11502035804605389,-0.0028719883609103713,-0.042490826192658045,0.07621517052121372
HALLMARK_PANCREAS_BETA_CELLS,0.09255745440265686,0.006372177384737336,-0.03917835417680855,0.01286818595729062
HALLMARK_PEROXISOME,0.11568219199246284,0.04576591686572366,-0.009696239530858755,0.09562706882254082
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.09499395442666654,0.04322008174836262,-0.025913671106353387,0.05434613261444232
HALLMARK_PROTEIN_SECRETION,0.07211033872090124,0.022838822612544028,-0.07151144878102121,0.13017225306644137
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.1205023674083637,0.02054656684560404,0.17050020558032528,-0.019221144563231388
HALLMARK_SPERMATOGENESIS,0.10443501288337521,0.01244881631184639,0.04476839229672046,0.11699727395855401
HALLMARK_TGF_BETA_SIGNALING,0.09697276718145631,0.04954359531451299,-0.04150151089154575,0.13966067695538598
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.0042392401713505405,-0.024711907425061692,-0.0355365851310935,0.1187301207236607
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.07457697830187224,0.02703587234433541,-0.011049992974005213,0.13724817493563238
HALLMARK_UV_RESPONSE_DN,0.028695813963819514,0.03009759590967561,-0.10448602631195023,0.10649578931546423
HALLMARK_UV_RESPONSE_UP,0.04341819296467625,-0.004425702483220839,-0.052531653620511175,0.11334528982459942
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.08903365720642628,0.011303981978634052,-0.047919293140094465,0.0858759213334087
HALLMARK_XENOBIOTIC_METABOLISM,0.02972905562553192,0.029057923778206603,-0.05194709954898273,0.0736713004592204
