,UKF248,UKF251,UKF259,UKF296,UKF304,UKF313,UKF334,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
HALLMARK_ADIPOGENESIS,-0.03805253565168862,0.004396914839502166,-0.08162558645335267,0.09387440123260998,0.06374098615371389,0.0990076563823041,0.024733399760784053,0.03421685145409469,0.04623153267136778,0.04787100538428406,-0.049903469599398224,0.10416528111137165
HALLMARK_ALLOGRAFT_REJECTION,0.005965251369796272,0.0013324531410056936,-0.054596518280909806,0.01970608252415065,-0.006585342824758368,0.08229266060767636,0.0022787575229146423,0.12706156488191483,0.07741007516995843,0.0383119845328887,0.031901394733602685,-0.02928686736056636
HALLMARK_ANDROGEN_RESPONSE,-0.036237661523556335,0.05727874650814415,0.03354919142396084,0.1006793615685013,-0.027246883240692004,0.0712029168033358,-0.030279328456038444,0.03457815152105768,-0.011963866646587752,0.05695456941900834,-0.04372002618801486,0.04472433539217215
HALLMARK_ANGIOGENESIS,0.033683833914860586,0.048636411073699266,0.0344619078555422,0.020212343883217892,0.01838559749642049,-0.06477829655440767,-0.10266624682871973,0.04660503932917732,0.008637138975077917,0.07055839060530128,-0.01928610433700274,-0.12158339071048785
HALLMARK_APICAL_JUNCTION,-0.02393944693156653,-0.0209333090753943,-0.03644501459278164,0.05355691857546353,0.029760469410028054,0.08944564884483128,-0.05605965430375421,-0.02155028641981701,0.04682805964689046,0.09263097820948402,-0.0676550112264519,0.13373451668888095
HALLMARK_APICAL_SURFACE,-0.05878426849277278,0.07048369502805499,-0.08422972752931171,-0.011533502249551249,0.03291890403276944,0.06564301179240999,-0.07827157431032943,0.01732072110547851,0.020592808656143945,0.057310592465979415,-0.05333396166291705,0.05257935764466045
HALLMARK_APOPTOSIS,-0.03402341108526869,-0.011104293298801039,0.026964061858841936,0.034549353392387835,-0.00466074712018673,0.0332628084650128,0.07826533882591773,-0.03287878703907891,0.0032739866696661225,0.0639623203224575,-0.12255881228102641,0.07606744513651822
HALLMARK_BILE_ACID_METABOLISM,-0.02296713605294488,-0.03497774291927913,-0.08686543792050228,0.036461912061517054,0.07707597520851873,0.033562666919018935,-0.07414619416551858,0.024040124925547964,-0.0031462146720161264,0.006738769584638873,-0.07689220859250341,0.062292101809913875
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.04279547325399616,0.026202282281535982,-0.023436657021045575,0.043897159809689314,0.05178779633565419,0.09874385283432423,-0.07118017493073682,-0.033817520842283906,0.06581230369840442,-0.004806052852546169,-0.042409617473610585,0.08976521503831814
HALLMARK_COAGULATION,-0.03918152039589901,0.019066727511940454,-0.10236415246640308,0.0969836748466669,5.989809295432518e-05,0.07707671412546584,-0.023560577149764582,0.04507833797171656,0.07458415333054327,0.1138482617894016,-0.05250529204055959,0.052599963085624125
