,UKF260,UKF304,UKF313,ZH1007inf,ZH916T1,ZH916bulk,ZH916inf
HALLMARK_ADIPOGENESIS,-0.107745731004824,-0.023653999301878826,0.11295273801835207,0.12547869337626189,0.025347096489822835,-0.03618930057088973,0.010355709454282967
HALLMARK_ALLOGRAFT_REJECTION,0.010583760663134005,0.1133420605026095,0.11357034104716258,0.11833920737805817,0.09764401204683656,0.03575885649085559,-0.01808077020120559
HALLMARK_ANDROGEN_RESPONSE,0.012112514563811747,0.07999246792311947,0.09960738604793176,0.14385976956060875,0.13265359987231468,0.05088255534649349,-0.016908605287589057
HALLMARK_ANGIOGENESIS,0.0860939676687687,0.14601619404905677,-0.0861588537222187,0.0730089587410789,0.14168271435869495,0.04292552059197873,-0.20300343097814094
HALLMARK_APICAL_JUNCTION,-0.008583186992436286,0.050963933061895166,0.10640508973510264,0.1420735489151357,0.10126950417616398,0.04095368124978912,0.017426115902475878
HALLMARK_APICAL_SURFACE,-0.04228214815387167,-0.11369296173096044,0.09385250541977923,0.1456878518803226,0.10964208395882186,-0.06828310779986774,0.06757247441927272
HALLMARK_APOPTOSIS,0.12994104440479737,0.05840375891004897,0.04186219322828685,0.03133631753196844,0.08347645035752588,0.02883345359996367,0.01995480791388798
HALLMARK_BILE_ACID_METABOLISM,-0.15372675984062786,0.022007833926226836,0.09998459891074127,0.1481570594405884,-0.0421641837248953,-0.027443353356515345,-0.008361823356892341
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.0838132181989614,0.08588992533981898,0.11179752078884396,0.053374147956788645,-0.05577138626822925,-0.05490127720256151,0.03475273845745598
HALLMARK_COAGULATION,0.0375016027704542,0.1722625195834125,0.006505283899894655,0.14547191916795857,0.1359176425437579,0.03350790013554848,-0.05822790467976637
HALLMARK_COMPLEMENT,0.06561416520922014,0.10285373461324825,0.13746438286132728,0.10818158830960983,-0.010339448858822226,-0.026435194517189294,0.06143746620343913
HALLMARK_DNA_REPAIR,-0.05776388541050298,0.0021406488483435094,0.12470021999399439,0.13492718886238808,-0.001856773392046891,-0.004213714608420705,0.06904122648656574
HALLMARK_E2F_TARGETS,-0.11064598659785421,-0.07626238195688467,0.057869757750266204,0.043206991224366637,-0.009490713837788066,-0.0114254293354616,0.024907694102360357
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.14840270648998843,0.1366690720978181,-0.09763059081029259,0.1736144094545629,0.237680586685933,0.10775016646668505,0.028908068269224735
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.03852305186256604,-0.0939630929733304,-0.10493443898612176,0.17515809597578894,0.034316186411482506,0.008147694131112233,0.0918045887260493
HALLMARK_ESTROGEN_RESPONSE_LATE,-0.07608559579133255,0.11120216053172877,0.09530694277943443,-0.010694391860403956,-0.05196506033005831,-0.0652113578837276,-0.005826752569487546
HALLMARK_FATTY_ACID_METABOLISM,0.05770558643894076,-0.0325496840153435,-0.061801739199811585,0.1320262615435349,-0.053003871480849556,0.027966146641365246,0.07105217451323766
