,UKF248,UKF251,UKF255,UKF259,UKF266,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1
HALLMARK_ADIPOGENESIS,0.11093031847156228,-0.000588476225414658,0.15615826757455933,0.03224843600951329,0.11073836469772474,0.07111048573128652,0.1093202307785073,0.08925413095329346,0.12525335515378827,0.19540054016205793,0.2442674294985302,-0.035661207606043605
HALLMARK_ALLOGRAFT_REJECTION,0.10073675759873298,-0.0225427971624637,0.0713582785171482,0.03183073686503559,0.21898965293502576,-0.022482102019715147,0.03402555018752581,-0.12402967128138646,-0.017114150034295877,0.04400923148404044,0.1334722098995305,0.05931409338045876
HALLMARK_ANDROGEN_RESPONSE,0.10907069917057885,0.011944162585403387,0.11153871050408194,-0.00044289750764282685,0.20133812652466082,0.008508059505605717,0.10508279454708244,0.05143859948621262,0.08243231737649799,0.22191143503319993,0.24964961691073279,0.034850613121692915
HALLMARK_ANGIOGENESIS,0.02906516245190185,-0.0719828918382248,0.09623239691176196,-0.024179301916025478,0.251242730033918,-0.05750747211605333,0.06103869134246029,0.049725213483083765,-0.039847295662892836,-0.03872210604021021,-0.10968558107273842,0.031131012178226586
HALLMARK_APICAL_JUNCTION,0.11684091897555722,0.03361347238652136,0.11932924669392002,0.01026591891302174,0.2741363309826309,0.042349633790901814,0.10068958644931493,0.07019063082313946,0.057119504693908224,0.27127059006757587,0.2763260900582957,0.02227246767115523
HALLMARK_APICAL_SURFACE,0.08618748418590041,0.06976977724845489,0.09155752323798406,0.046053803255280294,-0.005848766000978756,0.0480682144359408,0.1402703482125358,0.1126732975792518,-0.017469721909187025,0.2806458786623643,0.2438478903653271,-0.0065760999452424635
HALLMARK_APOPTOSIS,0.055840618910931686,-0.029299618983575085,-0.0026562969074230003,0.040574614865745415,-0.030214658944600885,0.030100404874640364,-0.013199591249168939,0.0799972319307034,0.07339246273033241,-0.054182607413378166,-0.04337001241350553,0.014395131663067313
HALLMARK_BILE_ACID_METABOLISM,0.04283846571980219,0.01914281507187986,0.0860246961008315,0.012432019667336534,0.17807249195590308,0.027606042357387936,0.10316139396742655,0.15878835120756338,0.025990600917550517,0.2415718577431111,0.23822190316243927,-0.03389968025041634
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.03605382154255308,0.05499584988335279,0.05175980637390248,0.006339712491623586,0.21713772600980516,0.013105182035462248,0.17506037977383482,0.09446867811558393,0.02412488332574419,0.2613925130718422,0.26696836611271096,-0.02094368942695448
HALLMARK_COAGULATION,0.10330495163123396,-0.08696832373325507,0.08653905343185445,0.05311895986439205,0.19188141214539162,-0.026790261687452768,-0.046190853795785,0.031018473646489002,0.02797141068719259,0.1248036759186935,0.1908811710559484,-0.0591649284905562
