,MGH258,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
HALLMARK_ADIPOGENESIS,-0.20040749665370777,-0.07328070092144595,0.015555367490112361,-0.19983280150288874,-0.17027148231967612,-0.0301976834958912,-0.18138633249616218,-0.14109132782151207,-0.6138821719904357,-0.050116537304740735,-0.3671204144957358
HALLMARK_ALLOGRAFT_REJECTION,0.02315816692199105,-0.0010883015814935238,-0.01800972574158347,-0.11608597249917116,-0.1314392950657153,-0.033211135833212044,-0.007538712948242432,-0.11198839441099134,-0.3396346251903768,-0.033386750347548,0.008110100164462463
HALLMARK_ANDROGEN_RESPONSE,-0.20367115066748315,-0.07163113085219563,-0.03295972911823446,-0.15068238081517182,-0.17665207743728759,-0.042221491158899616,0.0207361521508857,-0.074214424848268,-0.4227311929410438,-0.006048255812836789,-0.23552040208900804
HALLMARK_ANGIOGENESIS,0.07869640038139519,0.13853389518525536,-0.059481763917986125,0.08173363501240499,-0.010367142808756597,-0.06368806432142655,0.22871165772962182,-0.03710650844157548,0.3390382910111905,0.010905185719627012,0.3664197239847611
HALLMARK_APICAL_JUNCTION,-0.2163139225212518,-0.12357838194484691,-0.012067719016096662,-0.21716411542476394,-0.15739630563229542,-0.05538571218835959,-0.1343059181397247,-0.19666752802185314,-0.5364238670403688,0.0011135170380738738,-0.5183523370085392
HALLMARK_APICAL_SURFACE,-0.1324484609369056,-0.11305277937738831,-0.02381852073467655,-0.19594550583454917,-0.1539814413930328,-0.028125716634219523,-0.07833633488958885,-0.13066526582766308,-0.40108449609640817,0.07503302714793952,-0.28914203722162624
HALLMARK_APOPTOSIS,-0.06784328474870098,0.0015126711540972293,0.011468825203330327,0.1827012638181135,0.025137246024584135,-0.040887830616454506,0.02392087730154381,-0.0882195984113784,-0.2720815605434385,0.03571977530158224,-0.2861809850991173
HALLMARK_BILE_ACID_METABOLISM,-0.20649454044450724,0.014945893201341149,-0.021771084733452295,-0.1803087804364174,-0.1199613867248707,-0.029270398012976366,-0.1406843325422962,-0.14831090718895637,-0.5522965882028531,-0.0261910291293361,-0.11922680421338641
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.24764083910947227,-0.11430784252302437,-0.06874450042023866,-0.19530040890548786,-0.14143589730412215,-0.1097345378210822,-0.229650440257647,-0.207437866930955,-0.6549407642827475,-0.1112305419046698,-0.22877188444860205
HALLMARK_COAGULATION,0.09556718430134993,-0.061359403462074524,0.0052476339813361285,-0.13208661028222202,-0.11054864583586076,-0.11879975767939159,-0.024083972872188168,-0.22619812414482426,-0.32384147169107347,0.008546285519271302,0.06265191869246592
