,UKF243,UKF255,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,ZH8811Abulk,ZH8811Bbulk,ZH916bulk,ZH916inf
HALLMARK_ADIPOGENESIS,0.06726463805204137,0.14922364344189945,0.023053664582304557,-0.009523994738681135,-0.10056382007832881,0.08739447786111988,0.010384115308346238,-0.0361193862786337,0.015046654613993304,-0.08340750530298897,-0.09302387182428601,-0.052221873519505,0.1079591379019881
HALLMARK_ALLOGRAFT_REJECTION,0.03655557690451657,0.0995602010795362,0.017095914147804068,-0.027590282952515494,-0.12104359831586524,0.007724480653501452,0.037253825715118635,0.003882191382903784,0.05643945463338168,-0.10388923318741544,-0.07069728138096022,0.020929058255539163,-0.010212206378168368
HALLMARK_ANDROGEN_RESPONSE,0.01716598650119134,0.10622356829493332,0.08839194217722335,-0.013594183550215067,-0.11837190973808033,0.03877540516283674,0.041190584535298384,0.025063405350132066,0.010600105945393751,-0.030619362921854458,-0.025630554197249807,0.01110538417856706,0.06233108483932492
HALLMARK_ANGIOGENESIS,-0.12802162870139822,0.07004302906211617,-0.0952095502510019,0.005012800731087726,-0.16799475102287545,0.03237273323078996,0.03750473633065619,-0.06121994732229604,0.06315425037823764,0.0026247866429885153,0.07736085612071171,-0.042213556969274,0.038707524662027724
HALLMARK_APICAL_JUNCTION,0.030457426899966857,0.1871210468611453,0.009252006951964676,-0.01506465379662733,-0.12288637131215462,0.0921252623595423,9.991055563661091e-05,0.029321136810656685,0.09128264157196989,-0.0781572679645087,-0.06121436099231503,-0.023383377747756902,0.14202562966887947
HALLMARK_APICAL_SURFACE,0.15962499438368524,0.07875964048701452,-0.0019348736733323015,0.02827448234992672,0.12342097935884246,-0.043057586050637885,-0.0363445512800555,-0.009262661441167436,0.02662141404090572,-0.09707341688084518,-0.11108847725580986,-0.07712377947538554,0.11858707944047142
HALLMARK_APOPTOSIS,-0.002841981562395412,-0.043170515962792276,0.10058970350630016,-0.050328584778900176,-0.024072989936342114,-0.056038449625254894,0.005899592800885187,0.026527338051109618,-0.048118005878229925,0.11103988064931022,0.11976574996139423,-0.0023343633145394248,0.07283426234009636
HALLMARK_BILE_ACID_METABOLISM,0.0491754983631245,0.16651887342924618,-0.04506732283448053,-0.09098567939752611,-0.17191390938213905,0.003629487285536548,0.01612079915511973,-0.02045099963091919,-0.01928530602512456,-0.051517644351730965,-0.09616933967618921,-0.08847027048036414,-0.007975381861987204
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.009261099707637551,0.12621873954458881,-0.03813229929119879,-0.05508323659090189,-0.09276178219832462,0.03484164396306313,0.049074098452724355,-0.0878432462149415,0.04639952367795902,-0.09594691179348062,-0.09563693053411328,-0.0831423238080186,0.06763436227910923
HALLMARK_COAGULATION,0.022386476850419234,0.057864304467372535,0.06955253107149328,-0.029470299951866792,-0.1587542555104166,0.07028538579537653,-0.001826048978761006,-0.00978397397088354,0.07769884821896578,-0.05630118119770971,-0.01190983771758766,-0.07860212510842639,-0.016150176410864765
