,ZH1019T1,ZH8811Bbulk
HALLMARK_ADIPOGENESIS,-0.05367844092151546,-0.05402700250225013
HALLMARK_ALLOGRAFT_REJECTION,0.03092160844386566,-0.027843287097082618
HALLMARK_ANDROGEN_RESPONSE,0.008981320378411232,-0.05651693438416311
HALLMARK_ANGIOGENESIS,0.01706551095258817,0.01976439684413755
HALLMARK_APICAL_JUNCTION,-0.03212423067156112,-0.016966422050325003
HALLMARK_APICAL_SURFACE,-0.0163530100088814,-0.012143183557762595
HALLMARK_APOPTOSIS,-0.04079385639824864,0.08277856423756065
HALLMARK_BILE_ACID_METABOLISM,-0.03739018391871004,0.005593764144327913
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.054719078958147836,-0.03328358944978119
HALLMARK_COAGULATION,-0.017139560038495597,-0.009822896023682068
HALLMARK_COMPLEMENT,0.04724918495933319,0.0110562493887307
HALLMARK_DNA_REPAIR,0.002503405248361192,-0.036649060194588856
HALLMARK_E2F_TARGETS,0.0015983302008959514,0.014928232858220482
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.009486518741876568,0.0631516576498226
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.05261361855219657,0.02261064589677669
HALLMARK_ESTROGEN_RESPONSE_LATE,-0.00811212238904551,-0.03403812338170202
HALLMARK_FATTY_ACID_METABOLISM,-0.05234677748565962,0.06056002650354342
HALLMARK_G2M_CHECKPOINT,0.04796441662649045,0.0012223362352784164
HALLMARK_GLYCOLYSIS,-0.03286527348537541,0.01627069874617489
HALLMARK_HEDGEHOG_SIGNALING,0.03872605964073951,-0.026292734344859042
HALLMARK_HEME_METABOLISM,-0.10593580173929629,-0.03406887005499145
HALLMARK_HYPOXIA,0.01940579905015681,0.016664421678121193
HALLMARK_IL2_STAT5_SIGNALING,0.0014499124763368873,-0.014097094643068948
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.047200307914594376,-0.02980721342127735
HALLMARK_INFLAMMATORY_RESPONSE,-0.018264966703091044,0.03882600943886254
HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.10004704019368939,-0.05560065929860041
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.05611731104067173,0.013888200394206358
HALLMARK_KRAS_SIGNALING_DN,-0.0865244250412406,-0.059240266472313965
HALLMARK_KRAS_SIGNALING_UP,0.025036594380440834,-0.05992496163690396
HALLMARK_MITOTIC_SPINDLE,-0.037270656667252156,-0.034923794921244124
HALLMARK_MTORC1_SIGNALING,0.00722992441304049,0.029803481102497767
HALLMARK_MYC_TARGETS_V1,0.012877045983528504,-0.04292785530209903
HALLMARK_MYC_TARGETS_V2,-0.03730802981319956,-0.034165629593617894
HALLMARK_MYOGENESIS,0.031543864787583635,-0.04121680733745843
HALLMARK_NOTCH_SIGNALING,-0.04429489078889699,-0.057719559425572164
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.01681373244040312,-0.04441983230206997
HALLMARK_P53_PATHWAY,-0.001876036060735914,-0.03786671726915541
HALLMARK_PANCREAS_BETA_CELLS,0.07696754659513971,-0.059966332757456796
HALLMARK_PEROXISOME,0.02256401144677081,-0.00892959102980217
HALLMARK_PI3K_AKT_MTOR_SIGNALING,-0.028941862992510083,-0.04543783601143862
HALLMARK_PROTEIN_SECRETION,-0.06493223159009993,-0.017123592306189123
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.03376511948793545,-0.020338577572573197
HALLMARK_SPERMATOGENESIS,-0.0801362170815641,-0.04481879222408359
HALLMARK_TGF_BETA_SIGNALING,-0.025502444180994593,-0.016479993017404215
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.07485204932799543,-0.009318365061183808
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.053241786621682365,-0.05450007115511479
HALLMARK_UV_RESPONSE_DN,-0.07156912421039256,-0.014559392051471397
HALLMARK_UV_RESPONSE_UP,0.03348020916622611,-0.048389753357706594
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.040239911716167115,-0.025290190215489405
HALLMARK_XENOBIOTIC_METABOLISM,0.014251950715725343,-0.040644977199168625
