,ZH1007inf,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,-0.018569330957491966,0.11509444149206853,0.01206645636561807,0.002687122899878612,0.03010618522770939,-0.06675606009859132,0.058860336167779984,0.04684904807704602
HALLMARK_ALLOGRAFT_REJECTION,0.002059901778922193,0.12096481968015117,0.031116477185516668,-0.034630289444717736,0.009770794619138393,-0.03543967194367637,0.05950774748749986,-0.025609100202410265
HALLMARK_ANDROGEN_RESPONSE,-0.05869145688512362,-0.0013330171729206797,-0.013511836216180023,0.024692913470214878,-0.007330558144388137,0.004500854400919371,0.09008223936417836,0.06599491353595659
HALLMARK_ANGIOGENESIS,0.034411126590322694,-0.0996522770320213,-0.00791081284611394,0.09260899264057437,0.006994009659175223,-0.01713994249018088,-0.018062484134011222,0.07121640467037392
HALLMARK_APICAL_JUNCTION,-0.016970259527768164,0.05490132292278427,0.0023724289202203775,0.02684682755707661,0.027509871964396394,-0.040891038983976453,0.061048718941065665,0.06238487709013093
HALLMARK_APICAL_SURFACE,0.02442311014436737,-0.0035917546280150635,0.020117080647179673,0.005270685632628808,-0.012947933815220665,-0.1025295687642143,0.0399048449157896,0.0189680548509212
HALLMARK_APOPTOSIS,-0.028419194124090164,0.1177773569314649,0.004316721977507707,0.07100807164686618,0.021151409177359873,-0.006469857424050795,-0.01898593088190701,0.011801436883070853
HALLMARK_BILE_ACID_METABOLISM,0.007621802779194392,0.1562217053617484,0.007936161071892153,-0.012674242604599616,0.071243575500047,-0.0344885596679416,0.00622625122174793,-0.013957333375050389
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.06521480109850507,0.10389514692820263,-0.003948392569801033,-0.01617337428953337,0.02596480867140294,-0.03377315269753722,-0.00373273303501115,0.039305650779598016
HALLMARK_COAGULATION,0.0073204318886665705,0.007042332641168679,-0.000178025744242532,0.04949352167814941,0.008240640085639761,-0.011454840908155326,0.03804957699118038,0.02043483706680183
HALLMARK_COMPLEMENT,-0.10880874124573274,0.11414043874948854,0.03272960135042607,0.054732767561712484,0.07509239558523874,-0.045216682114963914,0.07008629825314107,0.10591866963424701
HALLMARK_DNA_REPAIR,-0.09542934402731552,0.1201346410845375,0.02871856116751091,0.0034440521934164326,0.04600992085271598,-0.08434922258154141,0.025343277220556387,0.08207867836995786
HALLMARK_E2F_TARGETS,-0.021684734571060356,0.021536327616094718,0.0009614501165154041,0.003063729696427047,0.006803661878497506,-0.037812444124002316,-0.007295479023417308,0.01092347030664345
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.0027966044779802386,0.035380297376015966,0.012847766615805412,0.12252781130227312,0.060243610896697324,-0.017919402986836058,0.00636743920817946,0.09376954163050637
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.022816717054991935,-0.0008048716857292853,-0.008720103355062328,0.04710691426773174,4.686750289035039e-05,-0.07498446549458575,0.048479935342693424,0.08528416616161069
HALLMARK_ESTROGEN_RESPONSE_LATE,-0.09280877380807612,0.06888290452911991,0.011840590031801731,-0.019248847816143538,0.03339661777007208,0.01709771819994545,0.009438155497261777,0.02367089984366135
HALLMARK_FATTY_ACID_METABOLISM,-0.0847110781242446,0.04256268711798834,0.045401627891848026,0.09122373621145881,0.07186849606150261,-0.001994730513630052,0.037727321843104615,0.10878604920327806
HALLMARK_G2M_CHECKPOINT,-0.018364773668819914,0.049829276101461976,0.012808555696135603,0.041797103585402645,0.03572660057067508,-0.029745176470891605,-0.00650099188007829,0.06229949844931705
HALLMARK_GLYCOLYSIS,-0.02013174917080022,-0.023067233629170725,0.021128722374660753,0.01740608594289785,0.03608413031867659,-0.035109936239846165,0.03097289163426516,0.0829583760986898
HALLMARK_HEDGEHOG_SIGNALING,0.008257739078547934,0.162213344598823,0.03189048113433887,0.015574206960572512,0.03845587953697724,0.041836834896159684,0.021348998037047786,-0.030181179770317094
HALLMARK_HEME_METABOLISM,-0.10794932214073442,0.05142299274535697,0.018567914393616696,0.012119985888738078,0.007542527958949292,-0.034499110795045994,0.051616979219766455,0.06578933919978959
HALLMARK_HYPOXIA,-0.09968021876837137,-0.11065341760766555,0.017311833426702342,0.11603156831844694,0.09059139647137468,-0.005616838237660104,0.07843917133058727,0.08054541468227759
HALLMARK_IL2_STAT5_SIGNALING,-0.07960942353712494,0.13530158185175595,0.021064195904979124,0.03346296148856791,0.062068656953271906,-0.04658179074773004,0.07561979877317651,0.07981333313136078
