,UKF243,UKF248,UKF266,UKF269,UKF275,UKF313
HALLMARK_ADIPOGENESIS,0.08289527690219754,0.027102102367084626,0.0507499232471691,-0.10842745870960913,0.03698113268462366,0.1873358113530576
HALLMARK_ALLOGRAFT_REJECTION,0.08954106975577775,-0.05240042976038883,-0.08882375654350068,-0.0862530480404771,0.02322649772457191,0.23743855299798738
HALLMARK_ANDROGEN_RESPONSE,-0.05531139118562765,0.04218150960265313,0.01986189030709634,-0.12242794415872076,-0.03480348470948304,0.1991842554749701
HALLMARK_ANGIOGENESIS,-0.132113904063412,-0.049838479860439315,-0.02535796713105054,-0.12389283933281121,-0.14841975449605677,-0.02799770822082169
HALLMARK_APICAL_JUNCTION,0.025817768925916706,0.06234288451124458,-0.009637441983137368,-0.11569173627093383,-0.04813479732013838,0.22315112409841178
HALLMARK_APICAL_SURFACE,0.12692302519614523,0.06992141538774804,0.0735139025680823,0.10453722676813852,0.07011637386665513,0.2681748653603465
HALLMARK_APOPTOSIS,0.06546340835714315,0.03541423616689445,0.006708218301977625,-0.03734392595171482,-0.07439935094088515,-0.04743870920395682
HALLMARK_BILE_ACID_METABOLISM,-0.002754291453036487,-0.0013247969580397303,-0.0031301784396829298,-0.18257149597310512,-0.07188001376268932,0.1185921611984962
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.012466638312791524,0.05247581925832636,-0.03640858757986333,-0.07983401357261666,-0.07510245828445583,0.21691541575957307
HALLMARK_COAGULATION,0.018409679296738028,0.021246438974515437,-0.04984683758684922,-0.13715121230383678,-0.06392639137491585,0.17819457127240468
HALLMARK_COMPLEMENT,0.13089033540258305,-0.04102399595251342,0.06611452764493489,-0.0981137540216603,-0.07097220175743087,0.1921513542778931
HALLMARK_DNA_REPAIR,0.07357947939186367,0.06913787916061294,0.026635499669721084,-0.09329382550530432,-0.049855582320252265,0.24561379749246207
HALLMARK_E2F_TARGETS,0.0805960805128226,0.03165079186226779,-0.014503241041271098,-0.1570347100095215,-0.08480321791955436,0.23561718142026702
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.13453702617964225,0.0025186724188906323,-0.048668281509549,-0.10936374689486597,-0.11155665397169727,0.001947938247722226
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.06689912575093358,0.03814136576227095,0.10869801051995201,-0.11162938297284379,0.0204279593463425,-0.06250440664619122
HALLMARK_ESTROGEN_RESPONSE_LATE,0.14720505136820797,0.03937166954771815,0.02934068111041174,0.15049028704721032,-0.0327792071655909,0.1769169365842266
HALLMARK_FATTY_ACID_METABOLISM,0.001030499731747336,0.044211451296542546,0.030355259072603346,-0.11016046743203227,-0.06067269844564499,-0.006711972167641941
HALLMARK_G2M_CHECKPOINT,-0.007967944105709666,0.047979806099593826,-0.02126666438871056,-0.10192287577688386,-0.09444810735389025,0.2164730570528244
