,MGH258
HALLMARK_ADIPOGENESIS,-0.0777085801082945
HALLMARK_ALLOGRAFT_REJECTION,0.08259595304250753
HALLMARK_ANDROGEN_RESPONSE,-0.07377882623613541
HALLMARK_ANGIOGENESIS,0.00843063860781071
HALLMARK_APICAL_JUNCTION,-0.0684214385368907
HALLMARK_APICAL_SURFACE,-0.07994159709364025
HALLMARK_APOPTOSIS,-0.02296165180438388
HALLMARK_BILE_ACID_METABOLISM,-0.042521167604676474
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.039220728909905384
HALLMARK_COAGULATION,0.08624140239434537
HALLMARK_COMPLEMENT,0.009929347957015496
HALLMARK_DNA_REPAIR,-0.06180433344833385
HALLMARK_E2F_TARGETS,-0.06271207780948992
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.028531157148848567
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.024061740482318714
HALLMARK_ESTROGEN_RESPONSE_LATE,0.018575131856572957
HALLMARK_FATTY_ACID_METABOLISM,0.05493334378355501
HALLMARK_G2M_CHECKPOINT,-0.06777198525437152
HALLMARK_GLYCOLYSIS,-0.053067603424432036
HALLMARK_HEDGEHOG_SIGNALING,0.04348203317927118
HALLMARK_HEME_METABOLISM,-0.04404602657886321
HALLMARK_HYPOXIA,-0.061239865839044866
HALLMARK_IL2_STAT5_SIGNALING,0.006677633700646549
HALLMARK_IL6_JAK_STAT3_SIGNALING,-0.017979821162224352
HALLMARK_INFLAMMATORY_RESPONSE,-0.03436811433055769
HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.09375907060695497
HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.1097427437433906
HALLMARK_KRAS_SIGNALING_DN,-0.04864112583800135
HALLMARK_KRAS_SIGNALING_UP,-0.013509645760179354
HALLMARK_MITOTIC_SPINDLE,-0.04457888750388825
HALLMARK_MTORC1_SIGNALING,-0.039502472697863014
HALLMARK_MYC_TARGETS_V1,-0.060440987865089287
HALLMARK_MYC_TARGETS_V2,-0.06171760414252561
HALLMARK_MYOGENESIS,-0.08349893585193713
HALLMARK_NOTCH_SIGNALING,-0.05650054846775854
HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.05774153822180739
HALLMARK_P53_PATHWAY,0.005806999288083851
HALLMARK_PANCREAS_BETA_CELLS,-0.016738430153816528
HALLMARK_PEROXISOME,0.06850216361838198
HALLMARK_PI3K_AKT_MTOR_SIGNALING,-0.08693925181624572
HALLMARK_PROTEIN_SECRETION,-0.06723108465109946
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.08038500747874983
HALLMARK_SPERMATOGENESIS,-0.008083483063806914
HALLMARK_TGF_BETA_SIGNALING,-0.013162293236762972
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.04329437502703628
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.036719965834118615
HALLMARK_UV_RESPONSE_DN,0.002438763197714162
HALLMARK_UV_RESPONSE_UP,-0.030943396217512405
HALLMARK_WNT_BETA_CATENIN_SIGNALING,-0.0596760341233013
HALLMARK_XENOBIOTIC_METABOLISM,-0.08054031237042862
