,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF304,UKF313,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH916T1
HALLMARK_ADIPOGENESIS,0.06379896673877275,-0.07669634293401617,0.027411660320813012,0.06965109379824158,-0.08302580302203208,-0.010942870168574355,0.07466056708440912,-0.05994740790882838,0.006615316686985553,0.12583702121016177,0.0873584010187056,-0.005714362946402897,0.10398560429925795,0.0821800775397775,0.015133993693744654,0.01733063425026494
HALLMARK_ALLOGRAFT_REJECTION,0.018271093591698446,0.07088812767677927,0.008380457472069395,0.039153774239214144,-0.018748828876636446,0.04313055833536339,0.09889008821574105,-0.009786343323886724,-0.014719197408189165,0.11321600558239765,0.060816453563024,-0.024458752038884268,0.06162929820366741,0.0935756361339533,0.062521435790193,0.017679747714024967
HALLMARK_ANDROGEN_RESPONSE,0.08929042801183093,-0.021601388640010447,0.037589902256984525,0.03412084607120357,0.0663910926160906,0.017859720393777156,0.08636174248113271,-0.03565327708273478,-0.008937085422970316,0.10113669412573921,0.0827002194223005,-0.027432683715209447,0.10388156315437248,0.06383540601370487,0.014562116754641058,0.11168527375775994
HALLMARK_ANGIOGENESIS,-0.023088743066985405,-0.0033007748947693227,0.017008327538174616,-0.03338457867334061,-0.03999148411643193,0.029534211491097712,0.06825199309966894,0.0427182695227757,-0.0012603522190507515,-0.04838458654384796,0.10392483776258384,0.10487173480800441,-0.021365632789784126,-0.05844699541515448,0.030615057923484304,0.012471696688419265
HALLMARK_APICAL_JUNCTION,0.07577706437941054,-0.0856189972886719,0.0349240996657539,0.0932458520112961,-0.11551760217507372,-0.06448909686866243,0.08238709075377276,0.012629659104507791,-0.05925606664645193,0.11416459071535669,0.050014743176320126,0.01196779449332398,0.09201137820688814,0.07032312778212133,0.0015199451469177666,0.04576915235699484
HALLMARK_APICAL_SURFACE,0.02973250949105853,-0.06031089168641093,0.0482096237395749,-0.014197289991830474,-0.14497625752359802,-0.010138048021780324,-0.08961795943337654,-0.061203388763591944,0.07001506853833801,0.06804100001216092,0.10055434813451189,0.007303236386133352,0.024406137267293612,0.06920956096896391,-0.08851064058793905,0.036491849032340665
HALLMARK_APOPTOSIS,0.002841720536021168,-0.04807247097407104,0.04601855158854648,0.013811187942109808,0.04952135748279596,0.007326588601607275,0.05530240084673196,0.006642350995831604,-0.09741839796839484,0.06409755303860064,0.04230385961885359,0.07495670328779164,-0.043811030771113625,-0.07145265191139763,0.03561963006493943,0.05344707585945794
HALLMARK_BILE_ACID_METABOLISM,0.0028093952560593674,-0.10426248009798121,-0.054252568736456445,0.06604276626703022,-0.09961649513763098,-0.06087414134791382,0.061308345933423075,-0.02324711640137478,0.021475182063089623,0.03214532633652101,0.07866478283544522,-0.0024873339914635033,0.09421481908182333,0.09776142952344859,0.004734217368097531,0.03442399885696961
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.049794023354773835,-0.0859391583297647,-0.015526963333467526,0.05440814920544897,-0.0076455773048031694,-0.05815925053167231,0.06631957786488794,0.057049518762302485,-0.014590022913005953,0.11661823530002643,0.15881574492214282,-0.019543493114788972,0.10026172294062977,0.07821347945060014,-0.04485700154468341,0.06640127597363246
HALLMARK_COAGULATION,0.05745201523833449,-0.09997205715301384,0.03805314349476079,0.018163175720442827,-0.12529261372427283,-0.03056807809727886,0.11433055284305436,0.0282651315566131,-0.008946454689520574,0.059340908916452134,0.04462050699925669,-0.058061010467484936,0.05868766174465834,0.0002889409937872521,0.04041079784488963,0.052924197263897105
