,UKF259,ZH1007nec,ZH8811Abulk,ZH916T1
HALLMARK_ADIPOGENESIS,0.02564754493077047,0.03261048074019781,-0.0166313313689602,0.05796083582417241
HALLMARK_ALLOGRAFT_REJECTION,0.03864914515274966,-0.10940073506776612,-0.00842235122815899,0.07960613716450832
HALLMARK_ANDROGEN_RESPONSE,0.031083142439192916,0.014206556691294819,0.026237255524225917,0.01250963431434976
HALLMARK_ANGIOGENESIS,-0.08992023145213704,0.059857698120750126,0.05889052032089373,-0.04215107812559697
HALLMARK_APICAL_JUNCTION,-0.02863340899524894,0.03999593325589106,-0.032233371529946396,0.06022526617068364
HALLMARK_APICAL_SURFACE,-0.018103293345275336,-0.07259958973290716,0.005564536413946008,0.07315758973992752
HALLMARK_APOPTOSIS,0.009725432306019776,-0.013416703915620208,-0.10432480945203298,0.05819919857902601
HALLMARK_BILE_ACID_METABOLISM,-0.01729615089538151,-0.009171262965153387,-0.020477036024733015,0.03280644570047404
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.0334787437567882,0.007764472497805841,0.00464563488105608,0.07522766870356107
HALLMARK_COAGULATION,-0.023156295737382385,0.01737344005842665,-0.04289969941058648,0.03596680307018595
HALLMARK_COMPLEMENT,0.02949261396249582,-0.043725706960298295,-0.028848524226671078,0.0792524035954279
HALLMARK_DNA_REPAIR,0.013195537181972278,-0.0156609955006796,-0.022988863466070368,0.04400453891449776
HALLMARK_E2F_TARGETS,0.03325710048446919,0.02931140511772426,0.052971296471376696,0.04669258108996689
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.013503669732175354,0.09401884585620647,-0.06688972418558282,0.04460151396199721
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.0064101419873318615,0.04776516451288889,-0.09368345758383868,0.008348306239869466
HALLMARK_ESTROGEN_RESPONSE_LATE,0.003036091104579823,0.012537973718270527,0.007119360602794216,0.03175413683485269
HALLMARK_FATTY_ACID_METABOLISM,-0.010239042198778858,-0.038374350623652326,-0.04520197650414139,0.0063223351782596806
HALLMARK_G2M_CHECKPOINT,0.015061989918877956,0.041431904029603096,0.005259547744896979,0.05828671651830143
HALLMARK_GLYCOLYSIS,-0.014839373988141311,0.08153570924385896,-0.033042745195009826,0.045124327030938806
HALLMARK_HEDGEHOG_SIGNALING,0.013652805872021067,-0.044367309199613104,-0.00304295943638182,0.028881522878073947
HALLMARK_HEME_METABOLISM,0.01026550703475894,-0.053586301506960185,-0.019575873509728416,0.03775365970853682
HALLMARK_HYPOXIA,-0.005812702090817178,0.03314400852075669,-0.03300982707297467,0.0030371612917708306
HALLMARK_IL2_STAT5_SIGNALING,-0.00797368389002693,0.043873370245523756,0.0068081115326098125,0.024885876762262803
HALLMARK_IL6_JAK_STAT3_SIGNALING,-0.006549363659502978,0.07277159356514867,0.005986258971336787,0.05627181476299726
HALLMARK_INFLAMMATORY_RESPONSE,-0.03181768020172014,0.045660760198034854,-0.13791461823333517,0.027482829386686423
HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.023247125846703864,0.020478763306649345,-0.017241521881369324,0.07325430810048397
HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.03183850853275403,-0.016023896451656777,-0.04591882340818688,0.044930507354554144
HALLMARK_KRAS_SIGNALING_DN,-0.003466187505014894,0.03913816184902525,-0.01079313744368457,0.02392509737151154
HALLMARK_KRAS_SIGNALING_UP,-0.019013794843305662,0.03349006143919031,-0.016113408893191485,0.04834247741503056
HALLMARK_MITOTIC_SPINDLE,-0.013626588897732848,0.03162809059261923,-0.001106101374057806,0.044062610441802534
HALLMARK_MTORC1_SIGNALING,0.004302011093538798,0.013552379177689682,-0.050169504594914135,0.019615033900367344
