,ZH1007inf,ZH8812bulk,ZH916T1,ZH916inf
HALLMARK_ADIPOGENESIS,0.07566062248099668,0.08877921864457719,0.03553838483067398,0.013611427553322338
HALLMARK_ALLOGRAFT_REJECTION,0.024404649093866526,0.01997820236530016,0.060876647042428615,0.011665122943542905
HALLMARK_ANDROGEN_RESPONSE,-0.016704281647446115,0.055270562293113806,0.047576957266693184,-0.00917043662962836
HALLMARK_ANGIOGENESIS,-0.07593402174895325,-0.0037743898497047033,-0.03045439250417929,-0.020108041385650827
HALLMARK_APICAL_JUNCTION,0.09340807450371105,0.09069365116160231,0.04361771803002663,0.02978325944702361
HALLMARK_APICAL_SURFACE,0.10543227775161364,0.08993165418076654,0.046031585507482445,-0.03129546704016618
HALLMARK_APOPTOSIS,-0.028861732723905954,0.020131466118311563,0.05390843101270009,0.07682951257161882
HALLMARK_BILE_ACID_METABOLISM,0.014899886435522758,0.10769096683881338,0.07238247800813802,0.16574112261233948
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.045619356419112474,0.04618271558287269,0.07020643820902804,0.12452029899442929
HALLMARK_COAGULATION,0.06715840766467043,0.04008986533794861,0.05779992476327909,0.15231590575878373
HALLMARK_COMPLEMENT,-0.024295293826305017,0.09391510279414723,0.08776639395738475,0.032483646648693965
HALLMARK_DNA_REPAIR,0.07432226169743969,0.09013650042688823,0.04452850125401788,0.1199033477661334
HALLMARK_E2F_TARGETS,0.11637137840276673,0.026454388832226866,0.058573189462794405,-0.0886144352040021
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.049079197554373136,0.07709149811385789,0.057802221534142675,0.09912417980354427
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.04222784105289321,0.07150599888247185,0.01754525641482978,0.037872813562298886
HALLMARK_ESTROGEN_RESPONSE_LATE,0.042974533529747866,0.04764686591632576,0.05710241480209357,0.04594876785751059
HALLMARK_FATTY_ACID_METABOLISM,-0.06709854677323172,0.05312582439657058,0.004945055356716189,0.10606314871734654
HALLMARK_G2M_CHECKPOINT,0.04133074901121988,0.09411866947009032,0.06289943249206909,0.07697887959749766
HALLMARK_GLYCOLYSIS,0.0582287609256188,0.06859182524542529,0.060861071065956694,0.02407277873794609
HALLMARK_HEDGEHOG_SIGNALING,-0.0762838490944958,0.010069009621444603,0.06824799431327218,0.061554056079306044
HALLMARK_HEME_METABOLISM,0.010867911326489087,0.09247989662567817,0.03718639616693855,0.08222078731296183
HALLMARK_HYPOXIA,0.08008239632439267,0.08007722416511687,0.018342274604660976,0.06473574986407604
HALLMARK_IL2_STAT5_SIGNALING,-0.032500128021256534,0.08022830546022813,0.03747917135394455,0.024391869208270283
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.03980274241214077,0.06427473373998967,0.0984705155998068,0.0680867917267079
HALLMARK_INFLAMMATORY_RESPONSE,-0.04199814985486598,0.09197340824372122,0.029896117335807333,0.07418092595847091
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.06401344665736701,-0.003596906277335033,0.08546240298847305,-0.0035192349663906394
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.07313961322530871,0.08055274407331287,0.07940239241499733,0.013202422349074563
HALLMARK_KRAS_SIGNALING_DN,-0.012662931538480077,0.06268253149920171,0.06478379921766438,0.08001871368805874
HALLMARK_KRAS_SIGNALING_UP,0.020774866661489328,0.056111165139056667,0.07591518249750523,0.04533697807511723
HALLMARK_MITOTIC_SPINDLE,0.002987080680897031,0.059651186614496345,0.0416756005574864,0.07292442963174685
HALLMARK_MTORC1_SIGNALING,0.03990953009882105,0.07306336518457698,0.023383545310477035,0.02597314425277613
