,UKF251,UKF259,UKF266,UKF275,UKF296,UKF313,ZH1007inf,ZH1019T1,ZH1019inf,ZH916bulk
HALLMARK_ADIPOGENESIS,-0.007267941327520793,-0.04765837919217619,0.05926620051569045,-0.006462515413669122,0.007454052270710008,0.06304140702421908,-0.0068335552376099975,0.02597927695273036,0.2022809008397494,0.0655447284412646
HALLMARK_ALLOGRAFT_REJECTION,0.006880000522148963,-0.007141180297925154,0.16695098704362388,0.031680149586038375,0.05365562538773139,0.07087283392766988,0.02184108216318902,-0.05598529624402922,0.027282337413357616,0.028868926501757673
HALLMARK_ANDROGEN_RESPONSE,0.05709810278451755,0.012752551163139891,0.15534188984324293,0.02583752893594445,0.038051376973465,0.05355465029840936,0.025811774932241606,0.027369033828362047,0.11424036666082438,0.08210325340789246
HALLMARK_ANGIOGENESIS,0.009418107268735399,-0.011301421041843583,0.2044638795466679,0.006533573518340789,0.015065675973586797,-0.00422987343810275,0.0026424687584333546,0.09270142141216697,0.04133503749859275,0.02021734548759798
HALLMARK_APICAL_JUNCTION,0.03743465804740466,-0.0021667831118170854,0.21420902674012035,-0.010231446621951164,0.042107531141210894,0.08786439174791605,0.029302434854987087,0.030494005068063504,0.18500999434566873,0.07654471934572751
HALLMARK_APICAL_SURFACE,0.01462363454432188,-0.02076719021171316,-0.07353182717438779,0.03468588956037835,-0.029503982041317867,0.07891639367129709,-0.00498785594803446,0.10132935858106625,0.09993556590079211,0.02076388618481087
HALLMARK_APOPTOSIS,-0.008725354862948228,-0.006670517994235381,-0.05228718169999186,0.03553796924607347,0.007918467277808856,-0.017593889831918116,-0.0009745300657537965,0.01468102403340529,0.1667027224341081,0.006962362854459008
HALLMARK_BILE_ACID_METABOLISM,0.003229818763919534,-0.0026883400680840623,0.11229861473952973,-0.06692193305766761,0.018725156887378965,-0.007551380085279429,-0.07762185780550254,0.045726273947766446,0.08629184989129911,0.06332029290200822
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.06688767804143526,-0.02361039146437757,0.1542850104724498,-0.013638408655032413,0.05661492881738297,0.07510800320183986,-0.013531562562595549,0.08311098473537373,0.1651428760003385,0.03968211904882599
HALLMARK_COAGULATION,0.03384908387030426,-0.059330839926134166,0.15065178991786118,-0.012260742549513787,0.021543634439315004,0.06332546395418488,0.05528514649875307,0.006447765699787453,0.1394318869777224,0.08402990056272672
HALLMARK_COMPLEMENT,0.033992989100786256,-0.03870195365234667,0.03654836586832561,0.02527470698279374,-0.008735968556646483,0.043302253840792594,-0.08283927604898263,0.04106135857451625,0.16489684111608754,0.04141973735200796
HALLMARK_DNA_REPAIR,0.08051141691730573,0.0029098736899378728,0.19593003920353907,0.02760087641782785,0.01403111051769592,0.05758145317871015,-0.016286714366555113,0.05042542766904015,0.18837855334840578,0.05875145919829084
HALLMARK_E2F_TARGETS,0.08321575227101088,-0.011813959412586198,0.23021849914214434,-0.004648916182567926,0.02091625293011863,0.07892749341189421,-0.049224994582223694,0.032934901557374364,0.13847645912365,0.08409246197187818
