,ZH1019T1,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
HALLMARK_ADIPOGENESIS,0.08242063947976169,0.031084886687015242,0.07317465217841285,0.015837116084595208,0.04494037136992027,0.042242654280603927,0.03438365736828872,0.0687987784780693
HALLMARK_ALLOGRAFT_REJECTION,0.09994955431410948,0.06034547095506972,-0.030801954691537826,0.03195236230811355,0.020518036535578314,0.0458824706569593,-0.0175483199738241,-0.06170736237303098
HALLMARK_ANDROGEN_RESPONSE,0.06782267841638061,0.025608230158318136,0.03124799813473498,-0.005034909767260563,-0.0044642328796318876,0.005352087454028485,0.054039913731725356,0.06227998408589666
HALLMARK_ANGIOGENESIS,-0.13435244577861305,0.01753859710045444,-0.06389728343049886,0.0693910804181394,0.07253641771097079,-0.020434071374028782,0.14779398807731906,0.03263519268112214
HALLMARK_APICAL_JUNCTION,0.015156176413243662,0.009656855011466866,0.014272124717702808,0.016053243072088667,0.05302972436885711,0.035227292266681844,0.034079828218480435,0.09916247488345777
HALLMARK_APICAL_SURFACE,-0.006018067236616714,0.004994666807612085,-0.02190671447045443,-0.012889152026956454,-0.01163882986850022,0.0035587193779997653,-0.0181171682925693,-0.002151297102295615
HALLMARK_APOPTOSIS,0.04113598737660844,0.03681607711336398,0.04098923427543944,0.01852702685658418,0.035871982309219896,0.0003726601110203009,0.0020703402892001655,0.011059496903625591
HALLMARK_BILE_ACID_METABOLISM,0.013880768143217271,0.05036767870794799,0.03212806609195776,0.008851593933240424,0.05324772323857141,-0.0017215191206512367,0.055502800884203445,0.028711181189153192
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.05130347813657726,0.02593030491052247,0.13636504528919785,-0.031427302646989126,-0.001348637075351185,0.01652522988516521,0.024352842901322443,-0.01891612150127607
HALLMARK_COAGULATION,-0.019964198474064727,0.07326081874835311,0.04570622673336411,-0.04595041009114049,-0.062366931046091305,0.03624946072517017,0.06349797934253601,0.009548908313647792
HALLMARK_COMPLEMENT,0.04009228401306401,0.019910029870379275,0.04224061760320068,0.031146488083314817,0.03513638234155606,0.022657060500634468,0.0899117690033902,0.020549981269589273
