,UKF259,UKF260,UKF266,UKF269,UKF275,UKF304,UKF334,ZH1007nec,ZH8811Bbulk,ZH881T1,ZH916T1
HALLMARK_ADIPOGENESIS,-0.005616274329359659,-0.01746741624413368,0.06327399919034656,0.040311872579915684,0.07145965796336678,0.06271746320294187,0.022127402810796712,0.07149008208341376,0.010586718281928921,0.04959758154218152,0.025225379707248852
HALLMARK_ALLOGRAFT_REJECTION,-0.023555852355848582,-0.005286173674075896,-0.037653609661975763,0.03087589702041283,0.01582840007458003,-0.04750540419840269,0.022383874928863477,0.09480530523865593,0.03917897133159751,0.029288513326531405,-0.029252056504636106
HALLMARK_ANDROGEN_RESPONSE,0.02118956395597437,-0.016481075244763253,-0.001956361526229295,0.044961731967844684,0.04053515196300624,0.046603312233353504,0.0055715717118177705,0.05082379891319826,0.013845043530901047,0.06911684337818691,0.019097007101770203
HALLMARK_ANGIOGENESIS,-0.006143667234673674,-0.02409322094566481,-0.027961354765734418,0.04906283156226222,-0.010602209990427798,-0.030864795700702847,0.029247123613534234,0.03106290947548447,0.0157149632200301,0.0017636536832219144,-0.03069846362786019
HALLMARK_APICAL_JUNCTION,0.009059738503977417,-0.033576133583987866,0.026411543203936235,0.054578172806059685,-0.02029384930349171,0.03558623921566914,-0.01426129170717709,0.0931976253819416,0.00026519460008280084,0.09458424208091998,0.04406798170863732
HALLMARK_APICAL_SURFACE,-0.04632767206329895,0.010442515019165969,0.10429557189606772,0.021430861483262415,0.011652363915992116,0.08823018145686905,-0.017622181513580394,0.07067172034659866,0.049902646618125324,0.07981297459734282,0.03452914317941048
HALLMARK_APOPTOSIS,0.039435492564608675,-0.07402635314679089,0.03530075194068471,0.026751853418597753,0.0164148511949031,-0.027065370224739385,-0.032861200406265216,0.0206868252518871,-0.005428521245921066,0.06685452244172647,0.016038734956836536
HALLMARK_BILE_ACID_METABOLISM,0.01804459401235364,-0.003728846997082496,0.019810445535111697,0.07379593055466695,-0.014328694431285292,0.01442654290596961,0.045895679962155496,0.13277691813184722,0.03523486323059392,-0.011092022833320872,0.014551157070655709
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.003462467758525971,-0.0030266694176338815,-0.0017411242504602306,0.04241589592803762,0.018972821845365022,0.024467810230865847,-0.04368831080869599,0.024036489451162914,0.018924665174373648,-0.0011487758704051064,0.06252685713521101
HALLMARK_COAGULATION,-0.04061198942562034,-0.08550209591271755,-0.02237306343455963,0.05943389652542681,-0.009425382666178992,-0.04102365202688691,0.003577087464813266,0.021364278984781604,-0.015319689082416302,0.06602550970163387,0.04213836679002329
