,MGH258,UKF269,UKF304,UKF334,ZH1007nec,ZH881T1
HALLMARK_ADIPOGENESIS,0.05440868280857173,0.09893523632290611,0.06423422166093325,0.014530709549323688,-0.10401307183416257,0.045961446911097124
HALLMARK_ALLOGRAFT_REJECTION,-0.002139942877244979,0.11677859269404171,-0.02696517143201171,-0.01811578783399033,-0.10274389719255944,0.045616709764780695
HALLMARK_ANDROGEN_RESPONSE,0.10970997978246842,0.09472850511723718,-0.04814353872098943,-0.01279626278706777,-0.05107593512172355,0.032902552907378986
HALLMARK_ANGIOGENESIS,0.0542852360034217,0.11652289339028901,-0.06049677392961386,0.049399202020595355,0.09042787580053584,-0.0556050016404928
HALLMARK_APICAL_JUNCTION,0.07314662065467085,0.12007681508057519,0.0077846019211549105,0.002007165630007319,-0.09863312924796493,0.0404615346246093
HALLMARK_APICAL_SURFACE,0.06432843975162594,-0.06011676770240507,-0.04897706743804073,0.019798177008469586,-0.09875375536973634,0.017283120401733763
HALLMARK_APOPTOSIS,0.029984289110773013,0.048029509747761205,0.013219456021819422,-0.05187402031524508,-0.049508278306510355,0.06349183415091772
HALLMARK_BILE_ACID_METABOLISM,0.044420341594661676,0.09061512298423018,-0.004920840986600456,0.024044995568728845,-0.0034021525681633747,-0.01649199055672819
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.12177082252599732,0.08456597346973682,-0.055515492729289816,-0.00757434643191052,-0.06511989224353529,0.014494001950084861
HALLMARK_COAGULATION,0.0047627164469637925,0.08819251312127713,-0.027878161494293473,-0.01829593167282964,-0.08363574957954165,0.008814991089818598
HALLMARK_COMPLEMENT,0.0629118163685317,0.12298828169875468,-0.01983963428784785,-0.008635079387511561,-0.08482445560398345,0.044722654656623465
HALLMARK_DNA_REPAIR,0.11515999921660267,0.13940596153861348,0.022999488310145946,0.013880739262769734,-0.09824610306828833,0.04226156438423389
HALLMARK_E2F_TARGETS,0.11055040785119827,0.1358596711619212,0.0623477073537096,0.013295586819280746,-0.07963057612247922,0.02448830761350933
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.09406617036162837,0.10922633759063306,-0.053627426418985435,0.04586279657994219,0.01561376444820076,-0.05144485695864836
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.0530424812036889,0.0832668663216778,0.004635957483607797,-0.05766172517778128,-0.09076221445640431,0.010380751208352789
HALLMARK_ESTROGEN_RESPONSE_LATE,0.08579030542144367,-0.030532772225398516,0.03754929894146416,0.07424924174097962,-0.08513665277233741,0.0036379627867137204
HALLMARK_FATTY_ACID_METABOLISM,0.08584349018882201,0.08204907290207969,0.016015977635404084,-0.030164742650938797,-0.05559571712556804,-0.02142650943597776
HALLMARK_G2M_CHECKPOINT,0.06483840765818293,0.12836176050950246,-0.04883616253334503,0.017857367221649347,-0.060181177496242036,0.02760213992584022
