,MGH258,UKF248,UKF259,UKF275,ZH1019T1,ZH1019inf
HALLMARK_ADIPOGENESIS,0.02634128905909152,0.05790136414239206,-0.08223272468041014,0.09874220858597092,0.07990584451109706,0.10250929335784634
HALLMARK_ALLOGRAFT_REJECTION,-0.04713213786666602,0.005632379855235031,-0.03705672389409922,0.18016738497070478,0.062168987272910356,0.07814699503177272
HALLMARK_ANDROGEN_RESPONSE,0.0723125180030513,0.04873155321281555,0.0404531362576664,0.19073322168444923,0.06404742826664202,0.023709979757347458
HALLMARK_ANGIOGENESIS,-0.055527639966488476,0.04310234215372053,0.07426430160570095,-0.01795233163006176,-0.045356799168365096,-0.0037030237163298194
HALLMARK_APICAL_JUNCTION,0.10770038155741649,0.03479127918631576,-0.03498155270703508,0.06212334461946916,0.09058496937668244,0.10762437712930036
HALLMARK_APICAL_SURFACE,0.06595509481123903,0.03932766125034437,-0.07341484805094503,0.09416321287160048,0.14148006223627058,0.1628020192732362
HALLMARK_APOPTOSIS,0.081994917735643,-0.03429092164675646,-0.045284716279567205,0.16210767746897542,0.008494529492576853,0.06987704066994668
HALLMARK_BILE_ACID_METABOLISM,0.025505125861455123,0.019266000263245254,-0.07125004499258848,0.06271905171648808,0.06923337412148851,0.039085310472046414
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.051887022397284994,0.0968947152958509,-0.0305702248276164,-0.01577603586454602,0.09668048149255262,0.0932039167939077
HALLMARK_COAGULATION,-0.05650602101123874,0.01033755733521686,-0.09654987951878552,0.07643112709738444,0.13813746683243636,0.09299328723740134
HALLMARK_COMPLEMENT,-0.004960655971795277,0.06690531784122777,-0.05691684641616336,0.11764331026291244,0.07268065934137366,0.08316800538648075
HALLMARK_DNA_REPAIR,0.09295466627281448,0.07582376790960933,0.02947433908528783,0.1227456392353531,0.11563201695768102,0.0892653592035062
HALLMARK_E2F_TARGETS,0.057900950586061185,0.0671048998160138,-0.029739705599748655,0.09039267163482287,0.10106664175836491,0.02574033313390226
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.08895399248351664,-0.014410890331211915,0.03706218033389963,0.011427834813052288,0.11098313216218204,0.10953094645951617
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.025245708219321854,0.006718057386609102,-0.06313118730745373,-0.002747796636011626,0.0012829199386896221,0.05840309545467313
HALLMARK_ESTROGEN_RESPONSE_LATE,0.08529599877699118,0.06742425807666365,-0.06592527501419088,0.0651840380090591,0.0069740968821820175,0.017609626604939022
HALLMARK_FATTY_ACID_METABOLISM,-0.00889023204268984,-0.002795139105663758,0.04404882212133661,0.058691212590586246,0.007632696066519999,0.05270842699753048
