,MGH258,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF296,UKF304,ZH916T1,ZH916bulk,ZH916inf
HALLMARK_ADIPOGENESIS,-0.05222836520838943,0.1157075105543145,0.03905687547620579,0.016230379149754073,0.08878897206497394,-0.05826920736219048,0.033561229807275904,-0.02229884220579887,0.04037565902211657,0.06785830422846341,-0.060315409778894956,0.01957981992992678
HALLMARK_ALLOGRAFT_REJECTION,0.11241309848527924,0.0860103224432306,-0.001152148371683065,0.0930684716687251,0.07694761497239971,-0.0892378496172445,0.0523316612456021,0.06752921853818879,-0.055595000899617344,0.12328121370396677,0.1270553959690444,-0.022142363148023828
HALLMARK_ANDROGEN_RESPONSE,-0.04665669427241027,0.09694813504446446,0.0433868486705157,0.03788962374350957,0.15392531982719504,-0.05615476908458604,0.0017721008732624066,0.05583330510050578,-0.054993043151087016,0.13161379529819972,-0.029720555223044665,0.11963893478088339
HALLMARK_ANGIOGENESIS,0.09978956951950382,0.0024665099503654265,0.04156892495505697,-0.044414380291002836,-0.12800489981610805,-0.08075911499301407,-0.05186795749724668,-0.003145619868452546,-0.041757737831756694,0.028070191330738837,-0.06255334873925734,0.0836880858109383
HALLMARK_APICAL_JUNCTION,-0.017593848886867644,0.13725368617482891,0.08104898559554514,0.06675484296482018,0.01886269824608972,-0.09691860446424735,-0.04852467881479199,-0.01718768660259986,-0.016981666007480658,0.08970061753493702,-0.0238563391030762,-0.009431678287309116
HALLMARK_APICAL_SURFACE,-0.019075770248166164,0.08926906771810925,-0.0025333203138848326,0.051979077874424455,0.018646842229748384,0.027327351776933812,0.11637693539307503,-0.08580956549262027,0.036285530787692845,0.08191461116141222,-0.05266410335437236,-0.0061443212553802095
HALLMARK_APOPTOSIS,0.009542841955257095,0.08291147972048277,0.017638692991067222,0.025700841061951186,-0.0003586597560073814,-0.036693047513148606,-0.031192919838985474,0.020618510960337438,-0.014339763416714888,0.1219955996345961,0.06323549845269817,-0.030096698665760303
HALLMARK_BILE_ACID_METABOLISM,-0.06311058987410299,-0.016311560161664303,-0.014803442501041309,-0.009972923947463574,-0.024120103970160952,-0.09334826823023099,-0.008487252753300572,0.027202210336242046,-0.00011744933852895494,0.07995999363191245,-0.039796997969243644,0.08940060754977425
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.020615455185185646,-0.01528137373699654,0.055755981249445724,0.07540846172844662,-0.008209755352334374,-0.05930438554245597,-0.031097292044773128,-0.0035775832181892094,-0.05926075456585702,0.028779670746063003,-0.06420745310307474,-0.02642474166241713
HALLMARK_COAGULATION,0.13234490996332243,0.12179043397516341,0.058475834416409904,0.033227830419052154,0.10128181430444166,-0.07937642692117532,-0.04029964052452508,0.06454781079647835,-0.04003909609100909,0.11585812175194796,-0.05596552091557174,0.03323072451842421
HALLMARK_COMPLEMENT,0.023606892030375918,0.059760279201355536,-0.013267702931259687,0.09191889131775945,0.1309016901572526,-0.09742556905196958,-0.011613724771429359,-0.02869353402688104,-0.058232807286439495,0.024101515856329664,0.01342066698375127,-0.022624355205584562
HALLMARK_DNA_REPAIR,-0.061745952601890974,0.07705830532557642,0.07441201233788634,0.06835658250633907,0.09088365255353417,-0.09839709489155593,0.011650659766625285,0.0007671696483176482,-0.04020252090901628,0.057778053408223014,-0.03753277992930577,-0.015200647928564319
