,ZH8812bulk,ZH916inf
HALLMARK_ADIPOGENESIS,-0.03917171414539372,0.057945409721910826
HALLMARK_ALLOGRAFT_REJECTION,-0.054122277321462166,0.036286179988669585
HALLMARK_ANDROGEN_RESPONSE,-0.021198075451836832,-0.08606014900961435
HALLMARK_ANGIOGENESIS,-0.0453552047723042,0.07381219618625942
HALLMARK_APICAL_JUNCTION,-0.011596760418142522,0.022040928022394504
HALLMARK_APICAL_SURFACE,-0.0601942843037344,-0.05632860244253803
HALLMARK_APOPTOSIS,0.01983535316198965,-0.010973992004438767
HALLMARK_BILE_ACID_METABOLISM,-0.0005899509397947661,-0.035417307343103006
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.03846521591291946,0.0063637965874819786
HALLMARK_COAGULATION,-0.08336743265485626,-0.0355882997070435
HALLMARK_COMPLEMENT,-0.051094063394519,0.03596536926121896
HALLMARK_DNA_REPAIR,-0.0425523217454779,0.045946719201296504
HALLMARK_E2F_TARGETS,-0.029123288478604223,0.04921817613057868
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.0564807037453705,0.05969773060403791
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.007886889176060978,0.05154042231731258
HALLMARK_ESTROGEN_RESPONSE_LATE,-0.0443966254308954,0.017917709994405166
HALLMARK_FATTY_ACID_METABOLISM,0.053827449936672184,0.02742431914808954
HALLMARK_G2M_CHECKPOINT,-0.019587300543064106,-0.04527651284581427
HALLMARK_GLYCOLYSIS,-0.028573886979285288,-0.019837034649693993
HALLMARK_HEDGEHOG_SIGNALING,-0.018471075259655065,0.016273598102849503
HALLMARK_HEME_METABOLISM,-0.004465444591603116,-0.028267610646624565
HALLMARK_HYPOXIA,0.0029134177766016083,0.0713989756604672
HALLMARK_IL2_STAT5_SIGNALING,-0.00047411388054296804,-0.004478916614288583
HALLMARK_IL6_JAK_STAT3_SIGNALING,-0.06943861071279994,-0.06272595735860904
HALLMARK_INFLAMMATORY_RESPONSE,-0.002165585108810355,0.04401769389929888
HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.0331892684609871,-0.0662122319085364
HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.038385750281307626,-0.03903074900026616
HALLMARK_KRAS_SIGNALING_DN,0.012130177352179573,0.023956608779934847
HALLMARK_KRAS_SIGNALING_UP,-0.024643875004443202,0.026974962541282076
HALLMARK_MITOTIC_SPINDLE,-0.015624223895407413,-0.039563989118080865
HALLMARK_MTORC1_SIGNALING,0.0011528439988011637,0.020519231398443177
HALLMARK_MYC_TARGETS_V1,-0.09267609701106735,0.011768361713607373
HALLMARK_MYC_TARGETS_V2,0.039472660464330116,-0.1593343286174969
HALLMARK_MYOGENESIS,0.0339297141260424,0.04642138612489746
HALLMARK_NOTCH_SIGNALING,-0.01320643978466441,-0.029088964895876503
HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.05519412883055388,0.053439016148924254
HALLMARK_P53_PATHWAY,-0.02025124515409448,0.020349864015931064
HALLMARK_PANCREAS_BETA_CELLS,-0.04415942759411396,-0.028289917209868634
HALLMARK_PEROXISOME,-0.04208312199014932,0.05131459914062977
HALLMARK_PI3K_AKT_MTOR_SIGNALING,-0.02069107230025695,0.019258221189092557
HALLMARK_PROTEIN_SECRETION,-0.03231839000842476,-0.016462760713670924
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.06466396441695296,-0.04349087984440548
HALLMARK_SPERMATOGENESIS,-0.0201076543578215,-0.01901784704234655
HALLMARK_TGF_BETA_SIGNALING,0.058116817022422405,0.06129289608529641
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.021010099379490603,0.07055248344093688
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.049912410372591524,0.08268045846883004
HALLMARK_UV_RESPONSE_DN,0.0416711060897876,0.02523251465237892
HALLMARK_UV_RESPONSE_UP,-0.04248696589293392,0.012170593858991935
HALLMARK_WNT_BETA_CATENIN_SIGNALING,-0.040317878499447665,-0.07465886075230486
HALLMARK_XENOBIOTIC_METABOLISM,-0.06796485909767314,0.018154218655026092
