,UKF243,UKF248,UKF251,UKF259,UKF275,UKF334,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.02948632706763824,-0.03564347768385086,0.019014777998727386,-0.016185101853397034,0.10531547334020042,-0.015804998747082164,0.0381589199359432,-0.00963972158992233,0.15661085335326536,0.061985688043422756
HALLMARK_ALLOGRAFT_REJECTION,0.024982857381358487,0.020708879594949513,-0.004468512258797671,-0.045840272525336366,0.0938221102492967,0.014522448386852784,0.09491569393097055,0.01915907406451071,0.16026873409841547,-0.03124079633161761
HALLMARK_ANDROGEN_RESPONSE,-0.031139029637498702,0.02292099090048177,0.05448353539894486,-0.033713616477680786,0.08628837562025579,0.020478231174186762,0.04968460208845614,0.0045188846574339015,0.1900767110942135,0.058142145925800755
HALLMARK_ANGIOGENESIS,-0.08796766164777742,-0.0019330899965975838,0.002788754183437341,0.05834967578935053,-0.0011056656091995528,0.006384144997722303,-0.011611208923846537,-0.0022408301292212696,0.012160834328305063,0.06683646791485193
HALLMARK_APICAL_JUNCTION,0.02548264775624523,-0.011360537995757824,0.0693977145694421,-0.02667210338221867,0.020006910269195866,-0.005915344245689985,0.015549138671363644,-0.016229240449279442,0.17969111511116181,0.062492998038837254
HALLMARK_APICAL_SURFACE,0.06100013443392916,-0.031445104709489136,-0.052971323490650896,-0.06459583716506755,0.06456343183419459,0.05357453375037033,0.07219068519906771,-0.009015073234694531,0.18087757154027656,-0.018471810137379086
HALLMARK_APOPTOSIS,0.012264229775716751,0.03346200215883217,0.03313741739764921,-0.018719349670899905,0.05073522136787648,-0.04775153698190654,-0.018714270504311636,0.006018019637049623,0.13907984670783202,0.0005358470509098844
HALLMARK_BILE_ACID_METABOLISM,-0.00048702009369545743,-0.006408519390669151,0.04346783655264691,0.005305655174584911,0.04049114963477649,0.031025279555021015,-0.0048550103403325485,0.007678337197908811,0.1179238018558469,0.07266459817703073
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.056272131979167604,0.031362201266678755,0.044328958808283754,-0.006946984383652397,-0.01878354575183986,0.027326191287656808,0.05403625562916988,-0.061702424881768525,0.10509344889210319,0.11062412762514638
HALLMARK_COAGULATION,0.030863383718468192,-0.012860508687326,-0.0699609887265897,-0.07931684730586273,0.05030429410511654,0.01697724876548263,0.016707604133190484,-0.011369007652975799,0.19207188438365538,0.044771278195406626
HALLMARK_COMPLEMENT,-0.010544196999161537,0.006728436339258081,-0.039591964199042,-0.015463806628726644,0.06827617247543055,-0.022134086768696704,0.10877908268449943,0.0021076412029555768,0.14099279674297455,0.0939005240134519
HALLMARK_DNA_REPAIR,0.029592704710928553,0.005018153116111344,0.04892964573658271,-0.0015143805524294636,0.08209731040644513,0.030287141237659992,0.04133776203936569,0.0034458243365849237,0.1256732133591815,0.07251790365302671
HALLMARK_E2F_TARGETS,-0.028541506404515412,-0.015827355664485787,0.05139055030614028,-0.055202459811074744,0.04668282953019392,-0.0008761466758898514,0.013569859309499721,-0.0191612373742622,0.0720776814428877,0.06952515810074697
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.02162756407730973,0.018821605505650537,-0.005146350225239314,0.015491136112755873,0.018493940679382693,0.03517612936196881,0.04137889424794301,0.03080733273014203,0.17965841324211584,0.05196872312679008
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.058183034422468714,-0.009386942521747146,0.0036132428333522254,0.028238670701415357,0.0033832776191102874,-0.04729804190456895,-0.01695395029543076,0.003128930133777764,0.12072698770738413,0.024821095215100283
HALLMARK_ESTROGEN_RESPONSE_LATE,0.013977457073267205,0.0009995021435900058,0.06144260600832709,-0.04658598768797117,0.09800896778740424,0.07899915761930676,0.03539416069425009,-0.011471328736523609,0.0667887058725145,0.06725983101174267
HALLMARK_FATTY_ACID_METABOLISM,-0.06897966265080864,0.051519692118887205,-0.006052139588310359,0.04429810688682702,0.05727773333153212,-0.014765621653138501,0.04764251088212854,0.015772516679483622,0.06433213359989347,-0.01373652323867235
HALLMARK_G2M_CHECKPOINT,0.00845604385356994,-0.00466485517330169,0.05130861801520935,0.02430523994069441,0.06236067782760107,-0.007254388954689909,0.03158759973218445,0.029215504862475407,0.08107535653514407,0.07976508213453845
HALLMARK_GLYCOLYSIS,-0.007205412986533739,0.02784486251770346,0.056160405812737964,0.04076992294683125,0.0028010115776435345,0.07524569732907663,0.05011212836427965,0.033750343595894065,0.10113776690270884,0.04870748864249388
