,UKF248,UKF269,UKF275,UKF334,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.00011249296992664511,0.049632721965554676,0.03563087767076843,0.05665355250381118,0.10631474611698585,-0.04415378574549727,0.017305686813428447,0.029692960222202403,0.025889359792792555
HALLMARK_ALLOGRAFT_REJECTION,-0.05442626292913008,-0.005061430057414406,0.031184316013863518,0.06023746070783952,0.07377642638209056,-0.057092462716104776,-0.009582592100782054,0.05445918783401584,-0.07615256940968033
HALLMARK_ANDROGEN_RESPONSE,-0.02103956805888863,0.03925733286987838,0.025597110256074716,0.06850567429458536,0.10351746656517109,-0.04859941373176364,0.006650821892426733,-0.044951397085224894,0.011682609346873186
HALLMARK_ANGIOGENESIS,0.005445764486327039,0.028328741295688,0.010029470149058448,0.02780721832344101,-0.02697677893701789,-0.04314504903703871,-0.055222379285130914,-0.09377641818507393,-0.03065901813171499
HALLMARK_APICAL_JUNCTION,-0.010404865377463088,0.03149903063157803,0.045742930220665834,0.08404449910804325,0.11133310895257134,-0.005663875937613101,0.06934932333368388,0.031086533702790974,-0.008582133700402776
HALLMARK_APICAL_SURFACE,0.04866469262671527,0.012366455860586704,0.05685650845057832,0.05078332422741139,0.09883396333804996,0.0057363867467331514,0.038020899408714004,-0.014301106580740469,0.030727498560317725
HALLMARK_APOPTOSIS,-0.0711957242155885,-0.02582345251629369,0.04430049746945778,-0.07835955211442926,-0.06559906548945961,0.026786751365059074,-0.02995610983588431,0.06937431076351955,0.08984000970447839
HALLMARK_BILE_ACID_METABOLISM,0.04751502236757316,0.03669289261218846,0.07346633132157868,0.0679806971467841,0.0906090400258842,-0.004054970690571258,0.07410506441200054,0.07505145391745706,0.004386699143385153
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.016142439065686357,0.003462547725394161,0.017234782400627976,0.07381364525630989,0.0850187862543135,-0.03196524086612295,0.04040183421403104,0.07008689742217136,0.019158432096871313
HALLMARK_COAGULATION,-0.06745243402225136,-0.004423638911651201,0.0413129508041532,0.052147084655269675,0.07323123294335686,-0.029790021368515985,-0.06856846660268055,-0.012849198917265433,0.03154720071834251
