,UKF248,UKF255,UKF266,UKF275,UKF296,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.02519977709019268,0.17499622205541338,0.02076341667162476,0.022584259577229336,0.011359635884205285,0.050540347143466564,0.03347811413835074,0.2681922214799441,0.32449426701188266,0.11434385584269052,0.012310675148065747
HALLMARK_ALLOGRAFT_REJECTION,-0.008019551337520714,0.06476047617342484,0.09529209299022783,0.05959287832996921,-0.031882692207929116,-0.09835538390851713,-0.09310387124179124,0.16341364421732743,0.1886656760667902,0.0828844817829879,0.02816987029388305
HALLMARK_ANDROGEN_RESPONSE,0.020681134088405106,0.0969966208221308,0.14476912989738913,0.019830544824855297,-0.005759070680632249,-0.04750636262729048,-0.03906695005907432,0.22772583259004922,0.30077993682565474,0.09789036465114237,0.05585667496393709
HALLMARK_ANGIOGENESIS,-0.06405758594181664,0.1401371209046102,0.10844488346251992,-0.030863511013691797,-0.0065270210559317,-0.11261838333900889,-0.08042128458003452,-0.06485311835045003,-0.16137501920663164,0.0032885644592867418,0.0500189911113546
HALLMARK_APICAL_JUNCTION,0.0019057280647995915,0.14703156769011408,0.14930539288843006,-0.024949017905975226,0.007599520987995063,-0.016642383870049474,-0.03730002532348819,0.2557001925072406,0.3483010363054943,0.07497017455764567,0.015338333159970326
HALLMARK_APICAL_SURFACE,-0.007393715823319645,0.10893026651229193,0.020446097229186194,0.016658668520884816,0.013316229097044573,0.12703352058855952,0.041644112572801095,0.2276676828438245,0.28689092734419447,0.06162431585195126,0.05627348934260943
HALLMARK_APOPTOSIS,-0.05426776551239191,-0.021089029863922082,-0.019837332549444326,-0.006572624343115965,0.007125702583266391,0.0012710630668137173,0.01935409460396771,-0.10917450657560558,-0.14643111821812815,-0.0014987730717735614,0.034757575581851836
HALLMARK_BILE_ACID_METABOLISM,0.05314367299056446,0.17281701148673073,0.09987205026998774,-0.01878544123222528,0.026369016260208367,-0.06444005563778175,-0.013424520507485823,0.22953503474283407,0.33018617359787994,0.03182240020292755,-0.04754627736535092
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.04069896760666587,0.1282300130954125,0.15508023720064468,-0.046714834506393396,-0.025618694331388064,-0.10633358921952396,-0.02779987753818645,0.23881857121410752,0.33094370834169773,0.05675970294428443,0.010328222195841627
HALLMARK_COAGULATION,-0.039655628534958305,0.1606600080249335,0.06233904306282115,-0.011247338298544868,-0.03837790172770432,-0.14452191886156898,-0.0782837210781685,0.1877367030288168,0.20296579971493212,0.030282058654225476,0.06279285828677506
HALLMARK_COMPLEMENT,-0.012813072155098098,0.11482284622407893,0.007769777015778519,-2.720988538886751e-05,0.0058797482304931625,-0.061842857495933594,0.02920469106794993,0.14497368954565357,0.21326573992455317,0.14220068353649132,0.03851372875504806
