,UKF248,ZH8811Abulk,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.04722326339737938,0.13854840080447064,0.05647619872945188,0.028379864706507853
HALLMARK_ALLOGRAFT_REJECTION,-0.008091231532819623,0.05091526872944194,0.05137174350717962,-0.0017266654387821968
HALLMARK_ANDROGEN_RESPONSE,0.056347172340611984,0.11947681055645429,0.023808058447084595,0.07508554780005021
HALLMARK_ANGIOGENESIS,-0.05289951114096303,-0.08970846673796788,-0.06216954477892903,0.06214452702232757
HALLMARK_APICAL_JUNCTION,0.10347197629612499,0.1262326664321385,0.05661413314995124,-0.012270029675648964
HALLMARK_APICAL_SURFACE,0.07621983181912749,0.0780213406406278,0.017456481428902795,-0.005151389111793605
HALLMARK_APOPTOSIS,-0.001361977816850805,-0.09879984839130697,-0.07740920377028196,-0.06919368792906681
HALLMARK_BILE_ACID_METABOLISM,0.052874593671406254,0.12089208432727909,0.05532172684510781,0.05777220067425224
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.005778999456492212,0.11756195765783059,0.034633955962254666,0.004149685378570866
HALLMARK_COAGULATION,0.05267003390814661,0.03686355150506416,0.014804296751876098,-0.07069191970911254
HALLMARK_COMPLEMENT,0.015160902557591636,0.03361105398528035,0.02623265477755099,0.025044091050564817
HALLMARK_DNA_REPAIR,0.07986349611184153,0.10140760048410785,0.06400690705799604,0.12331617075920094
HALLMARK_E2F_TARGETS,0.07042362346148084,-0.00251277514009206,0.0741795084146161,0.07243037875208692
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.0051211332669999395,-0.06554882128450555,-0.003914913175669171,-0.0008826086517056531
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.037669024419425386,0.07067790086760999,0.04070169364801523,0.04215224050189093
HALLMARK_ESTROGEN_RESPONSE_LATE,0.053978963555150056,0.05320548990262226,0.008404201064676004,-0.024733177424794354
HALLMARK_FATTY_ACID_METABOLISM,-0.03630074954630996,-0.04913953049542017,-0.0038208175026189207,0.03755669868200102
HALLMARK_G2M_CHECKPOINT,0.06434238123108085,-0.003428447093539984,0.07985648936335606,0.09508459287604816
HALLMARK_GLYCOLYSIS,-0.024116998833528063,0.038475461262019506,0.04308692222753163,0.0481194831039458
HALLMARK_HEDGEHOG_SIGNALING,0.04765899062449199,0.03321895538833726,-0.0022951714280702662,-0.04105963996647897
HALLMARK_HEME_METABOLISM,0.04658363736896725,0.11164331965770191,0.04972570436101321,0.025581825212864666
HALLMARK_HYPOXIA,-0.06736019816323212,-0.06361312476714581,-0.0005334295781087717,0.10165171122216007
HALLMARK_IL2_STAT5_SIGNALING,0.017111403292751296,0.05593622437008663,0.061500194817996214,0.051087572772649505
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.0029059272210591176,-0.022033717893696854,-0.02286635794333271,0.09512816975433327
HALLMARK_INFLAMMATORY_RESPONSE,-0.015551485286488424,0.012151495862178067,-0.02764698766402637,0.03547219858379454
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.05997018555377087,0.10426635279186144,0.07927562543734257,-0.04252933227805193
HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.01352258888848071,0.018036627838377905,-0.03512232875975591,0.006096114257819343
