,MGH258,UKF243,UKF248,UKF255,UKF259,UKF275,UKF296,UKF313,ZH1019T1,ZH1019inf,ZH8811Abulk
HALLMARK_ADIPOGENESIS,0.11190524270507698,0.0514184616228954,0.008214044392547422,0.13271329507410054,-0.005008878238683096,0.0014630219813701855,0.08378357697879381,0.06818135197293634,0.023870760390339096,0.17534261848098034,0.0831585602705966
HALLMARK_ALLOGRAFT_REJECTION,-0.02080956952667757,-0.05390402983607657,0.003232235494249587,0.14296794013964687,-0.014976691739096564,0.048162614588985166,-0.03052223007681369,0.04859255864199817,0.0815224631984662,0.1574795142762778,0.04784964048251921
HALLMARK_ANDROGEN_RESPONSE,0.14298059727926848,0.06038858988254001,-0.021527804500223936,0.0489206298819988,0.0020525160597781363,0.0448122153260192,0.08145757783282953,0.06583047292801787,0.05329220547361055,0.016392374318903998,0.08189016015203078
HALLMARK_ANGIOGENESIS,0.050471774435072864,-0.06008028935003697,-0.04924287117070789,0.11314713306561373,-0.013835735265244788,-0.013983049116458885,-0.0038414548404562755,-0.06297178857527512,-0.09059174490700272,-0.12100525090949607,0.024237050512474594
HALLMARK_APICAL_JUNCTION,0.12639986525186517,0.050243897271412215,-0.035073865343866875,0.12196781482947214,0.02904896824603888,0.05093122048962817,0.043427409480794994,0.08411240468411553,0.010382527431042897,0.2204068612161523,0.1157002802585226
HALLMARK_APICAL_SURFACE,0.038650563907394665,-0.006380477318661653,0.015042736936779913,0.07764437919779392,0.064348847001801,0.04703077828023846,0.028131008915632142,0.09688968246724951,0.05816626533521964,0.19859560218472747,0.05304598383057029
HALLMARK_APOPTOSIS,0.07446898458773392,-0.0384398816595193,0.0012475313024574548,-0.08994098586852556,-0.032144583118122697,0.038972478402828484,0.00970111402045755,-0.012389305065729845,-0.06496190472345226,0.07423810951239185,0.008533137715327517
HALLMARK_BILE_ACID_METABOLISM,0.10574755171182085,0.11364654679622807,0.007476501106286696,0.12763111304946267,0.0033657456940671066,0.06671523216381225,-0.052437384336744955,0.04291391899044301,0.05009732167473768,0.16987403136747753,0.04853921212293007
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.03034636565854163,0.07184668822318199,0.007177543019074913,0.06415202333941333,0.02644321807406567,-0.03142775082800988,0.06788809054089694,0.06502633878445747,0.07232224956244432,0.10577811180302654,0.07472830377472812
HALLMARK_COAGULATION,-0.022596217222313947,0.08333524063754238,-0.014076271905537743,0.05871600743048513,-0.010940019358764042,0.04785556801229746,0.012565184499182643,0.03242535629996752,-0.058181262907154495,0.22711163251421093,0.09449229874444205
