,UKF243,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF334,ZH8811Bbulk,ZH8812bulk,ZH916T1
HALLMARK_ADIPOGENESIS,0.07983655808773775,0.029765652801989652,0.042533279238177644,0.029342687051418077,-0.0027942102931641424,0.07494251990704187,-0.02354997399338495,0.05462520092524176,0.1384831608781199,-0.04287764162369495,0.015647436918130534
HALLMARK_ALLOGRAFT_REJECTION,-0.040527223710157066,-0.0006619189918881988,-0.018483151607942158,0.023173729252579895,-0.08253327796652815,0.10915749546450766,0.014390118144301427,-0.047036201973640744,0.06558638352026684,-0.02749950950695596,0.0067986728944278855
HALLMARK_ANDROGEN_RESPONSE,0.04851208404906269,0.04828492317778135,0.05238810443077432,0.06924870626269694,-0.04783625335353473,0.08792965106966819,0.022821339748686057,0.00804180492593005,0.07483353360549928,0.020263392857685674,0.026430684561869082
HALLMARK_ANGIOGENESIS,0.024536719198900846,-0.021830215813326604,-0.047012752390140675,0.02185123147697046,-0.009133984843964608,0.07707267095461076,0.055465919074844085,0.05145870474972589,-0.059854156410670316,-0.061300686182897385,0.014877109995951005
HALLMARK_APICAL_JUNCTION,0.047723241596447065,0.05666880004105863,0.06052655195626996,0.0033424085694497953,0.025123658351153665,0.1063430291734264,0.03107998248521358,0.009764130383439559,0.1381454151930008,-0.004742543716740285,0.0064458854923862465
HALLMARK_APICAL_SURFACE,0.05515306751619028,0.05328816478794317,-0.024480773918435922,-0.05291522495721501,0.05354308330079218,-0.06449460305161692,-0.04679918376389316,0.029540321519464587,0.09381482346442922,-0.006645686978074696,-0.026724348196905393
HALLMARK_APOPTOSIS,-0.029812208845814783,0.02196344275337694,0.01371651796362426,0.036450724219395755,0.014374544328031924,0.07508498725550453,0.044357074837740845,-0.011110308470657648,-0.04515567616158578,-0.02382550936799472,0.037886783490403544
HALLMARK_BILE_ACID_METABOLISM,0.11351762816635362,0.018272838801344136,0.06701145402340669,-0.013353346414473728,0.04975141354640481,0.09393976724395194,0.013341775753975507,-0.02059179247758028,0.11891817268951083,0.014440298121225898,0.0517869816812037
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.09343248091961201,0.05561551157392757,0.0013413748679386344,0.021271923102549745,0.025708621103748167,0.08858642922278441,0.05845262626592875,0.01555167212519331,0.08694195068959734,-0.004287761853246045,-0.008060347295072148
HALLMARK_COAGULATION,0.028915696373461364,0.036437029100052885,0.0002527280991444669,-0.03692073705020418,-0.004017635296576533,0.1024533736965967,0.059018488604511275,-0.01489931555872818,0.08157744618210737,-0.06006486640364639,0.015147004994960302
