,UKF251,UKF259,ZH1019inf,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.003141400261744755,-0.029386569270233448,0.11047501830461164,0.09264748271773939,-0.030271851329117312
HALLMARK_ALLOGRAFT_REJECTION,0.003706607354303143,0.0002696768780314123,0.06972257348169635,0.06854166954148731,-0.00028902346856341806
HALLMARK_ANDROGEN_RESPONSE,0.04782514452917921,-0.018100168585211757,0.08904772259446128,0.05040432992821295,0.055421290109698755
HALLMARK_ANGIOGENESIS,0.037021572029959385,-0.06367607225027277,-0.026702463990046752,-0.06987949141425596,0.03703412161697717
HALLMARK_APICAL_JUNCTION,0.017769849866991715,-0.009176871535172397,0.13629068719462148,0.07303285368967258,-0.011933521304478492
HALLMARK_APICAL_SURFACE,-0.0240379705383937,0.02362298372522395,0.07546392731662584,0.024593516220019873,0.009019353162869732
HALLMARK_APOPTOSIS,-0.03457712463645815,0.00380978331525173,0.0739318064345177,0.038323683377856896,-0.06831571992448073
HALLMARK_BILE_ACID_METABOLISM,0.0018696889524181387,-0.005897636002182038,0.07377235288636798,0.09065629378375788,-0.023328005362008294
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.00027709285175430624,-0.017626909617914955,0.09351963754129748,0.0722713235134366,-0.043436310558403204
HALLMARK_COAGULATION,-0.07223768472101458,0.01419801037627875,0.08824358786648927,0.041050773116991866,-0.048650855064195656
HALLMARK_COMPLEMENT,-0.0013972089234191916,0.0025166433431249554,0.1396443685237573,0.08675973859739812,-0.023686375295198608
HALLMARK_DNA_REPAIR,0.01560937672000626,-0.03852194804513329,0.14290406289845414,0.10930497693416627,-0.018396254780572895
HALLMARK_E2F_TARGETS,-0.006039286646684918,0.005488235340522312,0.10407725547547363,0.10841768334575264,-0.05315096616207105
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,-0.011132086428967746,-0.045593836946446815,0.07328745413339388,0.006018446957808973,0.010138467346346401
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.017436389475983013,-0.018389391126144027,0.13930954369845355,0.061088040666037575,-0.029142900468905657
HALLMARK_ESTROGEN_RESPONSE_LATE,0.031751194875648044,0.030933080930172496,-0.03180602336509922,0.10213804203962507,-0.04977077756131195
