,UKF269,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
HALLMARK_ADIPOGENESIS,0.0626952045747402,0.1215809832706313,0.13654218427513454,0.1864848350700135,-0.08535691369120205,0.09420739310961133,0.10021173072163067
HALLMARK_ALLOGRAFT_REJECTION,0.053507526804029606,0.11302506267446386,0.07972488144523791,0.11369697584019159,-0.020668871908096454,0.044620945957508706,0.09500612303240315
HALLMARK_ANDROGEN_RESPONSE,0.10535333857845024,0.1223048411106653,0.12223043540567498,0.1593948888034527,0.0033673047133171547,0.07265854691033403,0.08616063963814449
HALLMARK_ANGIOGENESIS,0.09977875961533664,0.10090093502841681,-0.013047143506769431,-0.1815130214819152,-0.09116926970387332,-0.0001629475097901547,-0.03464798651012231
HALLMARK_APICAL_JUNCTION,0.10398856505404773,0.09246095587497839,0.11815318550491917,0.17192512206043728,-0.09641555143129915,0.04005752149793939,0.09866099820609406
HALLMARK_APICAL_SURFACE,-0.04354958538754857,0.09953770136613656,0.11710167523289196,0.17466684215520834,0.007906141528331597,0.030707239673339982,0.09292381786524044
HALLMARK_APOPTOSIS,0.015000877784934018,0.05059463026836321,-0.09161530449811647,-0.09984326256958889,-0.09531934769025648,-0.008443096077023277,0.085758645121573
HALLMARK_BILE_ACID_METABOLISM,0.10874448668762067,0.09284319880300493,0.15215377808785704,0.1792435032581326,-0.023354833854441162,0.04834104489411006,0.07835429483485956
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.05760947156018739,0.10839712334843804,0.14669345391260663,0.2015964346463338,-0.0021187840777443134,0.07198072261386794,0.09708776350240089
HALLMARK_COAGULATION,0.0679971243565623,0.052704230904328596,0.07043740391310281,0.10087096041504338,-0.06471307233311291,0.03164806794642184,0.1061458783454435
HALLMARK_COMPLEMENT,0.08027769664992115,0.15202776400850915,0.07458871842837463,0.1114881870070917,-0.04508669004519996,0.0926147767203483,0.1309400995456114
HALLMARK_DNA_REPAIR,0.11978774866112406,0.1500951802447271,0.15489057911584742,0.22332314870967948,-0.039577499575908094,0.0757832317963573,0.052404686673965646
HALLMARK_E2F_TARGETS,0.12667638995206,0.033978701511957754,0.07528723283660181,0.09929222975274775,-0.03143266736246515,-0.003226260506615635,0.0065709056166282235
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.08776561717401311,0.045894029453787455,-0.0008489140697494426,-0.09231867196914395,-0.08628232751199029,-0.004900771783273633,0.04629338730513247
