,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.010095811295625425,-0.004461647897848609,-0.024301528526470877,0.01653902196174507,-0.014145641737382605
HALLMARK_ALLOGRAFT_REJECTION,0.029584618166796656,0.03142657198263397,-0.0117390500482745,-0.00872249343631792,-0.0864243343183841
HALLMARK_ANDROGEN_RESPONSE,0.03947255280219701,-0.020266630840794088,-0.03568038751140306,0.0795626894088691,0.0418274811195715
HALLMARK_ANGIOGENESIS,0.07648004677147575,-0.0518203453212175,-0.05647617885546789,0.0801106157375314,0.12598827884471064
HALLMARK_APICAL_JUNCTION,0.007956527845746148,0.0076936858654000195,-0.0031023537443584577,0.05335362691759628,0.030856315869884125
HALLMARK_APICAL_SURFACE,0.014416256353283504,-0.032175391375874815,-0.010515640521034379,0.04159299550501245,-0.006247356381267673
HALLMARK_APOPTOSIS,0.04766352705535041,0.05335604198928617,-0.00110555002741212,-0.0007162269266366064,0.0009397954646307875
HALLMARK_BILE_ACID_METABOLISM,0.04513638086837714,-0.07633262679602418,0.012137122364272819,-0.01402751020985956,-0.007184342052940523
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.025214134358231364,-0.02464627527532084,-0.046742481757356735,-0.005701654774678851,-0.007315594506488108
HALLMARK_COAGULATION,0.023565414698380412,0.028907375965327275,-0.03419297586519262,0.044601444912055824,0.002694920092086936
HALLMARK_COMPLEMENT,-0.004255518711216991,-0.04948163766545315,-0.005319160001781145,0.024395585126968756,0.024294272712302476
HALLMARK_DNA_REPAIR,0.008027373793332706,-0.04555448273083515,0.014280256169955406,0.022949205173875872,0.03925206001673935
HALLMARK_E2F_TARGETS,0.04891188435772945,0.034327669927605206,-0.04622808068499153,-0.011089012220870829,0.05166371329244313
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.002118868879806516,0.036352926800217844,-0.015316553999771701,0.06367994314696046,0.08292875117921474
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.010092193090435488,0.04064377835143232,0.00802887030168757,-0.00012195098627134677,0.08769146313638329
HALLMARK_ESTROGEN_RESPONSE_LATE,0.05435327837719413,0.0017912487863020255,-0.02786523564545676,-0.0011853391254014894,-0.045958391060198445
HALLMARK_FATTY_ACID_METABOLISM,0.013141301115145398,-0.03525520665746903,-0.014384066295587715,0.039896842545359947,0.057830586666671936
HALLMARK_G2M_CHECKPOINT,0.0635943596715071,-0.030373593056775176,-0.014441529599463316,-0.007041585909972042,0.06581680850739541
HALLMARK_GLYCOLYSIS,0.029962943097555237,-0.06593351619147071,-0.022636950367327355,0.026249339603169677,0.08241044974571146
HALLMARK_HEDGEHOG_SIGNALING,0.02867858696902659,-0.016155881620731876,-0.032736233314946406,-0.003923350127983599,0.02119075353176997
HALLMARK_HEME_METABOLISM,0.029262529446920028,-0.009768964614895242,0.01004424125510955,0.025595331730624345,-0.012916608192656855
HALLMARK_HYPOXIA,0.00022622541030624025,0.049961317260089184,-0.009186989282172004,0.01034085920673315,0.12619226730471308
