,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH916bulk,ZH916inf
HALLMARK_ADIPOGENESIS,0.022657647352434227,0.03679855213280542,0.10582983549053146,0.07688597077131326,-0.18146104508527783,0.022210219191608208,0.0714687742668099,0.09086624052364484,0.0460848679908367,0.04767220741799206,0.17002531088889936
HALLMARK_ALLOGRAFT_REJECTION,-0.005847508261068271,0.0314258975563386,0.01228122319313655,-0.13057632902161778,-0.18398666218112475,0.06364329414637358,-0.016200976188691495,-0.2062957017453572,-0.020955871124605147,0.029599893501503372,-0.008935409248407784
HALLMARK_ANDROGEN_RESPONSE,0.019619416208703982,-0.03849321010822032,0.1007866952357929,-0.043546581001683446,-0.20843348986040933,0.04815924086472901,-0.0036908488277540034,-0.05311417524702023,0.018150613326610835,-0.01661362623428109,0.09003223454592885
HALLMARK_ANGIOGENESIS,0.017082196437464496,-0.003683749618302156,-0.19377563025844688,-0.08187980010878249,-0.24814198244026128,-0.11663997094253076,-0.023939000388642065,-0.20555890222998788,-0.09489134781410748,-0.09876256687646204,-0.07877334353015363
HALLMARK_APICAL_JUNCTION,0.06723637893231058,0.020555029614491307,0.0060776831716028625,-0.015953094959535955,-0.21163014684440445,-0.04313788947622096,0.03580901122144009,0.05034413523685111,-0.025664312652671252,0.027175999805062717,0.14861632550173634
HALLMARK_APICAL_SURFACE,0.034903146657455746,0.02916077048551929,0.04763158848258185,0.16366566721635775,0.1864530102321108,0.11694545937363672,0.03943730522813143,0.18468003891399112,0.023224702231958175,0.02473682969124699,0.15892223904484173
HALLMARK_APOPTOSIS,-0.05675911851235572,0.03660218770950792,-0.06958851592774333,0.032690135781094046,-0.023189567397374534,-0.03363583142210118,-0.05079754393473459,-0.029328338838474577,0.05434030540700656,-0.003134937939696175,0.08675812963883792
HALLMARK_BILE_ACID_METABOLISM,0.056630073063196285,-0.03376622449808826,-0.020288311489601366,0.01825943926383349,-0.23931448715844672,-0.07298489530076649,0.02240315091410318,-0.011961226807704435,0.0073037614233933896,-0.006313762988591076,0.04970906563880631
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.07610487046354401,-0.03463836352132885,0.01251192119345427,-0.05614198728680929,-0.1495223303534569,-0.08533457108553107,0.02826465275585547,-0.1873306005789347,-0.0026120273510852423,-0.026378924837927295,0.05854312556254195
HALLMARK_COAGULATION,0.022715364176737928,0.0274774005371991,0.012165311845725809,-0.12516559077573175,-0.20525985111120834,-0.0574613881739267,-0.01911621412925682,-0.2494610659061782,-0.0023630175995145468,-0.03133076852415128,0.027882647602933304
