,UKF334,ZH8811Abulk,ZH8812bulk
HALLMARK_ADIPOGENESIS,0.011189008415748209,0.07134298882849813,-0.015697689713322676
HALLMARK_ALLOGRAFT_REJECTION,0.02132080975965937,0.0004519732799525251,-0.04783302631464064
HALLMARK_ANDROGEN_RESPONSE,0.09001399974525706,0.10943501156337315,0.06042796774291465
HALLMARK_ANGIOGENESIS,0.05390156071087152,-0.09222598242717489,-0.020726684478955856
HALLMARK_APICAL_JUNCTION,0.07626360894151497,0.07003311614500454,-0.029647650037684648
HALLMARK_APICAL_SURFACE,0.04036064910651247,0.04959303955088934,-0.00852435267397445
HALLMARK_APOPTOSIS,-0.05908618709411647,0.021308601186958723,0.06400811914205953
HALLMARK_BILE_ACID_METABOLISM,0.05420194806804233,0.11279966651595326,0.01666131257325406
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.06152134856104889,0.08491107540454576,-0.003944347322582327
HALLMARK_COAGULATION,0.04335743086373171,0.04577175127048863,0.04554882206371533
HALLMARK_COMPLEMENT,0.0016501375245292827,0.04160230418333321,-0.03351414180527224
HALLMARK_DNA_REPAIR,0.08726483371767778,0.07167405768014537,-0.017651631198003875
HALLMARK_E2F_TARGETS,0.06331637814687777,0.01900485889562036,-0.01145353593334919
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.07940244645226452,-0.027195168517615782,-0.0008018564229592488
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.01640330211843123,0.08015681799157048,0.05019947709947106
HALLMARK_ESTROGEN_RESPONSE_LATE,0.02741879830907361,0.054841521188841696,-0.010119850953460447
HALLMARK_FATTY_ACID_METABOLISM,-0.05721709371624247,-0.015568589560121393,0.019118331632351007
HALLMARK_G2M_CHECKPOINT,0.059609012462880806,0.012826653348809216,0.0008661544759485434
HALLMARK_GLYCOLYSIS,0.03731741418778052,0.04555586918320431,0.003198429386158426
HALLMARK_HEDGEHOG_SIGNALING,-0.022030714393861544,0.06528028989903485,-0.01697036435809975
HALLMARK_HEME_METABOLISM,0.07690641410016968,0.059819864801430186,0.014433245395849994
HALLMARK_HYPOXIA,0.015721718759302044,-0.013668599792890002,0.03146541758917938
HALLMARK_IL2_STAT5_SIGNALING,0.02671921683188882,0.07290668003104395,0.07694645844721627
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.02417175471636625,0.005896188601831622,-0.03127197810404387
HALLMARK_INFLAMMATORY_RESPONSE,0.03563129923831903,0.0248829279425901,-0.00511600738719983
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.07615452500453644,0.05102817786981128,0.008871901964514732
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.06745464941844646,-0.02385267914342232,-0.0013405504156868936
HALLMARK_KRAS_SIGNALING_DN,0.02012409062372109,0.0840078385914102,0.01832420749314422
HALLMARK_KRAS_SIGNALING_UP,0.03008043801082585,0.05602156157677167,0.019207087406349417
HALLMARK_MITOTIC_SPINDLE,0.06730996428011603,0.09666588038859912,0.00799652107415793
HALLMARK_MTORC1_SIGNALING,0.027350923394924526,0.03622061428327553,-0.016052775852803902
HALLMARK_MYC_TARGETS_V1,0.07744203734105742,0.08193209544569052,-0.011178946870992565
HALLMARK_MYC_TARGETS_V2,0.10130561896227154,0.062462718962905575,-0.02369726839662854
HALLMARK_MYOGENESIS,-0.004632359429190711,0.04789538364560231,0.010644555596292687
HALLMARK_NOTCH_SIGNALING,0.07100633587504408,0.06251895705561437,-0.012171774626548316
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.02387067761596489,0.07022851596778644,-0.017218935373129497
HALLMARK_P53_PATHWAY,0.03537473983812281,0.11058499277479923,0.04138983688329659
HALLMARK_PANCREAS_BETA_CELLS,-0.061969608506327704,0.0871980125733618,0.02501509163504056
HALLMARK_PEROXISOME,0.021453014725778673,0.0603734345959259,-0.019957806104353014
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.04641852595187315,0.05873822239819405,0.06252345761809906
HALLMARK_PROTEIN_SECRETION,0.04901975459728335,0.06709961601203637,0.008216158280559932
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,-0.04877220575183544,0.08000909260639709,0.04993696086498722
HALLMARK_SPERMATOGENESIS,-0.015312644590043029,0.07756767344993759,0.018313852600308166
HALLMARK_TGF_BETA_SIGNALING,0.027564018520940477,0.08684277030707212,-0.024061363450485852
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.05756353292977365,0.0880258901554921,0.039170359381076165
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.09080205646774367,0.09711030793973917,0.03481998678104286
HALLMARK_UV_RESPONSE_DN,-0.010829390926251339,0.011875592677692625,0.0330225539064691
HALLMARK_UV_RESPONSE_UP,-0.02199081379303916,0.08252390284739251,0.021354118484810017
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.10391044263300468,0.07141659937420619,-0.017440574210262367
HALLMARK_XENOBIOTIC_METABOLISM,0.007238437178524852,0.07410267804782084,0.012588715883874868
