,UKF243,UKF248,UKF269,UKF275,UKF296,UKF334,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH916bulk
HALLMARK_ADIPOGENESIS,0.05786804831100105,0.07045394509987145,0.09037970934404946,-0.01738931697605788,0.02799441467998769,0.015959952005298934,0.027819584077646228,-0.0327637104145061,0.0648681846863049,-0.031002984876237004,0.05175076948139379
HALLMARK_ALLOGRAFT_REJECTION,0.028600914092407233,-0.033845864044126706,0.127929462481524,-0.01363585059655322,-0.031689211537901864,0.007670498672730527,0.05094177132088044,-0.13085121509776745,0.0176930255713612,-0.05225022511269504,-0.003955508769643119
HALLMARK_ANDROGEN_RESPONSE,0.11283410779696194,0.03916213950519373,0.07540663950413078,0.014661205234060165,0.010942881147355026,0.0883563405854469,0.03047101084131628,-0.01718880592919118,0.05990636698971198,0.0038021693534176864,-0.00457824975480364
HALLMARK_ANGIOGENESIS,-0.01636657208592044,-0.040316810346430615,0.08742850049011032,0.01323588683105501,0.03966598092984679,0.08379790051492406,-0.18683031699595115,0.06900527415311895,0.04236252571371946,0.02168470000761633,-0.10170761730025919
HALLMARK_APICAL_JUNCTION,0.04170566352651923,0.06597714160363367,0.11501129858560484,0.010883041258502271,0.062120106135399256,0.05388003197802955,0.057192407821808164,-0.02835014329664991,0.08352750907428368,0.01615208121263598,0.009958116056277338
HALLMARK_APICAL_SURFACE,0.0635204150461861,0.06308742246951056,0.006752335587035424,-0.012889040514262335,0.02850321809919169,0.0313143517233901,-0.03162612065462645,-0.09985967296891558,0.018784187568780544,-0.045463539007493864,-0.0014505369526482941
HALLMARK_APOPTOSIS,-0.04870536094414425,-0.0943849093798839,0.05092411190550605,0.06630477679341999,0.03879616585163486,-0.07430220940258375,-0.046356727727300255,0.008533692772472989,0.008588181740445922,0.06307129440782687,-0.03967824664135941
HALLMARK_BILE_ACID_METABOLISM,0.05191793780356302,0.09970314424189843,0.09318847280375915,-0.007008968000631283,-0.004353761464302432,0.08319358866437515,0.032797798182160845,-0.13353805346026973,0.041236181228673605,-0.04242179108353863,0.07102755591226045
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.06139839707758985,0.09078920976028859,0.06281901933528422,0.06150534689805745,0.026269759986852294,0.05783785423453563,-0.0631391200286888,-0.12718266472846576,0.03469864601669444,-0.02475440491051593,0.009036869813740118
HALLMARK_COAGULATION,-0.03719706010044443,-0.005307899034477695,0.11290419474416452,-0.0028647717342776082,0.003476020717007749,0.03237127850618072,0.009956823200891533,-0.06114040444373197,0.10798483056542889,-0.008484324936441306,-0.033836672255124836
