,MGH258,UKF243,UKF251,UKF259,UKF260,UKF269,UKF275,ZH1019inf,ZH8811Abulk,ZH8812bulk,ZH881T1,ZH916T1
HALLMARK_ADIPOGENESIS,0.046470081058975696,0.12550935192666018,-0.03064790292238733,0.03388192141602324,0.01660791968737404,0.09902726781744069,0.05401700127246621,0.040930536269495284,0.08446862715648726,0.11055821536599862,0.000964599993088765,0.00949834740142989
HALLMARK_ALLOGRAFT_REJECTION,0.024694733795731286,-0.08026023633476673,-0.03325847702117449,0.029609569482457253,0.05152900573324982,0.12895390852407224,0.006080754970911644,0.04465874323870267,0.009314987031929265,0.11534947081681493,0.01870524436069502,-0.007374250858726442
HALLMARK_ANDROGEN_RESPONSE,0.04592871427266106,0.04299125015572094,-0.008557416915265762,0.015681851571119346,0.09543050711090068,0.12035315068273049,0.025722635258110974,0.062062253966750976,0.06757603921896357,0.007573991795800453,-0.03162429155697789,-0.035201290581057275
HALLMARK_ANGIOGENESIS,0.01406122826279552,0.06358096629758032,0.0038734825113637484,-0.030641079334721946,-0.0933758397828794,0.0947621253021462,0.053904033851221306,0.01583582901400603,-0.1006572339864786,0.10174539754447484,-0.0461455592252294,-0.03334752246604821
HALLMARK_APICAL_JUNCTION,0.05138625041107473,0.09125298674687682,-0.03964505201198956,0.050034669661844715,-0.0647582668533622,0.1288221718785446,0.05425272689395954,0.014513445034902095,0.10533868133246818,0.17136456841930958,-0.048271671696894496,-0.03523358667736678
HALLMARK_APICAL_SURFACE,0.04846932975665631,0.05989101901189627,0.015051003209142717,0.05217114654876974,-0.023821018423308225,-0.06488292097831262,-0.009270495847597536,0.07013242611647189,-0.012684987288005963,0.11846680338393333,0.002030929941776711,-0.004596778850232559
HALLMARK_APOPTOSIS,-0.01980675460525443,0.04740392918930895,0.02211598970595003,0.007481587976567435,-0.048200835803715446,0.06382954111324146,-0.0026647060037888557,-0.012188807707097939,-0.010930397965882408,0.03732223473226835,-0.0047726594557162905,-0.05554576458401096
HALLMARK_BILE_ACID_METABOLISM,0.05836106263507134,0.10205555105942798,-0.0033620326439523815,-0.006529729612753569,0.0009053774890866029,0.12443907638114635,0.019579536712661758,0.022001487915571945,0.05581790024324177,-0.006412204171847592,0.025964563865194416,-0.0002925345289604787
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.003398984595333463,0.12870161165574498,-0.05664296332987688,-0.03360730299273813,0.009000397999503936,0.1269469976420414,0.06997013738468524,0.08540960990141153,0.04938207061804341,0.03393841460344904,-0.01314002834305314,-0.03426319724211431
HALLMARK_COAGULATION,0.02134488410413239,0.12448892461662485,0.010926992202653576,0.029679398032827053,-0.04471335658907285,0.12040610199051642,0.11014697506547724,0.0020147327892099613,0.058412945080601096,0.11960367392831757,-0.016917828736109714,-0.05584091432225336
