,UKF248,UKF251,UKF259,UKF260,UKF269,UKF275,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Bbulk,ZH916T1
HALLMARK_ADIPOGENESIS,0.0748061312122039,0.01865477909896399,0.04220744255711908,0.07509784100205417,0.09968786469852986,0.056587021645168205,0.08306569308959336,0.05303326098083647,-0.023751723570207623,0.07046959008184915,-7.676311251462973e-05,0.07555089850533096
HALLMARK_ALLOGRAFT_REJECTION,-0.010520046723078219,0.07086678486899446,-0.03806512973342829,-0.001889512678158244,0.16833493871352562,-0.014904710258615577,0.04545957529486674,0.03335317000300702,0.003749274869743176,0.03412809692316386,0.041658782018643384,0.07906675478040544
HALLMARK_ANDROGEN_RESPONSE,0.08694986343959736,0.051150990578159514,-0.012069530192436223,-0.013595843013341234,0.16608648644915636,-0.005788298691555271,0.0269642245090309,0.09233057267416962,0.007401710668145241,0.0680714244867461,0.016883188678296038,0.08842169581128484
HALLMARK_ANGIOGENESIS,-0.03711899191732916,0.042740955100695095,0.031773509348027744,0.03989443009253384,0.12058251778797092,0.05184505977425424,-0.06292628905812833,0.06294544268502053,-0.055076902777613075,-0.01527339898818412,-0.010297025998149066,-0.03213481521745425
HALLMARK_APICAL_JUNCTION,0.11715473076566943,0.04998002944844002,0.06635120863835439,0.061592176473532816,0.1421124604471122,0.01950405180322824,0.08002628398646781,0.10131257951419513,0.0525983460057203,0.030063365517805613,0.031477211468471544,0.1205021932431395
HALLMARK_APICAL_SURFACE,0.10386868152939044,-0.08375516294441394,0.011479868663189074,0.06691365974424715,-0.09239269328023941,-0.05092524635008808,0.05537706380361291,0.11816934670739157,-0.00950491599822825,0.02531220281248465,-0.006956123588962853,0.12590200487664588
HALLMARK_APOPTOSIS,0.02147736503529574,-0.0073155280059397825,0.039637560022418104,-0.062319133183884996,0.04383078728319882,0.016301027316505668,0.026659124658946928,-0.02607487601609344,0.059200425941379906,-0.005732496665810141,0.011681445494796687,0.0336320448741063
HALLMARK_BILE_ACID_METABOLISM,0.03582541813780685,0.061227158659290314,0.023053288957778657,0.07719182439768733,0.11088049162102255,-0.02046292124081944,0.054829266247724336,0.1218861465464654,0.019732545208797175,-0.004592597550487311,0.021587666966699604,0.05550574945977103
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.06922971250403476,0.054352105660792314,0.029159677058325888,0.09852041851311097,0.11469088011635858,0.0297425863722802,0.05893648260363478,0.11467459962680937,0.08760578926245018,0.004333743231007949,-0.0003731037365203017,0.07346350169509262
HALLMARK_COAGULATION,0.055336202293625555,0.08238112631339599,0.03698938075152682,-0.0015068260145680086,0.1560210271118505,0.03135137812224913,0.055391645551400914,0.06397002425757682,0.04613885332900209,0.06441983343608018,0.03636366493095133,0.0914332772310544
