,UKF248,UKF269,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.07210271967573863,0.09336966865242351,0.03455069160255682,0.06455222948334101,0.1094511640942759,0.16968411041706272,0.12795213874716882,0.07193064232241635,0.09120529624224533,0.002346200772101131,0.07209946066769037,0.10248479248485505
HALLMARK_ALLOGRAFT_REJECTION,0.043379901890159625,0.11857915261812607,0.030131754631275574,-0.0015524935305171702,0.05508897154743789,0.11030193221674477,0.033267630733146314,0.07680368430755845,0.06924268411315275,0.045917349720660104,0.12333218109411095,0.012873009376357953
HALLMARK_ANDROGEN_RESPONSE,0.04796758496308686,0.07959179336536445,0.05114098736324593,0.01764432246742731,0.17442283342728965,0.18453253447228363,0.039304126504254154,0.09541404727130862,0.10176414369623275,0.05496846115123789,0.07203934615568137,0.07794324252251211
HALLMARK_ANGIOGENESIS,-0.006004494059368684,0.1224358198209976,0.01777010613241331,-0.025042535404736565,-0.08706449642937931,-0.09566595425049408,-0.08333694793207656,-0.008596215352143319,-0.027355635955543724,-0.01266265133459608,-0.05690469648058469,0.013283630867802076
HALLMARK_APICAL_JUNCTION,0.07967072662911469,0.10864016712370372,0.046774163331636684,-0.01935376027125659,0.12668662556751856,0.1487364559690406,0.09543541380747952,0.0692364829345629,0.06928653955299718,0.05171560933785159,0.053238795038255515,0.11427033972901994
HALLMARK_APICAL_SURFACE,0.06474636035851546,-0.012424259882182086,0.04747594787462608,-0.01978301318720084,0.1019784688494264,0.0862940390985313,0.07213155883324363,0.02980917529604329,0.06724493929600597,0.015133356614593715,-0.02259744498418115,0.032283267420023735
HALLMARK_APOPTOSIS,0.019186857725794034,0.025077295552184697,-0.05900904283706684,0.05948847588889594,-0.037280483366585536,0.03541800678656619,0.030177427339220596,0.022165187303348256,0.014402628672188243,-0.0935358418939232,0.07244678099369754,0.03527303264973737
HALLMARK_BILE_ACID_METABOLISM,0.014451154324684374,0.09739773037018398,-0.012242252670652693,-0.007546010845126358,0.06838173122332647,0.11433373053842101,0.06598721710230349,0.04277648259360863,0.08147252784854075,0.022490014587688557,0.059140444654634666,0.10044638030625297
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.046355158899219505,0.060492024202802044,0.05101958997736916,-0.05635183028898708,0.10581305066978212,0.08032635970203758,0.05776221661058401,0.08037207415980596,0.08075600059133445,0.03854826183237058,0.026833005402452346,0.0883997061650607
HALLMARK_COAGULATION,0.07471971174561125,0.07783381015533777,0.06562758932327625,-0.04168790488645405,0.1148669570184452,0.06879753441461693,0.0690834473947214,0.08139449474543962,0.07753305709516525,-0.05557167661283941,0.06040972044002144,0.08583175156449742
