,ZH1019T1,ZH1019inf,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.03677359902137201,0.15275780598367017,0.18545837705692084,0.16906755135097776
HALLMARK_ALLOGRAFT_REJECTION,0.030424154166515623,0.11100205658805598,0.1613981762167459,0.0021598341680838153
HALLMARK_ANDROGEN_RESPONSE,0.01682358163714927,0.07655895900827493,0.1116558742973143,0.12159364976693864
HALLMARK_ANGIOGENESIS,0.04406833787967817,-0.046150805861453814,-0.1231342988443131,0.11856396871197276
HALLMARK_APICAL_JUNCTION,0.006322054781569373,0.1715026180001312,0.14838369813644467,0.16298912537385074
HALLMARK_APICAL_SURFACE,-0.028252684825009776,0.1350953076192876,0.13049263855083496,0.07336149829086071
HALLMARK_APOPTOSIS,0.04746814202596423,0.13707310320803215,0.12288348368193058,0.033417298338128
HALLMARK_BILE_ACID_METABOLISM,0.04928311856542531,0.10694537252000778,0.14104264232938096,0.16509132195519477
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.053773895344774225,0.19695510294442364,0.17112877641831692,0.16887534773470345
HALLMARK_COAGULATION,0.011890746953323593,0.19710380958196447,0.09676922997519037,0.1348897907786846
HALLMARK_COMPLEMENT,0.0407529035961024,0.16218595568079974,0.1531679533023336,0.10225782753851156
HALLMARK_DNA_REPAIR,-0.013772014099199899,0.2360436125649163,0.16075838047706628,0.21336910938167997
HALLMARK_E2F_TARGETS,0.0005711940145798744,0.12628708280928297,0.1377683319819479,0.2147599660363307
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.040113902326384766,0.16429549399628915,0.0488779865365204,0.14669861605996548
HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.02820614078408127,0.1508236466137879,0.12139049979404529,0.16156748455397726
HALLMARK_ESTROGEN_RESPONSE_LATE,0.014606180940622696,0.0505738216145821,0.12899087486064661,0.10957114804295105
HALLMARK_FATTY_ACID_METABOLISM,0.05415317805378203,0.15064663091760172,0.12423633958437878,0.09072587911225491
HALLMARK_G2M_CHECKPOINT,-0.01577454283465968,0.12916853960334074,0.10644619370955169,0.1835629896018783
HALLMARK_GLYCOLYSIS,-0.05919388563350157,0.20221173594657815,0.1419698106087331,0.17146526504857046
HALLMARK_HEDGEHOG_SIGNALING,0.04936729759154137,0.17932877004146577,0.1299232331487429,0.007418489878119537
HALLMARK_HEME_METABOLISM,0.017858046550258782,0.14912708513275735,0.15016906902171367,0.0944108274514963
HALLMARK_HYPOXIA,-0.027411597646038476,0.14726448987928886,-0.021348923167271498,0.10588049461046634
HALLMARK_IL2_STAT5_SIGNALING,0.0031158192060157614,0.07271104359764644,0.11699182446685316,0.18481865520837365
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.05378336686626658,0.18487854283020388,0.1351310839545849,0.14122020636042806
HALLMARK_INFLAMMATORY_RESPONSE,0.026604911274184174,0.0651118976510055,0.08627866710121367,0.0328053603498607
HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.020907354181171275,0.024414323199614875,0.15095018334293864,0.07527507672080713
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.015360085928126703,0.1741211319347268,0.17744756142456825,0.1338835507617981
HALLMARK_KRAS_SIGNALING_DN,0.04949496727307832,0.1296093591346361,0.13608936752920484,0.07875131200050808
HALLMARK_KRAS_SIGNALING_UP,0.06822709564504688,0.10127449812541273,0.13015352684550138,0.03598425780689543
HALLMARK_MITOTIC_SPINDLE,-0.027508462283654903,0.10837584768361475,0.14551377972141516,0.1514851844955672
HALLMARK_MTORC1_SIGNALING,-0.02433622575396728,0.11707735635586543,0.04068789728903141,0.09996771295450639
HALLMARK_MYC_TARGETS_V1,-0.00969973192695653,0.16404953746886383,0.11479230056161635,0.17251092919396915
HALLMARK_MYC_TARGETS_V2,0.04977064579948416,0.059184690178738765,0.12216486890442634,0.12661583423750392
HALLMARK_MYOGENESIS,0.05311600125222826,0.15301634979568562,0.1096195993488192,0.028020197007271257
