,MGH258,UKF248,UKF275,UKF334,ZH1007inf,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH916T1
HALLMARK_ADIPOGENESIS,-0.02384186244975421,0.026012903463824687,-0.012897281156188243,0.051758985031347134,0.12316434397055039,0.1182375001098705,0.13509026246693745,0.08920990521841891,0.08696983577797474
HALLMARK_ALLOGRAFT_REJECTION,-0.05983977486268485,-0.04685179756506611,-0.08233110791622457,0.06633009437581187,0.03174738661665884,-0.004151894642745948,0.03549980841844067,0.06214352535957014,0.03291184092423297
HALLMARK_ANDROGEN_RESPONSE,0.005314748812203645,-0.0022064244988999056,-0.011590966991669926,0.09370099494466301,0.08329555844228381,0.013037376905414878,0.11525863491506999,0.09242859264730051,0.0503858215218153
HALLMARK_ANGIOGENESIS,-0.08438775681992128,0.008731506707330524,0.11991320570290005,0.07925084818963367,-0.018839578903607636,-0.04243421860058677,-0.06141038408477799,-0.08293847415630491,-0.038602282695294296
HALLMARK_APICAL_JUNCTION,-0.0030626417311181786,0.07121501638387494,0.09325771256267236,0.12064762068736797,0.12787828532769954,0.14287760730196514,0.1381464202678332,0.0880072569368505,0.08143686503948816
HALLMARK_APICAL_SURFACE,-0.04782418714991002,0.05523027617083969,-0.09130974237291785,0.056941592170104346,0.17745271983699779,0.1579707355230968,0.13086651422853635,0.05600557029056017,0.0759735574910517
HALLMARK_APOPTOSIS,-0.017813344789331272,0.017812594950493803,0.04779653697490376,-0.029672975463277212,-0.03853883045582402,0.054914929971198005,0.008686832024608446,-0.07689294649164297,0.02787873298429307
HALLMARK_BILE_ACID_METABOLISM,0.05720188493609999,0.014022675679250784,0.015789036248147228,0.048026870767726125,0.0540763582616578,0.14590696813849968,0.11832639127471105,0.07536855517384766,0.09895285325673872
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.04119339060325535,0.0073033472800931335,0.1324693702938114,0.061461508030110024,0.015875059703296033,0.1635556362967484,0.15323630729059023,0.11536566272218782,0.07780924264743938
HALLMARK_COAGULATION,-0.04946864767433238,0.037504219733363424,-0.006808833955985849,0.06626498627157547,0.08018497242855917,0.02556012077516797,0.11008353981222123,0.04376563096237489,0.041685170396996866
