,UKF243,UKF248,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH8811Bbulk,ZH881T1,ZH916bulk,ZH916inf
HALLMARK_ADIPOGENESIS,0.043104516559410284,-0.011884558946133368,0.048166336553031756,0.06517444489832735,0.05867729801952299,-0.09221123501431407,0.04953718949626119,-0.022032346207520006,0.15623079476586135,0.0609021013833978,0.09595670635771741,0.026543139235694804,0.07589394049640176,0.15288025749596085
HALLMARK_ALLOGRAFT_REJECTION,0.03209632060240982,0.03708614638487286,-0.049733383216659,0.05476569633849794,-0.025664924098909688,-0.23692486791485168,0.0465986744978147,-0.0063619271648641795,-0.2383032009877043,-0.10832325042106596,0.006615349170982817,-0.08136964235757642,0.016131030782102315,-0.028124934620805005
HALLMARK_ANDROGEN_RESPONSE,-0.0017325444377679787,-0.022451325250702623,-0.029594595407475045,0.10252789052721385,-0.033648108769004016,-0.2288939263899282,0.023636308098105723,-0.08663044493542438,-0.1690214146377252,-0.07456768797690916,0.09307402546891114,-0.05095012247962061,0.08295017082051126,0.03277289239214423
HALLMARK_ANGIOGENESIS,-0.2173486543946139,0.10299479800878042,0.00965079528070566,-0.1404579970877329,-0.104069705147657,-0.2691026789684327,-0.08040568214095682,-0.030915152943633617,-0.24197759962585771,-0.2421335654867143,-0.046948823401340614,-0.02932529009951171,0.008560938312785633,-0.2301877385281225
HALLMARK_APICAL_JUNCTION,-0.000263588403903417,-0.02209346849854235,0.04431830949038403,-0.0015779064485113958,-0.06504366709351253,-0.21290908936914163,-0.012605824740758057,-0.0021100503320753555,0.058731690399560436,-0.12318530480937834,0.09286356042762696,0.019679466962177976,0.08001207394956603,0.22735153577329778
HALLMARK_APICAL_SURFACE,0.141926747296917,-0.037948651246810836,0.08489891067705779,0.03213540036708918,0.05970334929443808,0.12685583285469335,0.03545118443856697,-0.004466908853845799,0.10741948683007897,-0.04988596922361257,0.05376637664223827,0.07874078071275159,0.10008677804921477,0.14109210932063757
HALLMARK_APOPTOSIS,0.009920146634372318,0.02691070184554551,-0.011535923371868607,-0.02353576981162355,0.07302297789056533,-0.02608326774186661,-0.09553519966402751,0.03251271082570705,-0.041983500400204606,0.12617155035997496,-0.021705851567670017,-0.017320339587851775,0.09683660919578362,0.1578469455449588
HALLMARK_BILE_ACID_METABOLISM,0.031681730812156556,-0.042211559105042,0.041891950397703714,0.026503950631832956,-0.038320871937347636,-0.2592041417587738,-0.04635927110177056,-0.0016711849958393026,-0.07940309705034303,-0.05752022752884798,0.11012113706824918,0.006202363333072676,0.026020124304257417,0.0206651583512124
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.09201800463481548,-0.042350136528228055,0.04688249513030917,0.0483341786127724,-0.07865324783975702,-0.1803354679293485,-0.04869664853701155,-0.0068616920980567545,-0.18494354474708577,-0.20311755702232615,0.07177222124563448,0.06607180702341865,0.037844970204059795,0.036506393009395545
HALLMARK_COAGULATION,-0.07228827369467078,0.014078065313699734,-0.03538348665011707,-0.030293226960305453,-0.03097883960850465,-0.2612223706484558,0.045552721310848386,-0.040639465693944894,-0.2251282170471571,-0.15279964251506614,0.04271648454292593,-0.03808737362409519,0.03824708618155672,-0.08608769093805564
