,UKF260,UKF269,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk
HALLMARK_ADIPOGENESIS,0.12515583701880406,0.02620616811636343,0.22037230635208765,0.10754873092375529,0.0019405469561391026
HALLMARK_ALLOGRAFT_REJECTION,0.0676331852064418,0.09158049772026663,0.06990150161274743,0.10187716040805662,-0.05959741020924702
HALLMARK_ANDROGEN_RESPONSE,0.029347995959622328,0.09244035452467149,0.18980391814699804,0.10560813046343812,-0.0358807308123661
HALLMARK_ANGIOGENESIS,-0.07761802274020546,0.09263721896904185,-0.09637805366516053,-0.0614582491963189,-0.11199238594646022
HALLMARK_APICAL_JUNCTION,0.05874673255289508,0.06839175072684579,0.18253363733907635,0.10450525657226753,0.002750711315613697
HALLMARK_APICAL_SURFACE,0.07310209372102744,-0.06134444114110265,0.09485444327056901,0.10560399375714247,0.012266668651705299
HALLMARK_APOPTOSIS,-0.10141863638824604,0.026353818675842276,-0.09146255123090019,-0.006692584276797604,0.0040516694771609504
HALLMARK_BILE_ACID_METABOLISM,0.09009140085131655,0.08141951943470815,0.19784960835775847,0.06043337554611253,-0.0209499805205868
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.13524334731250398,0.07683035731952223,0.18363396022513873,0.12008402405497773,0.0011859839931725603
HALLMARK_COAGULATION,0.011536891951700524,0.0991865837734905,0.0708795525733249,0.08235705735845629,-0.048771499709480644
HALLMARK_COMPLEMENT,-0.009600231886772045,0.07712917435202961,0.07201210786991674,0.06562965094966257,-0.002697662554844537
HALLMARK_DNA_REPAIR,0.08472295103643693,0.05141460782805761,0.20137807532545618,0.09620729433976397,0.007551598574889449
HALLMARK_E2F_TARGETS,0.10794617047935365,0.056509880430046885,0.02874407174028073,0.07590777050764733,-0.014432244203031862
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.0037722115797276697,0.06543304639907702,-0.13438053313954476,-0.041919963300850606,-0.005118367330810915
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.012619544560338364,0.023438183918023794,0.15439329110829775,0.05308703615932741,0.05350444143526039
