,UKF251,UKF266,UKF313,ZH1019T1,ZH1019inf,ZH916T1
HALLMARK_ADIPOGENESIS,0.03813792920164022,0.06263432265648562,0.010583738445162147,0.11960087562580177,0.12525223150728737,0.13167084546866184
HALLMARK_ALLOGRAFT_REJECTION,0.06544325552343051,0.12269351351220072,0.01679174546995455,0.05003401346545479,0.09944008402927061,0.17699119732849303
HALLMARK_ANDROGEN_RESPONSE,0.08744850171811194,0.13762891919972586,0.013973797051149924,0.027452438150285103,0.06725383083079481,0.2552787596263116
HALLMARK_ANGIOGENESIS,0.051872683735821795,0.11521479543702948,0.012625400181809373,-0.0011401355968882997,0.08649945275187024,0.1261792938257365
HALLMARK_APICAL_JUNCTION,0.03071150465328866,0.1445590206994597,0.023936772580321956,0.030064166185554835,0.15874760913290625,0.2696861344492661
HALLMARK_APICAL_SURFACE,0.01620071057786474,-0.0557055258593916,-0.008608820593676538,0.1081201894149362,0.0671012776263666,0.2351185484032193
HALLMARK_APOPTOSIS,0.009871549877961478,0.011508372724480546,-0.019138847118988094,-0.07120206075078098,0.1486704257174175,0.03402884885334897
HALLMARK_BILE_ACID_METABOLISM,0.06216447739790178,0.09081002778954386,-0.013909549523394692,0.0547265625837691,0.11827366095592523,0.007719432484529854
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.07426313806472001,0.15865025185080034,0.0031143633081639546,0.15248449329961147,0.12523477264055835,-0.0018382264539941698
HALLMARK_COAGULATION,0.04011562721263029,0.11444910769001658,0.06249779376236256,0.039115342836616225,0.14346244395604585,0.27067120002250655
HALLMARK_COMPLEMENT,0.05835382309411283,0.03756332217545285,-0.030483445387311032,0.06715293927532218,0.08863060588348566,0.05001012313466553
HALLMARK_DNA_REPAIR,0.12316805474992876,0.13629325635808698,0.035737575353881,0.08636223772568545,0.16578112305265694,0.09206155299659385
HALLMARK_E2F_TARGETS,0.07060542121085496,0.15095915024535134,0.01537985417857947,0.045266017290570074,0.04151862586183688,0.05478015540982016
