,UKF266,UKF296,UKF304,UKF313,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,-0.025619320981719682,-0.009220021663102986,0.07543550557300427,0.16712261837848924,-0.048611716142720314,0.029818863135144213,0.02872580642692055,0.08464186609400128,0.14455422638536472
HALLMARK_ALLOGRAFT_REJECTION,-0.06371891175238398,-0.024662394624613043,0.007294586548099522,0.252831194075033,-0.011125378100667074,0.0726846762713956,-0.03439729691600925,0.1946533139402109,0.02196204991532147
HALLMARK_ANDROGEN_RESPONSE,-0.06901237668012165,0.05965603922146297,0.04201138154611333,0.13108161865081772,0.022666081877241916,0.06866330227989173,0.023898249252529008,0.25739732562358664,0.1594746147835195
HALLMARK_ANGIOGENESIS,-0.02918217888033071,0.011321367747101416,-0.0654815566621643,-0.04332324938510011,0.0014585095004892956,0.1270047988469661,0.02283655092198889,0.2218492499136855,0.11023952626915974
HALLMARK_APICAL_JUNCTION,-0.060600569359027176,0.0005235976986085358,0.1485178695418246,0.3187515955403005,-0.020979851851218322,0.04001137823766517,0.04214773472927367,0.20645600723570526,0.17072690965075685
HALLMARK_APICAL_SURFACE,-0.0003159200443550107,0.016765979755180165,0.05401131094597157,0.25466141412793025,-0.05615910836583614,0.013558242626257131,-0.010054464497794844,0.14679454980372764,0.11859821910915824
HALLMARK_APOPTOSIS,0.01867530595244739,-0.03924478329001331,0.11647359706019393,-0.13426045890934427,0.08938895009847896,0.10865635001719269,-0.009278678669687023,0.12234151266712573,0.04653385323073489
HALLMARK_BILE_ACID_METABOLISM,-0.05353896505857372,-0.053026170584114914,0.0380394813643009,0.03289541319824993,-0.09471460361347857,0.02882371576685005,-0.006645873832019869,-0.0018167598824898486,0.09220317267725676
HALLMARK_CHOLESTEROL_HOMEOSTASIS,-0.07276163167429088,-0.008324963731613236,0.010395266493596728,0.20591802301806442,-0.02951341246661498,-0.04795510751453729,0.047834939630399316,0.04600360008220502,0.10002727747530972
HALLMARK_COAGULATION,-0.0880518202699746,-0.00995927461425421,-0.005750029042664192,0.2977577400706007,-0.002404971064107068,0.10825964529614657,0.022464605074903384,0.22251041188206874,0.15586783773797394
HALLMARK_COMPLEMENT,-0.011127649410957813,0.004183758568781781,0.01755280130804448,0.12231983714230166,-0.03356814516991828,0.01843664765515546,-0.06674311611641646,0.07495021158614218,0.06077130158679455
HALLMARK_DNA_REPAIR,-0.010185776617737952,-0.022540576170263137,0.14028939597357296,0.19829954086478435,-0.04703917278461501,0.0009902761686667336,-0.019927670395658025,0.08340183250124292,0.14634257279625318
