,ZH1007inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk
HALLMARK_ADIPOGENESIS,0.06228985399387196,0.06274637944321211,-0.0023870447687830802,-0.020486195634204854,-0.015562012215077118,0.04273021765130758,0.005841951797984197,0.1283969878703043
HALLMARK_ALLOGRAFT_REJECTION,0.04873906786176289,0.12656087227309293,0.012795725869842052,0.0752042292890461,-0.00474507973692526,0.0198920280775602,0.013231691486587264,0.02171777444164815
HALLMARK_ANDROGEN_RESPONSE,0.042796531227406565,0.13493561417514083,-0.0026611905838305285,0.040386233234313264,0.02160391859175956,-0.02200188321325532,0.01260543289664037,0.1330602869704623
HALLMARK_ANGIOGENESIS,0.05014521702832333,0.1304950711160901,0.000611283376384289,-0.06450134319565137,0.02719771548331343,-0.021755613586659988,-0.012678347968449551,0.034997804140549364
HALLMARK_APICAL_JUNCTION,-0.003080041392992176,0.022092891360582782,-0.010947707368269836,-0.02211118983468768,0.013838802633857497,0.02808717399170037,0.014166035155297269,0.10372313274941895
HALLMARK_APICAL_SURFACE,-0.04559728145342147,0.04780349008182614,0.04239347043037678,-0.0464645113731677,0.054513010808557465,-0.03338746525222294,0.007670433643912139,0.07967474968765985
HALLMARK_APOPTOSIS,0.0199567479113895,-0.053945451941332344,0.053269763477058175,-0.022543690447306603,0.008778910181429109,-0.028993015684141536,-0.009994360464883612,0.04255405841960524
HALLMARK_BILE_ACID_METABOLISM,-0.028455774610732062,0.07934098437740346,-0.007047042599600165,-0.0005871027385443063,-0.028798836098682015,0.03779398134019371,-0.038686326748971864,0.15113023613244692
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.05468700497299511,0.062428917821767564,-0.011766499359565792,0.0789478754853083,-0.021670849561594097,0.034219749439418544,-0.019387695774054588,0.12078998172617461
HALLMARK_COAGULATION,0.020990578764399352,0.06721074465192657,0.05478930419224309,-0.04911661062394911,-0.021642257616734994,0.05087059765384321,0.002536133085099409,0.036105060748425136
HALLMARK_COMPLEMENT,0.05078409868592282,0.06345348801515077,0.03357769231852816,-0.051940506243123144,0.031923657445987526,-0.02589402769138227,-0.02121006691234486,0.051750275477756444
HALLMARK_DNA_REPAIR,-0.004723077496691267,0.05122566067071568,-0.0038598664287849984,-0.026080219516115513,0.002638552559745817,0.04088349309266653,0.0071480027298024065,0.1745021900687578
HALLMARK_E2F_TARGETS,-0.006515695012694348,0.1386089447058354,0.0012201152480009203,-0.025051725377368918,-0.0005631303839387948,-0.0023515394847324865,-0.014919099987726381,0.1388118932759592
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.040294662004997615,-0.00021780530297843933,-0.040073472329282565,-0.04627645303643402,0.048872208441508094,0.04136041022477377,-0.004374011585224901,0.08637713545649622
